dataset,source_index,ear,lower_bin,lower_frequency_hz,parallel_phase_rad,octave_increment_rad,theta_deg,ara_x,quadrant
NH2,536,0,52,9750.0,-64.65485077613343,-53.73405454218609,39.7296601231131,1.5381375661501748,--
NH2,536,1,30,5625.0,-23.629026907707953,-31.484215139323695,53.11162839816353,1.2005158277865722,--
NH2,537,0,7,1312.5,-5.577001393622024,-8.706107331928283,57.356986579362626,1.0788061677702596,--
NH2,537,0,39,7312.5,-45.581393369329874,-49.415040078381566,47.3109567874386,1.3560382365381731,--
NH2,537,1,20,3750.0,-12.918613922944077,-23.172789842269573,60.86074151921985,0.973867931966407,--
NH2,538,0,2,375.0,4.464039472025596,-1.6975566132447786,20.820490718610344,1.8693972390684404,+-
NH2,538,0,34,6375.0,-27.624713727529965,-44.26238938158261,58.0311946601066,1.058914932659386,--
NH2,538,1,14,2625.0,-7.041146859148387,-12.783670339574599,61.15436650141358,0.9649029197824999,--
NH2,538,1,46,8625.0,-41.51811080341856,-35.456076100784905,40.4970151856632,1.5208795949177805,--
NH2,539,0,29,5437.5,-29.581070979864084,-47.54014099216886,58.10874006818657,1.0566176478295208,--
NH2,539,1,11,2062.5,-4.899912729465375,-9.44889811508471,62.59011125771322,0.9207060139466546,--
NH2,539,1,43,8062.5,-38.24456911173536,-35.11095543403874,42.553916402954314,1.4732825348282685,--
NH2,540,0,22,4125.0,-14.401931953925143,-20.768215107545522,55.26022915668674,1.1397001257216282,--
NH2,540,0,54,10125.0,-43.49054680694618,-33.579158640411755,37.671819092061746,1.5830484331976145,--
NH2,540,1,33,6187.5,-38.14440087386161,-50.322232396434146,52.83776513041984,1.2081479401869286,--
NH2,541,0,15,2812.5,-9.782767770266139,-20.702962040151462,64.70786698339991,0.8544674490387851,--
NH2,541,0,47,8812.5,-38.978827492089245,-54.963925295617734,54.65683576419055,1.1569446083092239,--
NH2,541,1,31,5812.5,-22.9776771530799,-28.201441905113665,50.82789947072471,1.263303756244494,--
NH2,542,0,10,1875.0,-2.6351373855978806,-6.8628582579931745,68.99466709561403,0.716909685231388,--
NH2,542,0,42,7875.0,-42.474319009606475,-54.95622251680645,52.3004416151789,1.223041883404773,--
NH2,542,1,20,3750.0,-12.622272102816222,-19.190683569098717,56.66591440698166,1.0990398949681535,--
NH2,542,1,52,9750.0,-41.95969195064345,-39.87470520741041,43.54052689099452,1.4497745946971228,--
NH2,543,0,29,5437.5,-28.359693763066822,-44.640905711489786,57.57282087156419,1.072454509058855,--
NH2,543,1,10,1875.0,-10.888921612727147,-8.600350239982019,38.302586347137584,1.5694967854775137,--
NH2,543,1,42,7875.0,-41.27562137062574,-39.05149954510597,43.41398220023911,1.4528139512819118,--
NH2,544,0,19,3562.5,-20.23306317159421,-25.82517082620832,51.9226178664023,1.2334503591249784,--
NH2,544,0,51,9562.5,-64.54787414038499,-41.49186203553239,32.73321641676672,1.6823948877491397,--
NH2,544,1,32,6000.0,-31.243284394259828,-32.27681849318759,45.93217602274076,1.391018806562338,--
