analysis,direction_index,azimuth_deg,elevation_deg,ear,rho_bins,median_rho,rho_log_loss_phi,rho_log_loss_two,eta_bins,median_eta,eta_log_loss_one,eta_log_loss_phi,eta_log_loss_two
stored_ir_only,32,32.0,0.0,1,337,0.15928253474833093,2.3182875306233033,2.5302228861236453,339,8.98986686014557,2.1960980386014017,1.7148862135417984,1.5029508580414563
stored_ir_only,33,33.0,0.0,0,346,2.89581581173975,0.5820534322435693,0.3701180767432275,348,0.4756370723318564,0.7431015542588643,1.2243133793184677,1.4362487348188095
stored_ir_only,33,33.0,0.0,1,346,3.184166826757205,0.6769758836805986,0.46504052818025676,348,0.4553069110228235,0.7867841903014996,1.2679960153611032,1.4799313708614448
stored_ir_only,34,34.0,0.0,0,346,2.879765894055488,0.5764971523692184,0.3645617968688766,348,1.4490528906860365,0.37090980597148493,0.15544864191566124,0.32223737458846036
stored_ir_only,34,34.0,0.0,1,346,3.1740818319357995,0.6738059972655461,0.4618706417652043,348,1.4059194563239639,0.34069147920306325,0.14312511382522128,0.35245570135688203
stored_ir_only,35,35.0,0.0,0,341,0.09896172704737387,2.7942339241355207,3.006169279635863,343,13.466600373698206,2.6002125735416954,2.119000748482092,1.90706539298175
stored_ir_only,35,35.0,0.0,1,337,0.16643529635917445,2.274360480605262,2.4862958361056036,339,8.761191881686504,2.1703319552462923,1.689120130186689,1.477184774686347
stored_ir_only,36,36.0,0.0,0,339,0.09923103047216073,2.7915163314858393,3.0034516869861814,341,11.625247521702757,2.453179243436229,1.9719674183766256,1.7600320628762836
stored_ir_only,36,36.0,0.0,1,338,0.1672386191748485,2.2695454546287537,2.4814808101290953,340,10.573894122127296,2.358387524785616,1.8771756997260125,1.6652403442256705
stored_ir_only,37,37.0,0.0,0,340,0.09730346380321162,2.81113350582207,3.023068861322412,342,11.68835824267358,2.4585932986236685,1.977381473564065,1.7654461180637229
stored_ir_only,37,37.0,0.0,1,335,0.17184289334043185,2.242386455453585,2.454321810953927,337,10.423772177042986,2.344088983966188,1.8628771589065845,1.6509418034062424
stored_ir_only,38,38.0,0.0,0,342,0.09645612302154684,2.819878882915022,3.031814238415364,343,13.697948554224439,2.617246081054282,2.1360342559946788,1.9240989004943367
stored_ir_only,38,38.0,0.0,1,337,0.17497473013836576,2.2243255397541346,2.436260895254476,339,8.66454878556294,2.159239848593356,1.6780280235337526,1.4660926680334105
stored_ir_only,39,39.0,0.0,0,343,0.09771584211301843,2.8069034075441475,3.0188387630444895,344,11.558270665848928,2.447400926261352,1.966189101201749,1.754253745701407
stored_ir_only,39,39.0,0.0,1,347,3.2829850351626337,0.7075412551682062,0.4956058996678644,348,0.44779804701385495,0.803419756211067,1.2846315812706706,1.4965669367710124
stored_ir_only,40,40.0,0.0,0,344,0.09950917871136243,2.788717463000168,3.0006528185005097,345,11.655714447176727,2.455796570238038,1.9745847451784346,1.7626493896780926
stored_ir_only,40,40.0,0.0,1,339,0.18539816485232646,2.166461349274366,2.3783967047747074,341,10.092130852621619,2.3117559966699437,1.8305441716103403,1.6186088161099983
stored_ir_only,41,41.0,0.0,0,347,2.7818863690650097,0.5419174225553486,0.32998206705500677,348,0.48209227348098127,0.729636694648262,1.2108485197078656,1.4227838752082074
stored_ir_only,41,41.0,0.0,1,346,3.3429418194712612,0.7256393513056502,0.5137039958053083,348,0.44568863870039666,0.8081351273850728,1.2893469524446761,1.5012823079450182
stored_ir_only,42,42.0,0.0,0,343,0.09919172532379242,2.7919125073047337,3.0038478628050758,344,11.922264691128513,2.4784043558983058,1.9971925308387026,1.7852571753383606
stored_ir_only,42,42.0,0.0,1,336,0.18687611833234125,2.15852123515809,2.3704565906584314,338,10.361876512710275,2.338131149870031,1.8569193248104277,1.6449839693100856
stored_ir_only,43,43.0,0.0,0,342,0.10156346707745603,2.768283214769764,2.980218570270106,343,12.636328690016883,2.536575894790265,2.0553640697306617,1.8434287142303196
stored_ir_only,43,43.0,0.0,1,339,0.190436264397868,2.139649535545976,2.3515848910463175,341,10.112392756150639,2.313761677250565,1.8325498521909616,1.6206144966906195
stored_ir_only,44,44.0,0.0,0,345,0.1021023278384404,2.7629915795380753,2.9749269350384173,346,12.609962247911856,2.5344869067361024,2.0532750816764995,1.8413397261761573
stored_ir_only,44,44.0,0.0,1,339,0.18858071810580862,2.149440976047685,2.3613763315480267,341,7.998035865236793,2.0791959946902403,1.597984169630637,1.386048814130295
stored_ir_only,45,45.0,0.0,0,345,0.10455462674229432,2.739257425274494,2.951192780774836,346,12.040964164930736,2.4883144508333808,2.0071026257737774,1.7951672702734354
stored_ir_only,45,45.0,0.0,1,348,1.3533464941986497,0.2376267078125484,0.3905667900060348,348,0.5636260327380676,0.573364383580351,1.0545762086399546,1.2665115641402962
stored_ir_only,46,46.0,0.0,0,345,0.10651992467913314,2.720635050201656,2.932570405701998,346,12.2083072991968,2.502075530887348,2.020863705827745,1.8089283503274027
stored_ir_only,46,46.0,0.0,1,339,0.19462568535619953,2.117888952474641,2.329824307974983,341,9.638454274855325,2.265760750833811,1.7845489257742075,1.5827202728916299
stored_ir_only,47,47.0,0.0,0,344,0.10795012071031512,2.7072978331860473,2.9192331886863894,345,11.984426563446158,2.4836080205544615,2.002396195494858,1.790460839994516
