split,event_id,run,period,rf_flag,temperature_K,field_G,direction,child_partition,parent_partition,wrong_ring_partition,crossing_position,crossing_time_us,crossing_U,crossing_R,crossing_direction,parent_H,parent_ridge_distance,history_parent_distance,ridge_exposure,same_bank_H,same_bank_ridge_distance,same_bank_history_distance,same_bank_exposure,wrong_parent_H,wrong_frequency_minus_correct_distance,mismatch_parent_H,mismatch_lineage_minus_correct_distance,wrong_ring_H,wrong_ring_exposure,ring_correspondence_advantage
development,EMU00069989|RF off|B_to_F|1,EMU00069989,RF off,0,300.0,86.0,B_to_F,B,F,,16.776731216613854,3.356710820403804,0.7186987103810415,0.7186987103810414,U_to_R,1.3320229668402999,0.33202296684029986,0.2663614503121927,-0.06566151652810714,1.1872481948170506,0.18724819481705057,0.18208049547124472,-0.005167699345805854,0.7917776061605444,-0.12380057300084424,1.240366193545368,-0.09165677329493183,nan,nan,nan
development,EMU00069989|RF off|B_to_F|2,EMU00069989,RF off,0,300.0,86.0,B_to_F,B,F,,17.038120436079986,3.3734397552631212,0.7091376473564682,0.7091376473564683,R_to_U,1.3336475844707711,0.33364758447077114,0.2663614503121927,-0.06728613415857843,1.1825546812725145,0.1825546812725145,0.18208049547124472,-0.0004741858012697886,0.7797097802521212,-0.11335736472289237,1.248404473589252,-0.08524311088151904,nan,nan,nan
development,EMU00069989|RF on|B_to_F|0,EMU00069989,RF on,1,300.0,86.0,B_to_F,B,F,,9.469026982268424,2.889017643448168,0.9316787364936939,0.9316787364936939,R_to_U,1.157680149832223,0.1576801498322229,0.1645344907681079,0.006854340935884995,1.1945156015792724,0.1945156015792724,0.16601706193974453,-0.028498539639527865,0.8718579096100683,-0.029538059442291154,1.226081004240853,0.06840085440863009,nan,nan,nan
development,EMU00069995|RF off|B_to_F|0,EMU00069995,RF off,0,300.0,122.0,B_to_F,B,F,,6.021131651097952,2.66835247868597,0.8306300085584457,0.8306300085584457,R_to_U,1.2728616435108975,0.2728616435108975,0.167419578671677,-0.10544206483922047,1.1640001666128197,0.1640001666128197,0.1642960467005401,0.00029588008772041263,1.0262684186743818,-0.2465932248365157,0.9029198259728245,-0.17578146948372197,nan,nan,nan
development,EMU00069995|RF on|B_to_F|0,EMU00069995,RF on,1,300.0,122.0,B_to_F,B,F,,10.20620447823193,2.9361969722077053,0.8664647043550231,0.8664647043550231,R_to_U,1.23539146203959,0.23539146203959005,0.2193979863497737,-0.01599347568981635,1.197835946891903,0.1978359468919031,0.20536141397716356,0.007525467085260473,1.096119449802813,-0.139272012236777,0.8993904947959764,-0.13478195683556649,nan,nan,nan
development,EMU00070001|RF off|B_to_F|0,EMU00070001,RF off,0,300.0,158.0,B_to_F,B,F,,6.525653394968329,2.7006418154426393,0.8001863395562493,0.8001863395562493,R_to_U,0.902482302656862,0.09751769734313798,0.21589968096787637,0.1183819836247384,0.8771198719508687,0.12288012804913129,0.169203878989727,0.04632375094059571,0.9470822302852528,-0.04459992762839082,0.9670102330542631,-0.06452793039740112,nan,nan,nan
development,EMU00070001|RF off|B_to_F|1,EMU00070001,RF off,0,300.0,158.0,B_to_F,B,F,,7.593091411736877,2.768957873869181,0.7562665304392991,0.7562665304392991,U_to_R,0.8967445907900877,0.10325540920991227,0.21589968096787637,0.1126442717579641,0.8549335301863131,0.14506646981368687,0.169203878989727,0.024137409176040125,0.94706151949853,-0.05031692870844229,0.9409083223898866,-0.04416373159979892,nan,nan,nan
development,EMU00070001|RF off|B_to_F|2,EMU00070001,RF off,0,300.0,158.0,B_to_F,B,F,,8.169402034129117,2.8058417880610107,0.7398896552152776,0.7398896552152775,R_to_U,0.8925675959560241,0.10743240404397592,0.21589968096787637,0.10846727692390046,0.8514125333558362,0.14858746664416378,0.169203878989727,0.020616412345563218,0.9374796292206973,-0.04491203326467319,0.9271709968507437,-0.03460340089471958,nan,nan,nan
development,EMU00070001|RF on|B_to_F|0,EMU00070001,RF on,1,300.0,158.0,B_to_F,B,F,,2.119214893672941,2.4186297535856,0.8110751919502699,0.8110751919502699,R_to_U,0.8826903765193325,0.11730962348066754,0.10528141398923563,-0.012028209491431907,0.9227175517254952,0.07728244827450481,0.38007586464639354,0.3027934163718887,1.0471898830021018,-0.07011974047856573,0.9417874645424408,-0.05909708802310831,nan,nan,nan
development,EMU00070007|RF off|B_to_F|0,EMU00070007,RF off,0,300.0,194.0,B_to_F,B,F,,8.172407110961807,2.806034112651594,0.7875062123051744,0.7875062123051743,R_to_U,0.9271913145426384,0.07280868545736163,0.07663034911617528,0.0038216636588136454,0.9845764545655898,0.015423545434410157,0.18382565774474435,0.1684021123103342,1.0800872197988636,0.007278534341501941,1.07082218445936,-0.0019865009980016834,nan,nan,nan
development,EMU00070007|RF on|B_to_F|0,EMU00070007,RF on,1,300.0,194.0,B_to_F,B,F,,10.911134210082192,2.9813125664753017,0.8311090417391745,0.8311090417391745,R_to_U,0.9749196673756185,0.025080332624381474,0.6534685307600518,0.6283881981356704,0.9260343032296042,0.07396569677039577,0.08414855353927297,0.010182856768877202,1.033372220535143,0.00829188791076152,1.1198462338911381,0.09476590126675666,nan,nan,nan
development,EMU00070013|RF on|B_to_F|0,EMU00070013,RF on,1,300.0,230.0,B_to_F,B,F,,9.655136412332899,2.900928626738687,0.8582455171271705,0.8582455171271705,R_to_U,1.1310670533469673,0.13106705334696733,0.12723859480628108,-0.0038284585406862526,1.0280177235182966,0.028017723518296567,0.07509811559028767,0.047080392071991106,0.9957730444354463,-0.12684009778241367,1.063833662123673,-0.0672333912232943,nan,nan,nan
development,EMU00070013|RF on|B_to_F|1,EMU00070013,RF on,1,300.0,230.0,B_to_F,B,F,,10.486056362563964,2.9541075291016625,0.8491021490102578,0.8491021490102578,U_to_R,1.1209171736375991,0.12091717363759913,0.12723859480628108,0.006321421168681951,1.0078302149754994,0.007830214975499405,0.07509811559028767,0.06726790061478827,0.9802695398513821,-0.10118671348898123,1.0889430899170136,-0.03197408372058552,nan,nan,nan
development,EMU00070013|RF on|B_to_F|2,EMU00070013,RF on,1,300.0,230.0,B_to_F,B,F,,11.218036627156792,3.0009543089892468,0.8409028318199621,0.840902831819962,R_to_U,1.115197164388755,0.11519716438875505,0.12723859480628108,0.012041430417526033,1.0001391113820222,0.00013911138202216122,0.07509811559028767,0.07495900420826551,0.9601154685389546,-0.07531263292770962,1.1065388842857822,-0.00865828010297287,nan,nan,nan
