split,run,period,field_G,partition,detector_count,detector_first_one_based,detector_last_one_based,basis_condition,calibration_improvement,wrong_frequency_improvement_median,basic_eligible,ring_frequency_specific_eligible
development,EMU00069995,RF on,122.0,F_inner,16,1,46,1.4809335788872768,0.05719748389920586,0.020610795894067755,1,1
development,EMU00069995,RF on,122.0,F_middle,16,2,47,1.8236585259378464,0.051588394103083836,0.02182751276601653,1,1
development,EMU00069995,RF on,122.0,F_outer,16,3,48,1.7864615545063502,0.021746887660990276,0.02104260444808389,1,1
development,EMU00069995,RF on,122.0,B_inner,16,49,94,1.410497494896362,0.06056266655121093,0.014147515048506008,1,1
development,EMU00069995,RF on,122.0,B_middle,16,50,95,1.5629134328255272,0.08388396568743954,0.015861799636799193,1,1
development,EMU00069995,RF on,122.0,B_outer,16,51,96,1.5796722907282545,0.03675416151893332,0.029942220673388142,1,1
development,EMU00069995,RF off,122.0,F,48,1,48,1.3150381731067706,0.044636488254006734,0.01768390219600907,1,1
development,EMU00069995,RF off,122.0,B,48,49,96,1.674312341096616,0.03882138597590196,0.017426690110070392,1,1
development,EMU00069995,RF off,122.0,F_inner,16,1,46,1.6156210705273595,0.06444714205296742,0.02163353555295762,1,1
development,EMU00069995,RF off,122.0,F_middle,16,2,47,1.4298619437252338,0.0526698962396944,0.023891608153300138,1,1
development,EMU00069995,RF off,122.0,F_outer,16,3,48,1.229942057660901,0.025702239782402842,0.011789436399363017,1,1
development,EMU00069995,RF off,122.0,B_inner,16,49,94,1.2380342460973062,0.04925669930057988,0.017035938264208596,1,1
development,EMU00069995,RF off,122.0,B_middle,16,50,95,2.7613979228168817,0.051886098328958116,0.017335540580981135,1,1
development,EMU00069995,RF off,122.0,B_outer,16,51,96,1.6014385268816143,0.021445075494588385,0.01779257891973304,1,1
development,EMU00070001,RF on,158.0,F,48,1,48,1.4979454464840543,0.041072921454044,0.016835880861826545,1,1
development,EMU00070001,RF on,158.0,B,48,49,96,1.6734857968101384,0.03368300377861493,0.016130518059594205,1,1
development,EMU00070001,RF on,158.0,F_inner,16,1,46,3.4572137672805967,0.0659243398804125,0.016005899162926877,1,1
development,EMU00070001,RF on,158.0,F_middle,16,2,47,1.0826162617629016,0.040347690513537864,0.012566309656264528,1,1
development,EMU00070001,RF on,158.0,F_outer,16,3,48,2.5558461730346567,0.02099952774372122,0.017938440418822012,1,1
development,EMU00070001,RF on,158.0,B_inner,16,49,94,1.9004971921539398,0.05531083025585379,0.01484416972308962,1,1
development,EMU00070001,RF on,158.0,B_middle,16,50,95,1.7555736246498024,0.03791728475299572,0.018524695738625613,1,1
development,EMU00070001,RF on,158.0,B_outer,16,51,96,2.0071809779162018,0.01532091259601848,0.015054351221315206,1,1
development,EMU00070001,RF off,158.0,F,48,1,48,1.1709260470503697,0.03694347483565676,0.014622276860236955,1,1
development,EMU00070001,RF off,158.0,B,48,49,96,1.4872692780020327,0.044796343544486125,0.01887718149143553,1,1
development,EMU00070001,RF off,158.0,F_inner,16,1,46,1.4957887952986493,0.04930862206234537,0.015088994380460645,1,1
development,EMU00070001,RF off,158.0,F_middle,16,2,47,1.0994017536947385,0.03478823338960133,0.01600203309086477,1,1
development,EMU00070001,RF off,158.0,F_outer,16,3,48,1.5286486459076656,0.028942544985870605,0.014192858697555238,1,1
development,EMU00070001,RF off,158.0,B_inner,16,49,94,1.5804100505509058,0.04554270390935471,0.017037033406910596,1,1
development,EMU00070001,RF off,158.0,B_middle,16,50,95,1.8184287518953066,0.056774383310447624,0.020827160944026535,1,1
development,EMU00070001,RF off,158.0,B_outer,16,51,96,1.8392267601266952,0.03346107436411502,0.016694699641450234,1,1
development,EMU00070007,RF on,194.0,F,48,1,48,1.4293741368075326,0.04496553853973979,0.014618264197737811,1,1
development,EMU00070007,RF on,194.0,B,48,49,96,1.9240505301662079,0.04345981911136793,0.017038531886327167,1,1
development,EMU00070007,RF on,194.0,F_inner,16,1,46,2.0089258545734547,0.060906656860971284,0.017831743271374073,1,1
development,EMU00070007,RF on,194.0,F_middle,16,2,47,1.3096059600962586,0.05885302854485784,0.012074483720285165,1,1
development,EMU00070007,RF on,194.0,F_outer,16,3,48,1.4162296191053767,0.021740771351381742,0.015139149040998948,1,1
development,EMU00070007,RF on,194.0,B_inner,16,49,94,1.4150137545861097,0.045864482832430574,0.018647463936730467,1,1
development,EMU00070007,RF on,194.0,B_middle,16,50,95,2.221832682106588,0.05278767096789777,0.013937643737035842,1,1
development,EMU00070007,RF on,194.0,B_outer,16,51,96,2.3142098063818466,0.03491324770013492,0.018815804465847207,1,1
development,EMU00070007,RF off,194.0,F,48,1,48,1.3931977878740303,0.04029139259360338,0.01749031526190778,1,1
development,EMU00070007,RF off,194.0,B,48,49,96,1.165910474823054,0.038462091200932406,0.01884647887465049,1,1
development,EMU00070007,RF off,194.0,F_inner,16,1,46,3.3190181031693293,0.04800772286302784,0.014523021798265198,1,1
development,EMU00070007,RF off,194.0,F_middle,16,2,47,1.1433984210366503,0.04517578775435315,0.01892190902234992,1,1
development,EMU00070007,RF off,194.0,F_outer,16,3,48,1.2634352655315508,0.027606325678161875,0.018098612562668877,1,1
development,EMU00070007,RF off,194.0,B_inner,16,49,94,2.017658012884221,0.046250719442209674,0.017857373986288512,1,1
development,EMU00070007,RF off,194.0,B_middle,16,50,95,1.4116081034989658,0.0569913784333995,0.01853999323815062,1,1
development,EMU00070007,RF off,194.0,B_outer,16,51,96,4.187838004391212,0.016382975866303405,0.016621487874580936,1,0
development,EMU00070013,RF on,230.0,F,48,1,48,1.315864707227824,0.04558669934584737,0.015349000112586164,1,1
development,EMU00070013,RF on,230.0,B,48,49,96,1.2773520938205012,0.04032081195190704,0.021401306093346853,1,1
development,EMU00070013,RF on,230.0,F_inner,16,1,46,1.1358358241788793,0.06478540945104436,0.014650450243077586,1,1
development,EMU00070013,RF on,230.0,F_middle,16,2,47,1.4553380342590632,0.05196502552271533,0.0159014469397178,1,1
development,EMU00070013,RF on,230.0,F_outer,16,3,48,2.2571996880913745,0.024954718490303694,0.015299322519200279,1,1
development,EMU00070013,RF on,230.0,B_inner,16,49,94,1.149253558852952,0.0464133575911347,0.015878842695074735,1,1
development,EMU00070013,RF on,230.0,B_middle,16,50,95,1.6630583377934838,0.05185080226576534,0.018969732229103663,1,1
development,EMU00070013,RF on,230.0,B_outer,16,51,96,1.1143232226935667,0.027179283816423983,0.020871639771531017,1,1
development,EMU00070013,RF off,230.0,F,48,1,48,1.1031369476372102,0.03442631638832497,0.01755469130764681,1,1
development,EMU00070013,RF off,230.0,B,48,49,96,1.6444470529714852,0.030137848514489446,0.01763511612330225,1,1
