draw,mae,median_abs_error,p95_abs_error,max_abs_error,rmse,correlation
175,0.028375958320466042,0.020654778027210496,0.07302289417991296,0.11190200855879551,0.0377160182872358,0.07883755695121093
176,0.028702127075188925,0.02232662796861462,0.07294550833308473,0.10866325578815761,0.03786965145271889,0.06994836910597056
177,0.02857669604039949,0.021640276072320663,0.0730686316158203,0.10987753689884178,0.03786685463974168,0.07490761057169809
178,0.028718793254266087,0.022037513633269334,0.07243663155152272,0.10810944422760621,0.03791339703351647,0.07127759840504402
179,0.02890686830112942,0.022546834809936633,0.07365874916226928,0.11022701941919666,0.03813146203378326,0.05730608038813257
180,0.028846943242557415,0.022428150407926117,0.07231562021049809,0.11092124012460247,0.038014609816390356,0.06538522333522744
181,0.02871655632826233,0.022347628762636074,0.07222508731188977,0.10989435932637054,0.037878483773285836,0.06901552651492757
182,0.028782905008620793,0.022188133570770208,0.07247913058761424,0.1092621959470838,0.03791230976185584,0.07446741818294998
183,0.02851036019433294,0.021490078732698592,0.07340301762997402,0.10872004972319249,0.03779477187100929,0.07964863369090633
184,0.028615263057201933,0.02154831407029567,0.07249708038189172,0.10963385666035858,0.037852618303095976,0.0733759284196646
185,0.02900905893470699,0.022910583184715172,0.07350022124281597,0.10958383772976948,0.03816990012645601,0.05833624053795303
186,0.028212890446383466,0.020637200142782697,0.07220024058453338,0.11101207449444306,0.03748497544107231,0.09492028337659185
187,0.02877454581464055,0.02231507362600893,0.07267236044554831,0.11027416079598279,0.037973543083323194,0.06772137345062128
188,0.028609055728616654,0.022064493458066714,0.07275974952065037,0.1097961193060687,0.037815330433805784,0.07389153724286918
189,0.028626753826805577,0.021344002923990968,0.07331640849011875,0.10880725181350337,0.03801231799811333,0.06380647259043254
190,0.02823921761618744,0.021044145108231715,0.07244185207560903,0.11122908224394645,0.03749086706027431,0.086510600323694
191,0.028631570874832955,0.021654173649793718,0.07260575989316934,0.11151586109056977,0.03786512196908792,0.07109921314420746
192,0.028625975039336185,0.021508323007627173,0.07421627370882403,0.11208823856128064,0.037976718829807715,0.06827637685655884
193,0.02879869755089424,0.02235696800015541,0.07334234069338212,0.10820777336690346,0.03800886825991637,0.0663509043521995
194,0.02846829976130869,0.021448276434125724,0.07178639021320432,0.11302473052819118,0.037642672746566914,0.08447069442904079
195,0.028826196364172628,0.022476482644538387,0.07295199465736757,0.1107065665098465,0.03799528263163948,0.06662361368435989
196,0.028667870788956468,0.021773109513036126,0.07252592586658016,0.11245716754548069,0.0378279228099643,0.08240621776244955
197,0.028605438192292693,0.02193787168350203,0.0733319135842793,0.11193780567568312,0.03784858092935661,0.07644504966015052
198,0.028598712221170653,0.02130230008935452,0.07290888368741359,0.11186607272553484,0.037838841251841546,0.07072324956222953
199,0.02885957989660584,0.022639225528519047,0.07242545019099461,0.11021162183123323,0.03801750421124852,0.06211289716567053
