replicate,mode,mean,median
1315,1.875,1.0306886763093686,1.0474656867677294
1316,0.625,1.0862198045348717,1.1227438604589561
1317,1.875,1.0273213336281288,1.0051945354454301
1318,0.625,0.9933950858319797,0.8747079067112561
1319,1.625,1.167707422681373,1.2167561395279354
1320,1.875,1.1044566744992088,1.0098849846528155
1321,1.875,1.079755605861254,1.0474656867677294
1322,0.125,0.9980176051009968,0.8692716248303847
1323,1.875,1.1640410221580002,1.184315288077873
1324,1.625,1.0503726651529162,1.01011858672865
1325,1.875,1.0257066962146544,0.9333528605552265
1326,1.625,1.0144531353273123,0.9199444105150968
1327,1.875,1.0896295099662594,1.154746347095708
1328,1.625,0.9901367071734571,0.9208276813561225
1329,1.875,1.0353807637475094,0.9004584754831327
1330,1.625,1.0579542826173538,1.1630463833100457
1331,0.125,1.055685400199595,1.0688496211681309
1332,1.625,1.0925551972098542,1.1441396163790354
1333,0.125,0.9913886352277994,0.9909924486046511
1334,1.875,1.0780314028538502,1.1121864270869963
1335,1.125,1.0529860155406785,1.1121864270869963
1336,1.875,1.0554632144799267,1.1121864270869963
1337,1.875,1.0855734696377617,1.096228683131115
1338,1.625,1.1472918533767753,1.196711107402169
1339,0.625,0.9969000401193483,0.9333528605552265
1340,0.125,0.9137400584769417,0.8288631027190023
1341,1.625,0.9918858219668557,0.8769859606531384
1342,1.625,1.133802301770139,1.2655283500865437
1343,0.125,1.0109234985862126,0.9130130597817493
1344,0.875,1.0024121422938825,0.845101776272157
1345,0.625,0.9933351929850591,0.8491725105313901
1346,0.875,0.9971147409391601,0.8747079067112561
1347,1.625,0.9573089447599595,0.833958528813978
1348,0.625,1.031613937214846,1.0334450780730997
1349,1.625,1.0726542145794717,1.0334450780730997
1350,0.625,1.0600495090911168,1.0685819032227837
1351,1.875,1.0242436458049824,0.9909924486046511
1352,0.625,1.0498484971067037,1.0810835183800873
1353,0.625,0.9699557085470228,0.8242021765177178
1354,1.875,1.112283737772489,1.196711107402169
1355,1.625,0.9819038975269203,0.8915045554333519
1356,1.875,0.9988396269029394,0.8660463192425892
1357,1.625,1.0531751266148461,1.0334450780730997
1358,1.625,1.1395194944497995,1.210583611649179
1359,0.875,1.005173762302212,0.8642694280158743
1360,0.125,1.0235352233781794,1.0334450780730997
1361,1.625,1.0896523234994326,1.1967853632626733
1362,1.875,1.0431988715465628,1.032037957019746
1363,0.875,1.082276762122271,1.0474656867677294
1364,1.625,1.0458255439163084,1.0050189297480938
1365,1.875,1.0450003194811628,0.9909924486046511
1366,1.875,1.0114304407978372,0.9729442092143712
1367,0.625,0.993570940541991,0.8642694280158743
1368,1.875,1.0735962273671122,1.154090597569304
1369,1.625,0.9910856011840117,1.0334450780730997
1370,1.875,1.0288930321752212,0.9909924486046511
1371,1.625,1.1185377562802281,1.202832569842763
1372,1.875,1.1245760035170582,1.193856902823769
1373,1.875,1.0716937690785135,1.1758450702348449
1374,1.625,1.0952296278012572,1.193856902823769
1375,0.625,0.9215089735466462,0.8122126259518045
1376,1.875,1.0543118598459742,1.0474656867677294
1377,0.125,0.994701146763911,0.9333528605552265
1378,0.625,0.9878760705389917,0.8842272060665514
1379,1.625,1.1761148675799924,1.2779512713727617
1380,0.875,1.1025263836091013,1.1758450702348449
1381,0.625,1.0548941833461742,0.935380979591574
1382,1.875,1.033595176091358,1.0325392770409276
1383,1.875,1.055864275353977,1.0474656867677294
1384,0.625,1.0161594103150695,0.8692716248303847
1385,0.625,1.045497135395992,1.0381935236589834
1386,1.875,1.0828534649801274,1.0057213525374387
1387,0.625,0.9660367457281949,0.866067010876319
1388,1.875,1.0468691047908412,1.1441396163790354
1389,1.625,1.105141365021169,1.202832569842763
1390,0.125,0.9896371094096316,0.8842272060665514
1391,1.625,1.021883247863723,0.9018809365756764
1392,1.625,1.0416453586667842,1.03830951641598
1393,0.125,1.0496430040299063,1.193856902823769
1394,1.875,1.0552939276699027,1.1121864270869963
1395,0.125,1.004872819806533,0.9333528605552265
1396,1.875,1.038499933238215,1.0053701411427662
1397,1.875,1.1031765416363646,1.193856902823769
1398,1.875,1.2215439785866984,1.4226982503667291
1399,0.625,1.0006721403576733,0.9020841453031829
1400,1.625,1.1365635790166706,1.2167561395279354
1401,1.875,1.0073234135903593,0.9333528605552265
1402,0.625,0.9962045339794391,0.8692716248303847
1403,0.125,0.9771329809646712,0.8713588733212055
1404,0.625,1.0612243130016155,1.0055457468401026
1405,0.875,1.0173684133972658,0.9528740135526907
1406,0.625,1.058189450489773,1.0474656867677294
1407,1.875,1.0124772609022015,0.8392370069190266
1408,1.875,1.0631275809697402,1.1441396163790354
1409,1.875,1.0446068736729528,0.8743367233044903
1410,1.875,1.0393868767696819,1.0382515200374818
1411,1.875,1.1237100520189758,1.1763932460767006
1412,0.875,1.071609813717874,1.0103521888044844
1413,0.875,1.0497849452382892,1.0110529950319878
1414,1.625,1.0356446407395958,1.0786072693189541
1415,0.625,1.003964675445697,0.8692716248303847
1416,1.875,1.1076731280379253,1.0334450780730997
1417,1.875,1.0896404995337223,1.247415916925305
1418,1.875,1.0919747227773176,1.2167561395279354
1419,1.625,1.0403114669566178,1.1230082097893983
1420,1.625,1.047171330144066,1.0685819032227837
1421,1.625,1.0242148594550393,0.9004584754831327
1422,1.875,1.05540930004129,1.0688496211681309
1423,1.875,1.064104610327642,0.8873805737910062
1424,1.375,0.9968516193243077,1.009651382576981
1425,1.625,1.0624843389220022,1.1121864270869963
1426,1.625,1.0930343612550957,1.193856902823769
1427,0.125,1.0383559860986464,1.1121864270869963
1428,1.875,1.1747073841162676,1.210583611649179
1429,1.625,1.1595285690722936,1.2651081542187221
1430,0.875,1.0082473490222335,0.9538277203247165
1431,0.125,0.8699475216711273,0.6801993135869598
1432,0.625,0.9712771810288959,0.8745223150078733
1433,0.625,1.0259904477091362,1.0334450780730997
1434,0.875,0.9406284938653431,0.833958528813978
1435,1.875,1.1275485425753067,1.1844269221214492
1436,1.625,1.09908799166867,1.196711107402169
1437,1.625,1.0139200132998676,0.8842272060665514
1438,1.625,1.0197889297573783,1.0601128939500792
1439,1.875,0.9735597956327181,0.8660256276088596
1440,1.625,1.04181170364947,1.0098849846528155
1441,0.875,1.0406364259639604,0.9909924486046511
1442,1.625,0.9222439711923687,0.8083470045338746
1443,0.125,0.863914941862419,0.833958528813978
1444,1.625,1.051409983582074,1.069117339113478
1445,1.625,1.0356004152844072,1.0334450780730997
1446,0.125,1.006490215112313,0.9535892936317102
1447,0.625,0.9872183127749693,0.8545352703793843
1448,1.875,1.04614578043338,1.122479511128514
1449,1.875,1.1350208555800132,1.2167561395279354
1450,0.125,1.001859132003506,0.9333528605552265
1451,1.625,1.0243759638353376,0.8659842443414001
1452,1.625,1.093680987683804,1.2544120130960543
1453,0.625,0.9783455063942975,0.8430499555591965
1454,1.625,1.0532689014757823,1.0709346766524812
1455,1.625,1.075227614091019,1.0786072693189541
1456,1.625,1.0476479233107419,1.0806067323717956
1457,1.625,1.1751016790229962,1.2651081542187221
1458,0.625,1.053005851892216,1.0053701411427662
1459,1.625,1.1106322972674252,1.1226116857937352
1460,0.125,0.9365044707893463,0.8221807049073422
1461,1.625,1.0717448270051564,1.184315288077873
1462,0.625,0.9792359004848663,0.8491725105313901
1463,0.625,1.0674727133627475,1.0688496211681309
1464,0.125,1.030508969790349,1.1597437387641842
1465,0.125,1.0162071520415843,1.0334450780730997
1466,0.125,1.0327691402120667,0.9533508669387035
1467,1.625,1.0163817238484765,0.8642694280158743
1468,1.875,1.0819812203270807,1.1817217297696974
1469,0.875,1.0555401738763839,1.0693850570588255
1470,1.875,1.1683320961302601,1.2222815007886194
1471,1.625,1.036013612039393,1.193856902823769
1472,1.875,1.0792121405902289,1.1597437387641842
1473,1.875,1.1483487468972269,1.1758450702348449
1474,1.625,1.0795621332418468,1.1121864270869963
1475,1.625,1.0601601805599434,1.030032676935019
1476,1.875,1.0425031173751156,1.0693850570588255
1477,1.625,1.0346525619023474,1.038077530901987
1478,0.375,1.0161982176317468,1.0098849846528155
1479,1.875,1.078296422779091,0.957659732583926
1480,1.625,0.9964367196509375,0.8559796009118376
1481,1.625,1.1036262989125898,1.247415916925305
1482,0.125,0.9975823317679592,0.9366154618272718
1483,1.625,1.011182175130442,0.8544103732997128
1484,1.875,1.1315873939099401,1.1121864270869963
1485,0.125,1.0369885166580466,1.0685819032227837
1486,0.125,0.9742828697272194,0.8907093375474502
1487,0.125,0.9959628280153191,0.9909924486046511
1488,0.125,1.003417632486162,0.9347637384737248
1489,1.875,1.035618248857162,0.9203860459356097
1490,1.625,1.2035745041424522,1.4226273481719105
1491,0.625,0.9713300840306388,0.8661497774112379
1492,1.875,1.08269594173264,1.0474656867677294
1493,0.875,0.995290530109025,0.8692716248303847
1494,1.875,1.1243682130281345,1.1121864270869963
1495,1.875,1.095710955341378,1.0334450780730997
1496,1.875,1.0340548064437696,0.8842272060665514
1497,0.125,0.9181839353991793,0.8491725105313901
1498,1.875,1.1226737125917792,1.1544840472851463
1499,1.625,1.1450966744200672,1.247415916925305
1500,1.875,1.0621683457415236,1.154746347095708
1501,1.875,1.0973397669995582,1.1121864270869963
1502,1.875,1.0612944875235313,1.0334450780730997
