z_index,y_index,x_index,active_interior,occupancy_cic,relative_field_gradient,particle_first_e_magnitude_N_per_m3,field_first_e_magnitude_N_per_m3,particle_first_b_magnitude_N_per_m3,field_first_b_magnitude_N_per_m3,particle_first_total_magnitude_N_per_m3,field_first_total_magnitude_N_per_m3,total_residual_magnitude_N_per_m3,particle_first_total_x_N_per_m3,particle_first_total_y_N_per_m3,particle_first_total_z_N_per_m3,field_first_total_x_N_per_m3,field_first_total_y_N_per_m3,field_first_total_z_N_per_m3
0,1,29,0,24.83715700039869,4.99276322003276,1916220170226.2603,777141681635.0073,210824337798.053,63490355588.12827,1796942361623.461,817072684456.743,1414829745951.3467,-749260361176.8092,307555999837.9202,1604063611310.286,-563331191921.5623,-427337698656.04846,409448691780.7072
0,1,30,0,24.91358154614735,5.867749287399977,65588147294.2581,361766329000.5227,203611135772.17722,44950002936.95616,215058942867.32593,392199706482.1901,351088485999.4106,32596072628.767742,-186047015359.83374,102831673292.27725,-299780327829.2832,-252629980315.03046,11421814974.463978
0,1,31,0,24.83861145288261,6.4834941022022035,2013907497585.426,564698123719.784,325104839833.66547,131995784255.01712,1876054403037.7903,554762690335.2343,1324891695638.2004,-1599407615498.359,-518739765562.1228,-832096423660.0747,-446238001837.84357,-194729576846.3704,-265920439614.91425
0,2,0,0,0.0,0.11841411697851198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,1,0,0.0,0.1653752291949158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,2,0,0.0,0.22818773483069832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0,2,3,0,0.0,0.09802903489722799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,4,0,0.0,0.17799889789566964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,5,0,0.0,0.41099900632617614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,6,0,0.0,0.15884012488452978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,7,0,0.0,0.28360640105821794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0,2,8,0,0.0,0.10954248320540029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,9,0,0.0,0.13768234633698834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,10,0,0.0,0.10447317281444657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,11,0,0.0,0.1416252171048825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,12,0,0.0,0.11835271606287077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,13,0,0.0,0.1342449784365207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,14,0,0.0,0.19560932434274547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,15,0,0.0,0.19132347349449016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0,2,16,0,0.0,0.25939462384700984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0,2,17,0,0.0,0.41215199436134536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0,2,18,0,0.0,0.4360508558786521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0,2,19,0,0.0,0.6392799101996498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,20,0,0.0,1.2322475853843609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,21,0,0.0,2.2157755312692196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0,2,22,0,0.0,3.799294209718867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,23,0,8.369127027606435,5.7754262354151455,1227457508834.6262,1519099019378.6716,108753858730.68327,75284565760.97452,1294405171031.6628,1550831896147.1511,860346370898.0284,-1025135330164.2782,-774384522007.7026,-157831916029.00336,-1247284740037.9456,-640655768980.711,662510779570.851
0,2,24,0,25.152001827031224,6.178552564743195,1181984230233.5715,1701456472622.667,374336377186.9491,288910979653.40436,1245383326494.2048,1831239758017.4995,1414776027380.7122,513069295746.55316,911666090041.8951,675725142302.4235,1510963353880.6753,982351442802.2043,-324675895930.2013
0,2,25,0,25.60341755966987,6.5429399497735945,3708888247099.5537,3710759111702.8203,503690010660.66846,369482758319.204,3682181506634.7466,3736495610529.0635,1142492700461.8857,1967918436968.0493,2511294286029.766,1838248808567.1123,2556566318523.988,1602864241489.6763,2203677455946.171
