replicate,gain_O,gain_U,gain_V,gain_W
54,0.12107245221709928,-0.010264037251412228,-0.02014518437621149,0.005607736555149234
55,0.10339269386269567,0.0028054838703764906,-0.008133541497553631,0.022172112260587573
56,0.16816786276862938,-0.03569869370932732,-0.023117388226389535,0.007096799821974753
57,0.13295447157325768,-0.012576706502882118,-0.017950540695993222,0.019926508026261947
58,0.21659132473440212,-0.015219384571304229,-0.015841452650997123,0.008911789139337434
59,0.1825585981640887,-0.03510782611214669,-0.017659622308128897,0.014620280564518362
60,0.0699361628360684,-0.04153998093140765,-0.00679909883436558,0.003517020356133438
61,0.16090231874251149,0.008929281757280583,-0.022395800587587278,0.014358032110260766
62,0.12933622086572372,-0.021241960544360117,-7.697669525774664e-05,-0.010975704644859752
63,0.14314397805651335,-0.027052664387986924,-0.022680755021880605,0.005159019667907883
64,0.1693959099771526,-0.03616565536407301,-0.009773419691242013,0.0021190409013294165
65,0.1908770253090768,-0.013032427013643932,-0.020979957358086887,0.010515114332726005
66,0.16453153460107228,-0.024201378064458323,-0.02302383087971771,0.007749824035796382
67,0.14665211939443912,-0.029007950022201134,-0.03320252775589139,0.0008989004576377413
68,0.08403180048121384,-0.019676048701562365,-0.00885986799672911,0.0021564193120849895
69,0.1960852077641112,-0.007676493808610463,-0.011991717652167999,-0.0010954004385022031
70,0.060213164004087716,-0.009044801902303723,-0.02562124775520691,0.0016409828667354187
71,0.15387186010017317,-0.016171156278518062,-0.03193557309170547,0.018719534609544564
72,0.15559430264943674,-0.028278404940993873,-0.018189403996182296,0.02138261332572511
73,0.21998964992955872,-0.006918436683062801,-0.015524987472772755,0.010555622788916419
74,0.025634988172737017,-0.01962343880069639,-0.030195863565488423,-0.0005103298793485145
75,0.17233291216910807,-0.03162986661238554,-0.01724446621979725,-0.00756521504763219
76,0.1414533622548494,-0.0239894424476903,-0.017182174927489635,0.010672794619551396
77,0.22738902455121257,-0.010070060328397856,-0.015230412318240294,0.016411640753930312
78,0.14886705872216432,-0.03564169450096166,-0.017249910484074205,-0.01191630444828884
79,0.12867648006518195,-0.026245070967612305,-0.003513649564857557,-0.016672128066788083
80,0.20331837837943567,-0.024486646485293306,-0.006408210387824909,0.02377204417442591
81,0.11819432937988217,-0.021652766005681112,-0.02831702704229544,-0.015589214668711104
82,0.1361280300698039,-0.013884584580827974,0.01794190429711673,0.020867642011640708
83,0.08993803044639881,-0.02490537720749164,-0.001563201436868722,-0.017090139760888245
84,0.14336259424513964,0.012589185484008003,-0.0025607969310401657,0.003991292296850357
85,0.12138586895870662,-0.012115370746241583,-0.007237909864884262,0.022582316194918906
86,0.15229113392838145,-0.015037065567419683,-0.013488101446384348,0.016606739538403192
87,0.12417093237857091,-0.013255409027603582,0.002945195522067068,0.0015016956949490678
88,0.18929016966937984,-0.008751167003653082,-0.029501323521174738,0.020381143555950332
89,0.16855141212435165,-0.0014190142396002248,-0.004185456373491103,0.009266975311915338
90,0.07923745499377488,-0.03029942328233126,-0.005215301527499605,-0.0002971095916226574
91,0.1654200088814035,-0.013751889760035496,0.004441157818471764,0.016036361192862114
92,0.2346299463854843,-0.008746973680187953,-0.02370455407634009,0.020881378259232752
93,0.26754174291936994,-0.02454258534894982,-0.019532687501179202,0.008816388153518595
94,0.13488712045336204,-0.021985859138432318,-0.031841538660459134,0.013181298392110907
95,0.08751003353869902,-0.011574720642890668,-0.016075032364280428,-0.001844433712434368
96,0.1444121850821929,-0.0077736004347876975,0.012359587877506129,0.0047912199331526795
97,0.2556189159571778,-0.029393450057320525,-0.02510739419002994,0.011030970298891662
98,0.24544569587436516,-0.02773493618666345,-0.003271593970392672,0.02709956107384026
99,0.20909926954742375,-0.01772905301685923,-0.029729502338662117,0.013143295189305348
100,0.13741702581943838,-0.00021497052200936118,-0.010260873570599571,0.008979785473483104
101,0.23650020768088176,-0.028320449386891378,-0.02444998431222012,0.010130185075098663
102,0.23350816382773254,-0.011172567057533334,-0.026994341029075608,-0.00018640173777706437
103,0.17786193215422297,-0.009962391162333661,-0.027158945389814892,0.027358540756367677
104,0.12350708891281037,-0.004874632193256456,0.010016486010867576,-0.003691406616912918
105,0.010742211863077666,-0.013642298499215721,-0.01511026305821428,-0.02614981939264638
