replicate,shifted_parent_grandchild_brier,improvement_over_parent_state
523,0.08112719494083821,0.003613683847161195
524,0.08133119468041033,0.0034096841075890727
525,0.0803558296086149,0.004385049179384509
526,0.08279647410173342,0.0019444046862659853
527,0.08185252416366672,0.0028883546243326924
528,0.08105793686489818,0.0036829419231012295
529,0.08170302659690348,0.0030378521910959244
530,0.08202776192151798,0.00271311686648143
531,0.08266948642198815,0.0020713923660112543
532,0.08097605401730824,0.0037648247706911636
533,0.08219724616329772,0.0025436326247016833
534,0.08122742204289485,0.0035134567451045595
535,0.08209314638887852,0.002647732399120889
536,0.08137787611730771,0.0033630026706917004
537,0.08088030411777912,0.0038605746702202876
538,0.08116863551878244,0.003572243269216971
539,0.08175150928481856,0.00298936950318085
540,0.0824483867063119,0.002292492081687511
541,0.08118798461566541,0.003552894172333995
542,0.08057520537456374,0.004165673413435669
543,0.0811962182358617,0.0035446605521377017
544,0.08104532628389158,0.0036955525041078296
545,0.08224468977177525,0.002496189016224157
546,0.08228279156929227,0.0024580872187071334
547,0.08133995310557798,0.003400925682421424
548,0.08128335288762716,0.003457525900372252
549,0.08200991230076704,0.002730966487232367
550,0.0804243698372457,0.0043165089507537086
551,0.08179356441864942,0.0029473143693499876
552,0.08149219617093892,0.0032486826170604888
553,0.08075251846901615,0.003988360318983253
554,0.08043812919931424,0.004302749588685165
555,0.08217927890675122,0.0025615998812481833
556,0.08189446256255463,0.0028464162254447783
557,0.08271402270867716,0.0020268560793222506
558,0.08130254310190833,0.0034383356860910735
559,0.08229673197765533,0.0024441468103440778
560,0.08223937478180458,0.002501504006194824
561,0.08128276034542886,0.003458118442570546
562,0.08074575410191209,0.003995124686087315
563,0.08275164996296139,0.0019892288250380197
564,0.08113438831989667,0.003606490468102741
565,0.08130027665383492,0.003440602134164486
566,0.08039712709386877,0.004343751694130635
567,0.08139671836172599,0.003344160426273418
568,0.08205103011112273,0.0026898486768766744
569,0.08142032673258323,0.003320552055416176
570,0.0818842238436667,0.0028566549443327094
571,0.08150483559560254,0.00323604319239687
572,0.08046430244936273,0.004276576338636678
573,0.08150729756964847,0.003233581218350934
574,0.0818162197151728,0.002924659072826602
575,0.08094631116722292,0.0037945676207764845
576,0.07958159295152277,0.0051592858364766375
577,0.08107651137796099,0.0036643674100384216
578,0.08140009705952612,0.0033407817284732827
579,0.0810218730022418,0.003719005785757609
580,0.08042078188204875,0.004320096905950657
581,0.08180170857029165,0.0029391702177077594
582,0.08103861534090856,0.0037022634470908478
583,0.08157164636771533,0.0031692324202840794
584,0.08068284447245967,0.004058034315539735
585,0.08068750666511927,0.004053372122880136
586,0.08130096091231774,0.0034399178756816667
587,0.08228775512779292,0.002453123660206488
588,0.08227716456040315,0.002463714227596253
589,0.0815309961050448,0.0032098826829546068
590,0.08209469197057435,0.002646186817425053
591,0.08147939012263186,0.0032614886653675457
592,0.08134816989415208,0.0033927088938473238
593,0.0797755677657849,0.004965311022214508
594,0.08069380127571811,0.004047077512281297
595,0.08195186215612642,0.0027890166318729898
596,0.08167836127093364,0.003062517517065766
597,0.08172816345643709,0.0030127153315623184
598,0.082175081312909,0.002565797475090406
599,0.08097800921102674,0.003762869576972666
600,0.0804613663947999,0.004279512393199514
601,0.08045471557642102,0.004286163211578389
602,0.08279706769016834,0.0019438110978310663
603,0.0822170867931968,0.0025237919948026127
604,0.08106257837591303,0.0036783004120863744
605,0.08155112239855938,0.003189756389440024
606,0.08108599860684237,0.003654880181157033
607,0.08198810793894654,0.0027527708490528713
608,0.08033427652405113,0.0044066022639482755
609,0.08114932840003525,0.0035915503879641597
610,0.08138355323510085,0.0033573255528985546
611,0.08228933031403746,0.002451548473961951
612,0.082308174391989,0.0024327043960104128
613,0.08145270850276363,0.0032881702852357725
614,0.08219120943739532,0.002549669350604092
615,0.08145035267910117,0.0032905261088982396
616,0.08091914899325418,0.003821729794745224
617,0.08079510529143157,0.003945773496567842
618,0.08054153617585266,0.004199342612146745
619,0.0817268729502152,0.0030140058377842033
620,0.08139584779705561,0.003345030990943798
621,0.07977139772444387,0.004969481063555534
622,0.08132458873392824,0.0034162900540711666
623,0.08131138416234195,0.0034294946256574615
624,0.08099660725692526,0.0037442715310741503
625,0.08192737616466286,0.0028135026233365446
626,0.08111383445281332,0.003627044335186083
627,0.08212652542691905,0.00261435336108036
628,0.08104053307831006,0.0037003457096893427
629,0.08146912873000561,0.003271750057993794
630,0.08142167715759288,0.0033192016304065264
631,0.08130595528076,0.0034349235072394096
632,0.08230481072756005,0.0024360680604393614
633,0.08148879897674208,0.00325207981125733
634,0.08084926211059733,0.0038916166774020794
635,0.0825019101630923,0.002238968624907106
636,0.08178095067091674,0.0029599281170826636
637,0.08065779161840402,0.004083087169595392
638,0.07913177260610238,0.005609106181897028
639,0.081055483251562,0.0036853955364374025
640,0.08047986992167394,0.004261008866325466
641,0.08123974476139967,0.0035011340265997393
642,0.08129773662560831,0.003443142162391097
643,0.08289941202434417,0.0018414667636552362
644,0.08209053349394335,0.0026503452940560557
645,0.08135052764390714,0.0033903511440922657
646,0.08147611885495117,0.003264759933048242
647,0.08209492559368678,0.002645953194312628
648,0.08160772375992711,0.003133155028072293
649,0.08100173113006033,0.0037391476579390764
650,0.08182570012744833,0.0029151786605510766
651,0.08177492083293274,0.00296595795506667
652,0.08064347657973278,0.004097402208266626
653,0.08122843127219696,0.0035124475158024443
654,0.08064373671973059,0.004097142068268819
655,0.0815451188046641,0.0031957599833353084
656,0.08172479052925988,0.00301608825873953
657,0.08245269394710746,0.002288184840891952
658,0.08099046102465712,0.003750417763342284
659,0.08146547427477721,0.0032754045132221965
660,0.08191351561644221,0.0028273631715571984
661,0.08178483963625754,0.0029560391517418627
662,0.08170383322844998,0.003037045559549423
663,0.08160121525619789,0.0031396635318015204
664,0.08237151681072126,0.0023693619772781477
665,0.08066394164777123,0.004076937140228179
666,0.08138601364842131,0.0033548651395780976
667,0.08247375133410734,0.0022671274538920705
668,0.08151121607769016,0.00322966271030925
669,0.08174134300691595,0.0029995357810834594
670,0.08165769988482387,0.0030831789031755402
671,0.08163369074003035,0.003107188047969056
672,0.08081124394852357,0.003929634839475837
673,0.0810433596270499,0.003697519160949514
674,0.08081960237011682,0.003921276417882591
675,0.0818583134651704,0.0028825653228290032
676,0.0813972249431993,0.003343653844800107
677,0.08122651467959399,0.0035143641084054156
678,0.08242527394752248,0.002315604840476923
