# tToFail   Slip
   -84.770     0.017
   -84.770     0.017
   -84.670     0.008
   -84.670     0.007
   -84.670     0.007
   -84.670     0.007
   -84.670     0.007
   -84.570     0.004
   -84.570     0.004
   -84.570     0.004
   -84.570     0.004
   -84.570     0.004
   -84.470     0.006
   -84.470     0.006
   -84.470     0.006
   -84.470     0.006
   -84.470     0.006
   -84.370     0.011
   -84.370     0.011
   -84.370     0.011
   -84.370     0.011
   -84.370     0.011
   -84.270     0.017
   -84.270     0.017
   -84.270     0.017
   -84.270     0.017
   -84.270     0.017
   -84.170     0.021
   -84.170     0.021
   -84.170     0.021
   -84.170     0.021
   -84.170     0.021
   -84.070     0.023
   -84.070     0.023
   -84.070     0.023
   -84.070     0.023
   -84.070     0.023
   -83.970     0.022
   -83.970     0.022
   -83.970     0.022
   -83.970     0.022
   -83.970     0.022
   -83.870     0.019
   -83.870     0.019
   -83.870     0.019
   -83.870     0.019
   -83.870     0.019
   -83.770     0.010
   -83.770     0.010
   -83.770     0.010
   -83.770     0.010
   -83.770     0.010
   -83.670     0.004
   -83.670     0.004
   -83.670     0.004
   -83.670     0.003
   -83.670     0.003
   -83.570     0.003
   -83.570     0.003
   -83.570     0.003
   -83.570     0.003
   -83.570     0.003
   -83.470     0.005
   -83.470     0.005
   -83.470     0.005
   -83.470     0.005
   -83.470     0.005
   -83.370     0.007
   -83.370     0.007
   -83.370     0.007
   -83.370     0.007
   -83.370     0.007
   -83.270     0.014
   -83.270     0.014
   -83.270     0.014
   -83.270     0.014
   -83.270     0.014
   -83.170     0.021
   -83.170     0.021
   -83.170     0.021
   -83.170     0.021
   -83.170     0.021
   -83.070     0.023
   -83.070     0.023
   -83.070     0.023
   -83.070     0.023
   -83.070     0.023
   -82.970     0.023
   -82.970     0.023
   -82.970     0.023
   -82.970     0.023
   -82.970     0.023
   -82.870     0.021
   -82.870     0.021
   -82.870     0.021
   -82.870     0.021
   -82.870     0.021
   -82.770     0.012
   -82.770     0.012
   -82.770     0.012
   -82.770     0.012
   -82.770     0.012
   -82.670     0.004
   -82.670     0.004
   -82.670     0.004
   -82.670     0.004
   -82.670     0.004
   -82.570     0.002
   -82.570     0.002
   -82.570     0.002
   -82.570     0.002
   -82.570     0.002
   -82.470     0.005
   -82.470     0.005
   -82.470     0.005
   -82.470     0.005
   -82.470     0.005
   -82.370     0.013
   -82.370     0.013
   -82.370     0.013
   -82.370     0.013
   -82.370     0.013
   -82.270     0.019
   -82.270     0.019
   -82.270     0.019
   -82.270     0.020
   -82.270     0.020
   -82.170     0.021
   -82.170     0.021
   -82.170     0.021
   -82.170     0.021
   -82.170     0.021
   -82.070     0.020
   -82.070     0.020
   -82.070     0.020
   -82.070     0.020
   -82.070     0.020
   -81.970     0.019
   -81.970     0.019
   -81.970     0.019
   -81.970     0.019
   -81.970     0.019
   -81.870     0.017
   -81.870     0.017
   -81.870     0.017
   -81.870     0.017
   -81.870     0.017
   -81.770     0.010
   -81.770     0.010
   -81.770     0.010
   -81.770     0.010
   -81.770     0.010
   -81.670     0.004
   -81.670     0.004
   -81.670     0.004
   -81.670     0.004
   -81.670     0.004
   -81.570     0.005
   -81.570     0.004
   -81.570     0.004
   -81.570     0.004
   -81.570     0.004
   -81.470     0.012
   -81.470     0.012
   -81.470     0.012
   -81.470     0.012
   -81.470     0.012
   -81.370     0.019
   -81.370     0.019
   -81.370     0.019
   -81.370     0.019
   -81.370     0.019
   -81.270     0.022
   -81.270     0.022
   -81.270     0.022
   -81.270     0.022
   -81.270     0.022
   -81.170     0.021
   -81.170     0.021
   -81.170     0.021
   -81.170     0.021
