split,alias_class,run,period,field_G,frequency_MHz,phase_bin,x_spin_mid,direction_cos,direction_sin,release_residual,parent_release_ARA,time_us,count_weight,sample_bins
validation,primary,EMU00070058,RF off,500.0,6.7745,1,0.09375,0.057070648419991835,0.014222609923227283,0.12030159255160694,1.0649258510272868,1.992014565768308,249088.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,2,0.15625,0.07713819388885583,0.01602216149044191,-0.17874732493068254,1.1383456497343853,2.2345009569534966,221452.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,3,0.21875,0.023040504333468655,0.033833273938693495,0.39222477431632413,1.017036344044359,1.9597139746965144,261493.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,4,0.28125,0.051233195832221336,0.038604208741327355,-0.5575431072651726,0.9734596250486403,1.797409799950321,273631.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,5,0.34375,-0.020107462366017653,0.0746240249183869,-0.6654772753968349,1.1848666833417834,2.38788899738069,202363.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,6,0.40625,0.0024518377434987297,0.04313936379176722,0.3246782356731019,0.958474211771571,1.7925049908879096,287175.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,7,0.46875,-0.05206771271898818,0.057889913295317265,-0.020128185042158145,1.0239478436597855,1.959600797829823,251002.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,8,0.53125,0.03127841637723591,0.07701343058930869,0.38547124465637767,1.0863073927976237,2.098005777927063,232028.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,9,0.59375,-0.02838562037570706,0.08757479393635209,0.07005909954345256,1.0938277481641703,2.091319938905464,252561.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,10,0.65625,-0.00040368317132877723,0.0678436661824237,-0.7345893651971525,1.0418033540243823,2.0350912560133807,211594.0,10
validation,primary,EMU00070058,RF off,500.0,6.7745,11,0.71875,-0.040206036187466945,0.04296947692600198,0.006120647625922631,0.9882228755368286,1.828925514844352,270763.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,12,0.78125,-0.03165603021996038,0.0396969193709706,-0.07122941196298216,1.1949322896731787,2.4137806390359873,200685.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,13,0.84375,-0.06711035690118666,0.028948824869583993,-0.24235375727874034,0.9726924479686601,1.821798958343561,282141.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,14,0.90625,-0.055138437563992754,0.018001158234015675,-0.07744847827268984,1.0383250645130904,1.9932694639380706,247154.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,15,0.96875,-0.045799028653618006,0.017783933023102664,0.023551942301061765,1.0984966107344212,2.127752130949612,228161.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,16,1.03125,-0.05775594033571676,-0.01656365438050444,0.31066551243388385,1.1063955900457068,2.1235772348707225,249293.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,17,1.09375,-0.05486754902578893,-0.0315290235770756,-0.5038253062731837,1.0912556964717166,2.1479425383369546,225980.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,18,1.15625,-0.053007130500720076,-0.010771478819184851,0.0568662673453276,0.993528719293454,1.8717740966511496,257253.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,19,1.21875,-0.0028362075664113413,-0.021521850740854487,0.04535897307252965,1.1853422295121212,2.3050472811700042,218098.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,20,1.28125,-0.044610762584239044,-0.03216327236345878,-0.011665752317644204,0.9963021523485667,1.9280701550693127,263146.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,21,1.34375,-0.017096743668700894,-0.10628171312543755,-0.49812317923149924,0.9881992831241816,1.848662467336505,280633.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,22,1.40625,-0.052672894703819674,-0.052053602647699516,-0.5848259668465449,0.9712443477538092,1.8724326488173715,255862.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,23,1.46875,-0.01175410015172877,-0.06552422766348823,0.40881241894167347,1.1027720698987538,2.1214549660714273,230149.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,24,1.53125,0.04702776556334819,-0.058369330722959065,0.15585335847770046,1.0792918153339828,2.036828381078281,246646.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,25,1.59375,0.011828647547573483,-0.019929975239459854,0.2537351872134607,0.8651791588706681,1.6577208992765735,298164.0,12
