split,alias_class,period,phase_bin,x_spin_mid,measure,mean,se,run_count,count_weight
development,primary,RF off,25,1.59375,release_residual,0.07221806206149357,0.06670472217552492,13,3219624.0
development,primary,RF off,25,1.59375,parent_release_ARA,1.0585034737868384,0.02439314206564622,13,3219624.0
development,primary,RF off,25,1.59375,time_us,2.058297606428508,0.066214690839495,13,3219624.0
development,primary,RF off,26,1.65625,direction_cos,0.04542004848767655,0.006947630823506915,13,3287152.0
development,primary,RF off,26,1.65625,direction_sin,-0.06210251542851848,0.007207738293674828,13,3287152.0
development,primary,RF off,26,1.65625,release_residual,-0.02088146271525391,0.09657439629612666,13,3287152.0
development,primary,RF off,26,1.65625,parent_release_ARA,1.0323221161743974,0.028270415343829604,13,3287152.0
development,primary,RF off,26,1.65625,time_us,1.9698784763198671,0.06970725911090467,13,3287152.0
development,primary,RF off,27,1.71875,direction_cos,0.058721388988052334,0.007168179230854241,13,2868597.0
development,primary,RF off,27,1.71875,direction_sin,-0.06167120455438911,0.007852772984222026,13,2868597.0
development,primary,RF off,27,1.71875,release_residual,-0.07284452122923442,0.06875119665897085,13,2868597.0
development,primary,RF off,27,1.71875,parent_release_ARA,1.100460771665138,0.024172811909768586,13,2868597.0
development,primary,RF off,27,1.71875,time_us,2.111796095554433,0.052106690522777326,13,2868597.0
development,primary,RF off,28,1.78125,direction_cos,0.053560209690438704,0.004519658370800807,13,3056040.0
development,primary,RF off,28,1.78125,direction_sin,-0.04696398858576267,0.004367051923506392,13,3056040.0
development,primary,RF off,28,1.78125,release_residual,-0.08511130808831403,0.1157352943630374,13,3056040.0
development,primary,RF off,28,1.78125,parent_release_ARA,1.0441953867830551,0.03068654674480895,13,3056040.0
development,primary,RF off,28,1.78125,time_us,2.027296550363835,0.06897863902952855,13,3056040.0
development,primary,RF off,29,1.84375,direction_cos,0.07867708526320241,0.008684721106723595,13,3062524.0
development,primary,RF off,29,1.84375,direction_sin,-0.03901094197956537,0.005905721135410472,13,3062524.0
development,primary,RF off,29,1.84375,release_residual,0.06410222318765488,0.07988982323675933,13,3062524.0
development,primary,RF off,29,1.84375,parent_release_ARA,1.0606853638398717,0.029915492467974713,13,3062524.0
development,primary,RF off,29,1.84375,time_us,2.0420403582013464,0.07930389782589212,13,3062524.0
development,primary,RF off,30,1.90625,direction_cos,0.07212232982009274,0.0060999531898100635,13,2926645.0
development,primary,RF off,30,1.90625,direction_sin,-0.03297328440134763,0.005842814960556231,13,2926645.0
development,primary,RF off,30,1.90625,release_residual,-0.02695328753092229,0.08367416917345544,13,2926645.0
development,primary,RF off,30,1.90625,parent_release_ARA,1.0820574616390586,0.04160664812603899,13,2926645.0
development,primary,RF off,30,1.90625,time_us,2.0952847447754483,0.10585477805672419,13,2926645.0
development,primary,RF off,31,1.96875,direction_cos,0.07583767884572211,0.005453230352727434,13,3078453.0
development,primary,RF off,31,1.96875,direction_sin,-0.019353723250102723,0.006248976471934202,13,3078453.0
development,primary,RF off,31,1.96875,release_residual,-0.07485500972105341,0.0672250563037042,13,3078453.0
development,primary,RF off,31,1.96875,parent_release_ARA,1.0777239898122168,0.03335284799869166,13,3078453.0
development,primary,RF off,31,1.96875,time_us,2.078908365712116,0.07764403108961448,13,3078453.0
development,primary,RF on,0,0.03125,direction_cos,0.09239221783326257,0.007671120019039604,13,3270584.0
development,primary,RF on,0,0.03125,direction_sin,-0.006714968318277068,0.0053332081733567715,13,3270584.0
development,primary,RF on,0,0.03125,release_residual,-0.08363734168623564,0.07797945591405625,13,3270584.0
development,primary,RF on,0,0.03125,parent_release_ARA,1.0371978434061684,0.0336378808236784,13,3270584.0
development,primary,RF on,0,0.03125,time_us,1.9768666011558975,0.07724709855801325,13,3270584.0
development,primary,RF on,1,0.09375,direction_cos,0.07366561360706451,0.008384294370557927,13,3033414.0
development,primary,RF on,1,0.09375,direction_sin,0.02454369792616902,0.0066869710556823805,13,3033414.0
development,primary,RF on,1,0.09375,release_residual,0.0030796862909031586,0.08340231686585751,13,3033414.0
development,primary,RF on,1,0.09375,parent_release_ARA,1.1002425276693928,0.027404354744488924,13,3033414.0
development,primary,RF on,1,0.09375,time_us,2.153618076385586,0.07707988210780696,13,3033414.0
development,primary,RF on,2,0.15625,direction_cos,0.06616538623673926,0.007030909637925248,13,2906793.0
development,primary,RF on,2,0.15625,direction_sin,0.030109694217980616,0.0055033184268193725,13,2906793.0
development,primary,RF on,2,0.15625,release_residual,-0.14249107770274072,0.10149706003751251,13,2906793.0
development,primary,RF on,2,0.15625,parent_release_ARA,1.067158155687302,0.03479430134220711,13,2906793.0
development,primary,RF on,2,0.15625,time_us,2.049950783258265,0.07704476479731738,13,2906793.0
development,primary,RF on,3,0.21875,direction_cos,0.06546226934734141,0.004543965436167471,13,2793386.0
development,primary,RF on,3,0.21875,direction_sin,0.042116188566216343,0.005334924097734965,13,2793386.0
development,primary,RF on,3,0.21875,release_residual,-0.01085476990146289,0.09586230331151571,13,2793386.0
development,primary,RF on,3,0.21875,parent_release_ARA,1.0832163020682661,0.030691948425315627,13,2793386.0
development,primary,RF on,3,0.21875,time_us,2.0570830011277548,0.06686008784475438,13,2793386.0
development,primary,RF on,4,0.28125,direction_cos,0.0363225255053719,0.008927993370234194,13,3043062.0
development,primary,RF on,4,0.28125,direction_sin,0.06692260824567,0.006848438644827913,13,3043062.0
development,primary,RF on,4,0.28125,release_residual,0.03248268271344924,0.08011856405719554,13,3043062.0
development,primary,RF on,4,0.28125,parent_release_ARA,1.0835431856974493,0.03304746522651057,13,3043062.0
development,primary,RF on,4,0.28125,time_us,2.1123517994866945,0.072872555055032,13,3043062.0
development,primary,RF on,5,0.34375,direction_cos,0.03532919589007672,0.007434649604163793,13,2992403.0
development,primary,RF on,5,0.34375,direction_sin,0.07061101792940278,0.008833526666519143,13,2992403.0
development,primary,RF on,5,0.34375,release_residual,-0.20023359915223113,0.09122516860598553,13,2992403.0
development,primary,RF on,5,0.34375,parent_release_ARA,1.0345048204783605,0.027207141410505068,13,2992403.0
development,primary,RF on,5,0.34375,time_us,1.975054516767195,0.06657443818783863,13,2992403.0
development,primary,RF on,6,0.40625,direction_cos,0.013236604503439154,0.00685528397455209,13,3365358.0
development,primary,RF on,6,0.40625,direction_sin,0.08498501444104868,0.007488551586209359,13,3365358.0
development,primary,RF on,6,0.40625,release_residual,-0.17617482008490004,0.08434693016137365,13,3365358.0
development,primary,RF on,6,0.40625,parent_release_ARA,1.0774841575701934,0.04668844621052781,13,3365358.0
development,primary,RF on,6,0.40625,time_us,2.0803412112964366,0.1147812790329469,13,3365358.0
development,primary,RF on,7,0.46875,direction_cos,0.005874065234950594,0.005102900544730176,13,2985166.0
development,primary,RF on,7,0.46875,direction_sin,0.08003643419596912,0.005806382682131724,13,2985166.0
development,primary,RF on,7,0.46875,release_residual,-0.08595276030890728,0.07812067845942444,13,2985166.0
development,primary,RF on,7,0.46875,parent_release_ARA,1.0369837977772296,0.038134758429694736,13,2985166.0
development,primary,RF on,7,0.46875,time_us,1.9925814610156993,0.0831571088075764,13,2985166.0
development,primary,RF on,8,0.53125,direction_cos,-0.01125949623317631,0.0049344790175313005,13,3033683.0
development,primary,RF on,8,0.53125,direction_sin,0.08467542879212096,0.00841283207728689,13,3033683.0
development,primary,RF on,8,0.53125,release_residual,0.13530294239881124,0.09274145205373957,13,3033683.0
development,primary,RF on,8,0.53125,parent_release_ARA,1.0306605838352065,0.030762243771793287,13,3033683.0
