identity,family,delta_r_ohm,condition,lag,rho,miss_signed,miss_abs
coupled_240,coupled,240.0,reversed,14,0.9996679681520291,0.28762919723611435,0.28762919723611435
coupled_240,coupled,240.0,reversed,15,0.9996835222418616,0.1653529467395907,0.1653529467395907
coupled_240,coupled,240.0,reversed,16,0.9997128721428561,0.043060704218112256,0.043060704218112256
coupled_240,coupled,240.0,shuffled,1,0.1629596088908707,-0.04090966677599821,0.30810928450107455
coupled_240,coupled,240.0,shuffled,2,0.1546699824793381,0.017210634444600973,0.2919541616339105
coupled_240,coupled,240.0,shuffled,3,0.164716558146596,-0.002745334415071227,0.2952645735191195
coupled_240,coupled,240.0,shuffled,4,0.16000819540034286,-0.012536829257848235,0.2994690406570778
coupled_240,coupled,240.0,shuffled,5,0.15867713823441854,-0.022044182209185213,0.2713430771948611
coupled_240,coupled,240.0,shuffled,6,0.16858189290851558,0.06812692736597611,0.291732456011988
coupled_240,coupled,240.0,shuffled,7,0.1692165236257731,-0.005792426852440536,0.2870119655717227
coupled_240,coupled,240.0,shuffled,8,0.17782596879127827,0.021089171506910663,0.2963598376841541
coupled_240,coupled,240.0,shuffled,9,0.18076660972747688,-0.006750490592993767,0.29083743105648363
coupled_240,coupled,240.0,shuffled,10,0.18364651042889696,0.02932399411895805,0.2878767648081241
coupled_240,coupled,240.0,shuffled,11,0.18454345564721236,-0.025793564676683287,0.2879923234178585
coupled_240,coupled,240.0,shuffled,12,0.1934636723518786,-0.0014320377534389535,0.2759138002603642
coupled_240,coupled,240.0,shuffled,13,0.19591825663567572,-0.0007855587825549239,0.2826583294418388
coupled_240,coupled,240.0,shuffled,14,0.2013060285481743,0.01648279261473479,0.29333713886838214
coupled_240,coupled,240.0,shuffled,15,0.20799864957299796,-0.040841410122908775,0.2762516483133386
coupled_240,coupled,240.0,shuffled,16,0.2135158970667335,0.010686942281222401,0.2822359494984017
coupled_240,coupled,240.0,wrong_record,1,0.9999897622269474,0.122658499879053,0.122658499879053
coupled_240,coupled,240.0,wrong_record,2,0.9999620434579715,0.24531844356941263,0.24531844356941263
coupled_240,coupled,240.0,wrong_record,3,0.999922245902545,0.36797143438518065,0.36797143438518065
coupled_240,coupled,240.0,wrong_record,4,0.9998751624638048,0.49062319530136317,0.49062319530136317
coupled_240,coupled,240.0,wrong_record,5,0.9998227623312315,-0.3867193815819475,0.3867193815819475
coupled_240,coupled,240.0,wrong_record,6,0.9997701930178535,-0.26408164385434596,0.26408164385434596
coupled_240,coupled,240.0,wrong_record,7,0.9997231266956437,-0.14138476409302547,0.14138476409302547
coupled_240,coupled,240.0,wrong_record,8,0.999686530950149,-0.018760305412602395,0.018760305412602395
coupled_240,coupled,240.0,wrong_record,9,0.9996662520813826,0.10384099085659457,0.10384099085659457
coupled_240,coupled,240.0,wrong_record,10,0.9996535085758693,0.22646925226365827,0.22646925226365827
coupled_240,coupled,240.0,wrong_record,11,0.9996406046510793,0.3491019869307225,0.3491019869307225
coupled_240,coupled,240.0,wrong_record,12,0.9996452396027069,0.4716803826953159,0.4716907443119681
coupled_240,coupled,240.0,wrong_record,13,0.9996461229505014,-0.4056090253720459,0.4056090253720459
coupled_240,coupled,240.0,wrong_record,14,0.9996571772697957,-0.28294673774623136,0.28294673774623136
coupled_240,coupled,240.0,wrong_record,15,0.9996799131705933,-0.1603167991071613,0.1603167991071613
coupled_240,coupled,240.0,wrong_record,16,0.9997031892315551,-0.03765858717400637,0.03765858717400637
coupled_290,coupled,290.0,chronological,1,0.9999906857335175,0.120691958903791,0.120691958903791
coupled_290,coupled,290.0,chronological,2,0.9999652737269413,0.24139952740101933,0.24139952740101933
coupled_290,coupled,290.0,chronological,3,0.999926945693983,0.36210899580621353,0.36210899580621353
coupled_290,coupled,290.0,chronological,4,0.9998828362493727,0.4828083052895096,0.4828083052895096
coupled_290,coupled,290.0,chronological,5,0.9998344753757138,-0.3965031866226444,0.3965031866226444
coupled_290,coupled,290.0,chronological,6,0.9997849316518841,-0.2757685162413439,0.2757685162413439
coupled_290,coupled,290.0,chronological,7,0.9997410868329242,-0.1550323804080696,0.1550323804080696
coupled_290,coupled,290.0,chronological,8,0.9997056561147883,-0.034291899711973065,0.034291899711973065
coupled_290,coupled,290.0,chronological,9,0.9996869539334736,0.08641063506515945,0.08641063506515945
coupled_290,coupled,290.0,chronological,10,0.9996783921681754,0.20711582356350605,0.20711582356350605
coupled_290,coupled,290.0,chronological,11,0.9996612760220632,0.3278330248738832,0.3278330248738832
coupled_290,coupled,290.0,chronological,12,0.999668960782205,0.4486167715822178,0.4486167715822178
coupled_290,coupled,290.0,chronological,13,0.9996693186524162,-0.4308028319983356,0.4308028319983356
coupled_290,coupled,290.0,chronological,14,0.9996806650691965,-0.31002252566058475,0.31002252566058475
coupled_290,coupled,290.0,chronological,15,0.9996994015432354,-0.18934025891909123,0.18934025891909123
coupled_290,coupled,290.0,chronological,16,0.9997103500600083,-0.06863901247982837,0.06863901247982837
coupled_290,coupled,290.0,reversed,1,0.9999906857335173,-0.12069195890379097,0.12069195890379097
coupled_290,coupled,290.0,reversed,2,0.9999652737269413,-0.24139952740101933,0.24139952740101933
coupled_290,coupled,290.0,reversed,3,0.999926945693983,-0.36210899580621353,0.36210899580621353
coupled_290,coupled,290.0,reversed,4,0.9998828362493728,-0.4828083052895096,0.4828083052895096
coupled_290,coupled,290.0,reversed,5,0.9998344753757138,0.3965031866226444,0.3965031866226444
coupled_290,coupled,290.0,reversed,6,0.9997849316518841,0.2757685162413439,0.2757685162413439
coupled_290,coupled,290.0,reversed,7,0.9997410868329242,0.1550323804080696,0.1550323804080696
coupled_290,coupled,290.0,reversed,8,0.9997056561147883,0.034291899711973065,0.034291899711973065
coupled_290,coupled,290.0,reversed,9,0.9996869539334736,-0.08641063506515942,0.08641063506515942
coupled_290,coupled,290.0,reversed,10,0.9996783921681756,-0.20711582356350605,0.20711582356350605
coupled_290,coupled,290.0,reversed,11,0.9996612760220632,-0.3278330248738832,0.3278330248738832
coupled_290,coupled,290.0,reversed,12,0.9996689607822051,-0.4486167715822178,0.4486167715822178
coupled_290,coupled,290.0,reversed,13,0.9996693186524162,0.43080283199833563,0.43080283199833563
coupled_290,coupled,290.0,reversed,14,0.9996806650691965,0.31002252566058475,0.31002252566058475
coupled_290,coupled,290.0,reversed,15,0.9996994015432354,0.18934025891909123,0.18934025891909123
coupled_290,coupled,290.0,reversed,16,0.9997103500600084,0.06863901247982837,0.06863901247982837
coupled_290,coupled,290.0,shuffled,1,0.14934673339091287,0.017849357366207366,0.28522870908066333
coupled_290,coupled,290.0,shuffled,2,0.1547476660573982,-0.017214536884527995,0.2923884126559599
coupled_290,coupled,290.0,shuffled,3,0.15655645945085683,-0.004980010786467769,0.2756257129773336
coupled_290,coupled,290.0,shuffled,4,0.16369184317087104,-0.0035315447353648386,0.28385154484930436
coupled_290,coupled,290.0,shuffled,5,0.16703958742258526,0.01240356311607753,0.30529236494094725
coupled_290,coupled,290.0,shuffled,6,0.1638320909712372,0.002006515803263702,0.29391522532527736
coupled_290,coupled,290.0,shuffled,7,0.17338292664032637,-0.005429862307089722,0.29220713537226506
coupled_290,coupled,290.0,shuffled,8,0.17551923941820194,0.004758712192952307,0.29900479656240186
coupled_290,coupled,290.0,shuffled,9,0.1783068162550165,-0.03688947944259453,0.296684223715823
coupled_290,coupled,290.0,shuffled,10,0.177539667528045,0.01549504221464793,0.2843318035318685
coupled_290,coupled,290.0,shuffled,11,0.18577586540038657,0.012392631568596574,0.291118501221709
coupled_290,coupled,290.0,shuffled,12,0.19446620697931424,-0.019129655508231203,0.2940256774799479
