trajectory_id,phase_id,split,family,parameter,parameter_index,replicate,radial_mode,radial_span,control,endpoint_error,x_l,x_c,radial_log_gain,x_p,x_r,mean_rho,best_miss_64,best_miss_512,exact_closure_64
calibration:periodic rational:0:6:neutral,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,neutral,0.35,chronological,0.0,1.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6:neutral,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,neutral,0.35,phase_reflected,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6:neutral,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,neutral,0.35,shuffled,0.0,1.0,1.0154624988447167,0.0,0.0,1.9595613419018003,0.013980140886825173,,,False
calibration:periodic rational:0:6:neutral,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,neutral,0.35,endpoint_shuffled,0.0,1.0,0.999025656722791,0.0,0.0,1.9971508112145144,0.013202312998832014,,,False
calibration:periodic rational:0:6:neutral,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,neutral,0.35,radial_inverted,0.0,1.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6:expansion,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,expansion,0.35,chronological,0.0,1.4355021139154798,0.0,0.3499999999999999,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6:expansion,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,expansion,0.35,phase_reflected,0.0,1.4355021139154798,2.0,0.3499999999999999,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6:expansion,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,expansion,0.35,shuffled,0.0,1.4355021139154798,1.0154624988447167,0.3499999999999999,0.0,1.9595613419018003,0.013980140886825173,,,False
calibration:periodic rational:0:6:expansion,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,expansion,0.35,endpoint_shuffled,0.0,1.4355021139154798,0.999025656722791,0.3499999999999999,0.0,1.9971508112145144,0.013202312998832014,,,False
calibration:periodic rational:0:6:expansion,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,expansion,0.35,radial_inverted,0.0,0.56449788608452,0.0,-0.35,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:contraction,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,contraction,0.75,chronological,0.0,0.23840584404423515,0.0,-0.7499999999999999,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:contraction,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,contraction,0.75,phase_reflected,0.0,0.23840584404423515,2.0,-0.7499999999999999,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:contraction,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,contraction,0.75,shuffled,0.0,0.23840584404423515,1.0054761467097009,-0.7499999999999999,0.0,1.989626386767044,0.014034474152713541,,,False
calibration:periodic rational:0:7:contraction,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,contraction,0.75,endpoint_shuffled,0.0,0.23840584404423515,1.016322347976789,-0.7499999999999999,0.0,1.971138858635372,0.013850461103234487,,,False
calibration:periodic rational:0:7:contraction,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,contraction,0.75,radial_inverted,0.0,1.7615941559557649,0.0,0.7499999999999999,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:neutral,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,neutral,0.75,chronological,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:neutral,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,neutral,0.75,phase_reflected,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:neutral,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,neutral,0.75,shuffled,0.0,1.0,1.0054761467097009,0.0,0.0,1.989626386767044,0.014034474152713541,,,False
calibration:periodic rational:0:7:neutral,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,neutral,0.75,endpoint_shuffled,0.0,1.0,1.016322347976789,0.0,0.0,1.971138858635372,0.013850461103234487,,,False
calibration:periodic rational:0:7:neutral,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,neutral,0.75,radial_inverted,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:expansion,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,expansion,0.75,chronological,0.0,1.7615941559557649,0.0,0.7499999999999999,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:expansion,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,expansion,0.75,phase_reflected,0.0,1.7615941559557649,2.0,0.7499999999999999,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:7:expansion,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,expansion,0.75,shuffled,0.0,1.7615941559557649,1.0054761467097009,0.7499999999999999,0.0,1.989626386767044,0.014034474152713541,,,False
calibration:periodic rational:0:7:expansion,calibration:periodic rational:0:7,calibration,periodic rational,5,0,7,expansion,0.75,endpoint_shuffled,0.0,1.7615941559557649,1.016322347976789,0.7499999999999999,0.0,1.971138858635372,0.013850461103234487,,,False
