identity,delta_r_ohm,pair,window,sample,cycle,landmark,phase,ara_phase,physical_time
coupled_170,170.0,40,0,26,3,2,0.6930373945928254,1.3860747891856509,8.252150494914638
coupled_170,170.0,40,0,27,3,3,0.8196971401221207,1.6393942802442414,8.558667079095532
coupled_170,170.0,40,0,28,3,4,0.946356885651416,1.892713771302832,8.865183663276426
coupled_170,170.0,40,0,29,3,5,0.07168367036808121,0.14336734073616242,9.17170024745732
coupled_170,170.0,40,0,30,3,6,0.1960311690215879,0.3920623380431758,9.478216831638214
coupled_170,170.0,40,0,31,3,7,0.32037866767509415,0.6407573353501883,9.784733415819106
coupled_170,170.0,40,1,0,0,0,0.4447254862742911,0.8894509725485822,10.091248323666127
coupled_170,170.0,40,1,1,0,1,0.5688514198782961,1.1377028397565923,10.39721875
coupled_170,170.0,40,1,2,0,2,0.6929766734279919,1.3859533468559837,10.7031875
coupled_170,170.0,40,1,3,0,3,0.8171019269776871,1.6342038539553743,11.00915625
coupled_170,170.0,40,1,4,0,4,0.9412271805273829,1.8824543610547657,11.315125
coupled_170,170.0,40,1,5,0,5,0.06580291039060526,0.13160582078121053,11.62109375
coupled_170,170.0,40,1,6,0,6,0.19078376308399214,0.3815675261679843,11.9270625
coupled_170,170.0,40,1,7,0,7,0.3157646157773808,0.6315292315547616,12.23303125
coupled_170,170.0,40,1,8,1,0,0.44074673281868026,0.8814934656373605,12.539003095281732
coupled_170,170.0,40,1,9,1,1,0.5662113862649987,1.1324227725299973,12.84615625
coupled_170,170.0,40,1,10,1,2,0.6916773040592297,1.3833546081184593,13.1533125
coupled_170,170.0,40,1,11,1,3,0.8171432218534589,1.6342864437069178,13.460468749999999
coupled_170,170.0,40,1,12,1,4,0.9426091396476899,1.8852182792953798,13.767625
coupled_170,170.0,40,1,13,1,5,0.06848300659190176,0.13696601318380353,14.074781250000001
coupled_170,170.0,40,1,14,1,6,0.19470079616471203,0.38940159232942406,14.3819375
coupled_170,170.0,40,1,15,1,7,0.3209185857375223,0.6418371714750446,14.68909375
coupled_170,170.0,40,1,16,2,0,0.44713235770257853,0.8942647154051571,14.996240222984127
coupled_170,170.0,40,1,17,2,1,0.5720412856068835,1.144082571213767,15.300211303577916
coupled_170,170.0,40,1,18,2,2,0.6969461959034318,1.3938923918068635,15.60417260715583
coupled_170,170.0,40,1,19,2,3,0.8218511061999818,1.6437022123999636,15.908133910733746
coupled_170,170.0,40,1,20,2,4,0.946756016496531,1.893512032993062,16.21209521431166
coupled_170,170.0,40,1,21,2,5,0.07125444301808948,0.14250888603617895,16.516056517889574
coupled_170,170.0,40,1,22,2,6,0.195450852577566,0.390901705155132,16.820017821467488
coupled_170,170.0,40,1,23,2,7,0.3196472621370452,0.6392945242740904,17.123979125045405
coupled_170,170.0,40,1,24,3,0,0.4438492599201327,0.8876985198402654,17.427954105377257
coupled_170,170.0,40,1,25,3,1,0.5694518649971929,1.1389037299943858,17.735356965954495
coupled_170,170.0,40,1,26,3,2,0.6950600582978659,1.3901201165957318,18.04277350328567
coupled_170,170.0,40,1,27,3,3,0.8206682515985388,1.6413365031970777,18.350190040616848
coupled_170,170.0,40,1,28,3,4,0.9462764448992109,1.8925528897984218,18.657606577948023
coupled_170,170.0,40,1,29,3,5,0.07222445486363771,0.14444890972727542,18.965023115279198
coupled_170,170.0,40,1,30,3,6,0.19842642950976508,0.39685285901953016,19.272439652610377
coupled_170,170.0,40,1,31,3,7,0.3246284041558898,0.6492568083117796,19.57985618994155
coupled_170,170.0,40,2,0,0,0,0.45082582054292253,0.9016516410858451,19.887261623767966
coupled_170,170.0,40,2,1,0,1,0.5759065675676238,1.1518131351352476,20.191946952543134
coupled_170,170.0,40,2,2,0,2,0.7009827563332314,1.4019655126664627,20.49662117781354
coupled_170,170.0,40,2,3,0,3,0.8260589450988398,1.6521178901976796,20.801295403083948
coupled_170,170.0,40,2,4,0,4,0.9511351338644474,1.9022702677288947,21.10596962835435
coupled_170,170.0,40,2,5,0,5,0.07623977561591921,0.15247955123183843,21.410643853624762
coupled_170,170.0,40,2,6,0,6,0.2013626607372334,0.4027253214744668,21.715318078895166
coupled_170,170.0,40,2,7,0,7,0.32648554585855116,0.6529710917171023,22.019992304165573
coupled_170,170.0,40,2,8,1,0,0.45160930061674875,0.9032186012334975,22.324668647001786
coupled_170,170.0,40,2,9,1,1,0.5775880752593352,1.1551761505186704,22.631426963256484
coupled_170,170.0,40,2,10,1,2,0.7035677195388015,1.407135439077603,22.938187397076984
coupled_170,170.0,40,2,11,1,3,0.8295473638182695,1.659094727636539,23.244947830897488
coupled_170,170.0,40,2,12,1,4,0.9555270080977376,1.9110540161954752,23.55170826471799
coupled_170,170.0,40,2,13,1,5,0.08088383027549462,0.16176766055098923,23.858468698538495
coupled_170,170.0,40,2,14,1,6,0.20590081807804417,0.41180163615608834,24.165229132359
