medium,event,x_P,x_R,successor_loss,successor_null_loss,radius_mean,end_index,end_position,quadrant,parent_step
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,767,-1281.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,783,-1265.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,799,-1249.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,815,-1233.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,831,-1217.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,847,-1201.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,863,-1185.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,879,-1169.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,895,-1153.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,911,-1137.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,927,-1121.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,943,-1105.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,959,-1089.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,975,-1073.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,991,-1057.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1007,-1041.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1023,-1025.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1039,-1009.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1055,-993.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1071,-977.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1087,-961.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1103,-945.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1119,-929.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1135,-913.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1151,-897.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1167,-881.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1183,-865.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1199,-849.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1215,-833.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1231,-817.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1247,-801.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1263,-785.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1279,-769.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1295,-753.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1311,-737.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1327,-721.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1343,-705.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1359,-689.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1375,-673.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1391,-657.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1407,-641.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1423,-625.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1439,-609.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1455,-593.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1471,-577.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1487,-561.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1503,-545.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1519,-529.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1535,-513.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1551,-497.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1567,-481.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1583,-465.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1599,-449.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1615,-433.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1631,-417.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1647,-401.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1663,-385.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1679,-369.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1695,-353.0,bA,0.0
