medium,event,relative_row,x_S,x_F,child_u,child_v,child_handover,active_Ab_child
dry,1,109,1.2122193904835412,1.8451722677558935,0.42443878096708243,1.690344535511787,1.5985983266845738,True
dry,1,110,1.2123264603407997,1.8373705286333295,0.42465292068159943,1.674741057266659,1.5954519016991622,True
dry,1,111,1.2124436094774564,1.8288190173918077,0.4248872189549129,1.6576380347836155,1.591949996100014,True
dry,1,112,1.2125574688114573,1.8194804507744773,0.42511493762291463,1.6389609015489546,1.5880820563323141,True
dry,1,113,1.2126618048890363,1.8092773023646895,0.4253236097780726,1.618554604729379,1.5838072867951478,True
dry,1,114,1.2127688638438856,1.7979773736770062,0.4255377276877712,1.5959547473540123,1.5789865824962068,True
dry,1,115,1.2128830366222043,1.7853516470771638,0.4257660732444086,1.5707032941543275,1.5734809857872722,True
dry,1,116,1.2129969804498946,1.771216955464988,0.42599396089978914,1.5424339109299758,1.5671734108257636,True
dry,1,117,1.2131105644979912,1.755280597930413,0.4262211289959823,1.5105611958608258,1.5598667712671386,True
dry,1,118,1.2132241894301405,1.7371487262090994,0.4264483788602811,1.4742974524181989,1.5512831101952824,True
dry,1,119,1.2133432192327596,1.7162774052607532,0.4266864384655191,1.4325548105215065,1.5410101419619517,True
dry,1,120,1.213464843809305,1.6920368880492842,0.42692968761860994,1.3840737760985684,1.5285158795419258,True
dry,1,121,1.2135807337174305,1.6636386615858565,0.42716146743486094,1.327277323171713,1.5130505894854553,True
dry,1,122,1.21369468844753,1.629866316328588,0.42738937689505985,1.259732632657176,1.4933509556804496,True
dry,1,123,1.2138089647987722,1.5890097539903494,0.4276179295975444,1.1780195079806988,1.4673543110174192,True
dry,1,124,1.213918310534416,1.5386355492863597,0.427836621068832,1.0772710985727194,1.4314870417770187,True
dry,1,125,1.214018727195101,1.4749543447171745,0.42803745439020213,0.9499086894343489,1.378731227909728,True
dry,1,126,1.2141232159064446,1.391576115043738,0.42824643181288913,0.783152230087476,1.2929719252932252,True
dry,1,127,1.2142362521083718,1.2777097312983217,0.42847250421674365,0.5554194625966433,1.1290253022301355,True
dry,1,128,1.2143450527234485,1.1131420314981841,0.428690105446897,0.22628406299636827,0.6909709539666198,True
dry,1,129,1.2144502991523924,0.8541560101633571,0.4289005983047849,-0.29168797967328586,,False
dry,1,130,1.2145632971958877,0.3861707134251435,0.4291265943917755,-1.227658573149713,,False
dry,1,131,1.2146756628995061,0.0,0.42935132579901225,-2.0,,False
dry,1,132,1.2147803723846897,0.0,0.42956074476937944,-2.0,,False
dry,1,133,1.2148877338814477,0.0,0.4297754677628953,-2.0,,False
dry,1,134,1.2149999305976875,0.0,0.42999986119537503,-2.0,,False
dry,1,135,1.2151175321843972,0.0,0.43023506436879444,-2.0,,False
dry,1,136,1.2152339944691128,0.0,0.4304679889382257,-2.0,,False
dry,1,137,1.2153465455137233,0.0,0.4306930910274467,-2.0,,False
dry,1,138,1.2154563028154222,0.0,0.4309126056308443,-2.0,,False
dry,1,139,1.215569186383603,0.0,0.4311383727672058,-2.0,,False
dry,1,140,1.2156885214537514,0.0,0.4313770429075028,-2.0,,False
dry,1,141,1.2158129452244493,0.0,0.43162589044889854,-2.0,,False
dry,1,142,1.2159322721177726,0.0,0.4318645442355451,-2.0,,False
dry,1,143,1.2160558427747534,0.0,0.43211168554950685,-2.0,,False
dry,1,144,1.2161892228764513,0.0,0.4323784457529025,-2.0,,False
dry,1,145,1.2163190324384028,0.0,0.43263806487680556,-2.0,,False
dry,1,146,1.2164413465924728,0.0,0.43288269318494565,-2.0,,False
dry,1,147,1.2165669832564265,0.0,0.4331339665128531,-2.0,,False
dry,1,148,1.2166942770869364,0.0,0.4333885541738729,-2.0,,False
dry,1,149,1.216827215640972,0.0,0.43365443128194414,-2.0,,False
dry,1,150,1.2169468559786316,0.0,0.43389371195726323,-2.0,,False
dry,1,151,1.2170658912324552,0.0,0.43413178246491047,-2.0,,False
dry,1,152,1.2171919367368615,0.0,0.4343838734737231,-2.0,,False
dry,1,153,1.2173097781766455,0.0,0.4346195563532911,-2.0,,False
dry,1,154,1.2174231441765229,0.0,0.43484628835304573,-2.0,,False
dry,1,155,1.2175396119124613,0.0,0.4350792238249226,-2.0,,False
dry,1,156,1.2176667531092067,0.0,0.4353335062184134,-2.0,,False
dry,1,157,1.2177913785745105,0.0,0.43558275714902095,-2.0,,False
dry,1,158,1.2179115749351461,0.0,0.43582314987029225,-2.0,,False
dry,1,159,1.2180264781750427,0.0,0.43605295635008545,-2.0,,False
dry,1,160,1.2181440552313316,0.0,0.43628811046266325,-2.0,,False
