split,case_id,seed,duration,teeth,width,rate_on,noise,regime,mode,connection_share_at_80,final_connection_response,post_front_response,geometry_score,response_score,lock_order_spearman,median_k_minus_g_onset_lag,pause_connection_gain,pause_front_velocity,reverse_unlock_spearman
calibration,15,15,897,36,0.095,0.075,0.24,false-seam,forward,0.708460991638474,0.12376029750470383,0.05453486122638674,0.39815282042134853,0.12376029750470383,0.2350649350649351,-0.07087053571428571,,,
calibration,15,15,897,36,0.095,0.075,0.24,progressive,pause,0.7512109381856652,0.8504221221196879,0.9999999999991538,0.3984117778678993,0.8504221221196879,0.4293681730003721,-0.025669642857142856,0.018938282486792968,0.0,
calibration,15,15,897,36,0.095,0.075,0.24,progressive,reverse,3.34232696852326,0.15539970318063173,,0.40376133041940215,0.15539970318063173,0.586599436351754,-0.012276785714285714,,,-0.580314847064991
calibration,16,16,641,36,0.075,0.1,0.4,progressive,forward,0.849500218260662,0.8731910235810348,0.9999999999999293,0.42257143824887505,0.8731910235810348,0.2710424710424711,-0.14375,,,
calibration,16,16,641,36,0.075,0.1,0.4,memory-only,forward,1.0530617381799354,0.09862081770280264,0.020313910622416498,0.42257143824887505,0.09862081770280264,0.044817927170868355,-0.16249999999999998,,,
calibration,16,16,641,36,0.075,0.1,0.4,late-snap,forward,0.22189860056417535,0.4680237254619562,0.8052268332286703,0.42257143824887505,0.4680237254619562,0.05225225225225225,-0.14375,,,
calibration,16,16,641,36,0.075,0.1,0.4,false-seam,forward,1.2465761474556416,0.10941083443021098,0.0,0.42257143824887505,0.10941083443021098,0.013929618768328446,-0.1828125,,,
calibration,16,16,641,36,0.075,0.1,0.4,progressive,pause,0.7517354060912601,0.8447094743791166,0.9999999999963123,0.4193770343124149,0.8447094743791166,0.7725078849898362,-0.0796875,0.0262992115125652,0.0,
calibration,16,16,641,36,0.075,0.1,0.4,progressive,reverse,3.3606952699496193,0.1633384367725111,,0.42042251083465915,0.1633384367725111,0.5508481677124842,-0.0171875,,,-0.4358172856683717
calibration,17,17,897,36,0.055,0.05,0.32,progressive,forward,0.83040614366513,0.9038029760387685,0.9999999990843073,0.44204496508295493,0.9038029760387685,0.3915966386554622,-0.005580357142857143,,,
calibration,17,17,897,36,0.055,0.05,0.32,memory-only,forward,1.0225022161383335,0.11297899339695046,0.008748898397170312,0.44204496508295493,0.11297899339695046,-0.23308270676691725,-0.09598214285714286,,,
calibration,17,17,897,36,0.055,0.05,0.32,late-snap,forward,0.21874712444966735,0.5281041815570969,0.7584997161477476,0.44204496508295493,0.5281041815570969,-0.188568233795886,0.0546875,,,
calibration,17,17,897,36,0.055,0.05,0.32,false-seam,forward,0.9730809647373716,0.10064407276033428,0.0,0.44204496508295493,0.10064407276033428,-0.1961038961038961,-0.08091517857142858,,,
calibration,17,17,897,36,0.055,0.05,0.32,progressive,pause,0.7045451024073446,0.8809893229984669,0.9999999476939443,0.44132328529107073,0.8809893229984669,0.8345588235294119,0.015066964285714284,0.09751772797552166,0.0,
calibration,17,17,897,36,0.055,0.05,0.32,progressive,reverse,3.6770933016941765,0.14429906471373757,,0.4416755483545805,0.14429906471373757,0.8511841100076393,0.017857142857142856,,,-0.8169736997010427
calibration,18,18,641,36,0.095,0.075,0.24,progressive,forward,0.7810041344091924,0.8705912180740818,0.9999999996843006,0.4034794243671009,0.8705912180740818,0.45913579494903767,-0.059375,,,
calibration,18,18,641,36,0.095,0.075,0.24,memory-only,forward,0.760706856482857,0.13069575557622976,0.05462659262274041,0.4034794243671009,0.13069575557622976,0.19510567296996661,-0.1453125,,,
calibration,18,18,641,36,0.095,0.075,0.24,late-snap,forward,0.19778836903792787,0.5026643268441158,0.7890984717721439,0.4034794243671009,0.5026643268441158,0.22662651501755426,-0.0734375,,,
calibration,18,18,641,36,0.095,0.075,0.24,false-seam,forward,0.7248036229487089,0.14300340367563946,0.10000667858066767,0.4034794243671009,0.14300340367563946,0.1713709677419355,-0.1203125,,,
calibration,18,18,641,36,0.095,0.075,0.24,progressive,pause,0.7421307512797202,0.839724677651105,0.9999999960953142,0.3965224202431503,0.839724677651105,0.16333078686019864,-0.03359375,0.03814495623063002,0.0,
calibration,18,18,641,36,0.095,0.075,0.24,progressive,reverse,4.334255028504853,0.12337200638442944,,0.39195328006456825,0.12337200638442944,0.28535407227998866,-0.003125,,,-0.31400736824866704
calibration,19,19,897,36,0.075,0.1,0.4,progressive,forward,0.806171526647715,0.8963087001962498,0.999999999999995,0.4217445722145154,0.8963087001962498,0.47585575127722674,-0.037946428571428575,,,
calibration,19,19,897,36,0.075,0.1,0.4,memory-only,forward,0.9117414971739592,0.09015030704198969,0.009287640220792887,0.4217445722145154,0.09015030704198969,-0.06620553359683795,-0.10825892857142858,,,
calibration,19,19,897,36,0.075,0.1,0.4,late-snap,forward,0.16370726484777626,0.5020777543964463,0.7674337724862971,0.4217445722145154,0.5020777543964463,-0.02857142857142857,0.04575892857142857,,,
calibration,19,19,897,36,0.075,0.1,0.4,false-seam,forward,0.8459786952774079,0.14818240419626966,0.08159959938418249,0.4217445722145154,0.14818240419626966,0.14923076923076922,-0.09040178571428571,,,
calibration,19,19,897,36,0.075,0.1,0.4,progressive,pause,0.7324038322161298,0.8802714297056837,0.999999999999962,0.418488575763299,0.8802714297056837,0.6912342298722194,-0.020089285714285716,0.01664016230198362,0.0,
calibration,19,19,897,36,0.075,0.1,0.4,progressive,reverse,3.918892108147622,0.1435819377046729,,0.4198376272138988,0.1435819377046729,0.6013026137023242,-0.005022321428571428,,,-0.5869474408392733
calibration,20,20,641,36,0.055,0.05,0.32,progressive,forward,0.7803025806740588,0.8877038505051527,0.9999998330840394,0.4402790436784693,0.8877038505051527,0.14029216838369235,-0.1328125,,,
calibration,20,20,641,36,0.055,0.05,0.32,memory-only,forward,1.1356671474537032,0.0993018080120176,0.0,0.4402790436784693,0.0993018080120176,-0.21028037903775726,-0.2125,,,
calibration,20,20,641,36,0.055,0.05,0.32,late-snap,forward,0.21911092823004805,0.5146881625347336,0.7775039357999098,0.4402790436784693,0.5146881625347336,-0.23324228293872415,-0.13984375,,,
calibration,20,20,641,36,0.055,0.05,0.32,false-seam,forward,0.8781479936712321,0.1378361938263593,0.0,0.4402790436784693,0.1378361938263593,-0.07227442912070321,-0.146875,,,
calibration,20,20,641,36,0.055,0.05,0.32,progressive,pause,0.7357089574731677,0.853021804309089,0.9999981773892451,0.44054897660081305,0.853021804309089,0.5192240365698849,-0.1234375,0.06482997710675747,0.0,
calibration,20,20,641,36,0.055,0.05,0.32,progressive,reverse,3.1079577217486323,0.18748381002328268,,0.4395445146721629,0.18748381002328268,0.32187128029069206,0.014062499999999999,,,-0.2883557457212714
calibration,21,21,897,36,0.095,0.075,0.24,progressive,forward,0.7841763131038306,0.8930188824812948,0.9999999999998871,0.39786735467546297,0.8930188824812948,0.5734295132768029,-0.044642857142857144,,,
calibration,21,21,897,36,0.095,0.075,0.24,memory-only,forward,0.5384131799407752,0.13008947148184294,0.08344853128199435,0.39786735467546297,0.13008947148184294,0.10003761519786969,-0.03459821428571429,,,
calibration,21,21,897,36,0.095,0.075,0.24,late-snap,forward,0.13501312414282407,0.5187783518234851,0.8071733695324236,0.39786735467546297,0.5187783518234851,-0.01045008747920956,0.13169642857142858,,,
calibration,21,21,897,36,0.095,0.075,0.24,false-seam,forward,1.172509919717927,0.1425244575843136,0.0,0.39786735467546297,0.1425244575843136,0.13333333333333333,-0.052455357142857144,,,
calibration,21,21,897,36,0.095,0.075,0.24,progressive,pause,0.7411156886553627,0.8540047168633036,0.9999999999987083,0.3948639839428983,0.8540047168633036,0.5726946307492508,-0.024553571428571428,0.010412191681635374,0.0,
calibration,21,21,897,36,0.095,0.075,0.24,progressive,reverse,5.704328305343807,0.09233203853047396,,0.39648755888684434,0.09233203853047396,0.7134620230475107,-0.0005580357142857143,,,-0.7206484524199734
calibration,22,22,641,36,0.075,0.1,0.4,progressive,forward,0.8200605399267803,0.8914658342979734,0.9999999999999435,0.42481778910818246,0.8914658342979734,0.5416345695753291,-0.1,,,
calibration,22,22,641,36,0.075,0.1,0.4,memory-only,forward,0.771970835293925,0.1196494530252727,0.0,0.42481778910818246,0.1196494530252727,0.3873623341357731,-0.165625,,,
calibration,22,22,641,36,0.075,0.1,0.4,late-snap,forward,0.18438752128212652,0.5009335097739851,0.8149042081711393,0.42481778910818246,0.5009335097739851,0.3489039857285091,-0.103125,,,
calibration,22,22,641,36,0.075,0.1,0.4,false-seam,forward,1.1492579451802083,0.13617412317216923,0.0,0.42481778910818246,0.13617412317216923,0.6079582661658599,-0.2578125,,,
calibration,22,22,641,36,0.075,0.1,0.4,progressive,pause,0.7650068742905992,0.8703818155191453,0.9999999999826316,0.414906526779164,0.8703818155191453,0.12256196321967239,-0.028906249999999998,0.016099867090618614,0.0,
calibration,22,22,641,36,0.075,0.1,0.4,progressive,reverse,3.509035143528798,0.15986386187940413,,0.41960219870078386,0.15986386187940413,0.4779951156053839,0.0046875,,,-0.411899523285662
calibration,23,23,897,36,0.055,0.05,0.32,progressive,forward,0.8226342971192212,0.8909150227491237,0.9999999993081811,0.43953959727320424,0.8909150227491237,0.28158899923605807,-0.0011160714285714285,,,
calibration,23,23,897,36,0.055,0.05,0.32,memory-only,forward,1.3568268947730524,0.08447743567256241,0.0,0.43953959727320424,0.08447743567256241,-0.14912280701754385,-0.11997767857142858,,,
calibration,23,23,897,36,0.055,0.05,0.32,late-snap,forward,0.2489477970823106,0.4604228599946015,0.7835098648945502,0.43953959727320424,0.4604228599946015,-0.11083250368695001,0.18359375,,,
calibration,23,23,897,36,0.055,0.05,0.32,false-seam,forward,1.2362462240440202,0.10144726490814805,0.08255353470174859,0.43953959727320424,0.10144726490814805,-0.2855731225296443,-0.036272321428571425,,,
calibration,23,23,897,36,0.055,0.05,0.32,progressive,pause,0.7184706538819584,0.8770498378449242,0.9999999929344223,0.44009298771043637,0.8770498378449242,0.3756565595037581,-0.012276785714285714,0.0479392273740592,0.0,
calibration,23,23,897,36,0.055,0.05,0.32,progressive,reverse,3.743254282620942,0.15437146484218744,,0.43877207710490257,0.15437146484218744,0.6308068533308903,0.0033482142857142855,,,-0.6025576730190573
holdout,0,100,769,40,0.085,0.07,0.28,progressive,forward,0.844632664853975,0.8629035681714811,0.9999999999572466,0.41249862019116995,0.8629035681714811,0.4126090645796943,-0.036458333333333336,,,
holdout,0,100,769,40,0.085,0.07,0.28,memory-only,forward,1.1331532230995265,0.097763387697463,0.0,0.41249862019116995,0.097763387697463,-0.3013280450310838,-0.07421875,,,
holdout,0,100,769,40,0.085,0.07,0.28,late-snap,forward,0.2414554842501657,0.4588046455624574,0.7689589466700112,0.41249862019116995,0.4588046455624574,-0.4068724033992845,0.057291666666666664,,,
holdout,0,100,769,40,0.085,0.07,0.28,false-seam,forward,1.0362641968373747,0.13671860365475472,0.0,0.41249862019116995,0.13671860365475472,-0.13003663003663005,-0.07421875,,,
holdout,0,100,769,40,0.085,0.07,0.28,progressive,pause,0.7157687119222178,0.8671821059604632,0.9999999982636544,0.40615747789999784,0.8671821059604632,0.6230028489919651,-0.17447916666666666,0.05569523736736942,0.0,
holdout,0,100,769,40,0.085,0.07,0.28,progressive,reverse,3.8156828374203298,0.14236006300616086,,0.4105262534377866,0.14236006300616086,0.6333740923083945,0.0026041666666666665,,,-0.5638753056234719
holdout,1,101,1025,32,0.065,0.095,0.44,progressive,forward,0.8174639470687227,0.9007634600209556,0.9999999999999895,0.4280091197050137,0.9007634600209556,0.6512050313093556,-0.02734375,,,
holdout,1,101,1025,32,0.065,0.095,0.44,memory-only,forward,1.044748915545142,0.09614850392091105,0.08399042077996903,0.4280091197050137,0.09614850392091105,-0.1164835164835165,-0.05029296875,,,
holdout,1,101,1025,32,0.065,0.095,0.44,late-snap,forward,0.22108247935248093,0.45436004470759705,0.7624505116574142,0.4280091197050137,0.45436004470759705,0.12364524644132616,0.11376953125,,,
holdout,1,101,1025,32,0.065,0.095,0.44,false-seam,forward,1.1420849880756243,0.09892814972476097,0.0,0.4280091197050137,0.09892814972476097,-0.035714285714285705,-0.056640625,,,
holdout,1,101,1025,32,0.065,0.095,0.44,progressive,pause,0.7172822731987585,0.8841468497488634,0.9999999999999849,0.426775824884392,0.8841468497488634,0.7616935483870969,0.0,0.016643587364176815,0.0,
holdout,1,101,1025,32,0.065,0.095,0.44,progressive,reverse,5.55279053645038,0.10913009808623594,,0.43234077057650555,0.10913009808623594,0.7310483870967742,0.005859375,,,-0.7281162351177292
holdout,2,102,1281,52,0.045,0.045,0.36,progressive,forward,0.8354749029423352,0.9101140570947581,0.999999999997905,0.4504603710193846,0.9101140570947581,0.8609090256749331,0.01484375,,,
holdout,2,102,1281,52,0.045,0.045,0.36,memory-only,forward,1.3112971731310459,0.0896078042780499,0.0169260900642548,0.4504603710193846,0.0896078042780499,-0.41818181818181827,0.05078125,,,
holdout,2,102,1281,52,0.045,0.045,0.36,late-snap,forward,0.2380638925802437,0.4935753136132585,0.7557208347585578,0.4504603710193846,0.4935753136132585,-0.12100173910363254,0.41953125,,,
holdout,2,102,1281,52,0.045,0.045,0.36,false-seam,forward,1.0170300510154315,0.09454120546117169,0.09413801705397498,0.4504603710193846,0.09454120546117169,0.11904761904761905,-0.164453125,,,
holdout,2,102,1281,52,0.045,0.045,0.36,progressive,pause,0.7453983863206125,0.8931154585043307,0.9999999999965277,0.45254890121028635,0.8931154585043307,0.9199663476669362,0.015234375,0.00832124935782419,0.0,
