path_id,split,family,parameter,parameter_index,replicate,control,mean_rho,best_miss_64,best_miss_512,exact_closure_64
calibration:periodic rational:1:41,calibration,periodic rational,7,1,41,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:41,calibration,periodic rational,7,1,41,shuffled,0.0126678947264279,,,False
calibration:periodic rational:1:42,calibration,periodic rational,7,1,42,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:42,calibration,periodic rational,7,1,42,shuffled,0.012818384994725958,,,False
calibration:periodic rational:1:43,calibration,periodic rational,7,1,43,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:43,calibration,periodic rational,7,1,43,shuffled,0.013538684487775612,,,False
calibration:periodic rational:1:44,calibration,periodic rational,7,1,44,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:44,calibration,periodic rational,7,1,44,shuffled,0.013919250586943262,,,False
calibration:periodic rational:1:45,calibration,periodic rational,7,1,45,chronological,1.0,0.28571428571428564,0.2857142857142856,True
calibration:periodic rational:1:45,calibration,periodic rational,7,1,45,shuffled,0.013630580203722893,,,False
calibration:periodic rational:1:46,calibration,periodic rational,7,1,46,chronological,1.0000000000000002,0.2857142857142857,0.2857142857142857,True
calibration:periodic rational:1:46,calibration,periodic rational,7,1,46,shuffled,0.01327322141160666,,,False
calibration:periodic rational:1:47,calibration,periodic rational,7,1,47,chronological,1.0,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:47,calibration,periodic rational,7,1,47,shuffled,0.013845273678905316,,,False
calibration:periodic rational:2:0,calibration,periodic rational,9,2,0,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:0,calibration,periodic rational,9,2,0,shuffled,0.013867178090280985,,,False
calibration:periodic rational:2:1,calibration,periodic rational,9,2,1,chronological,1.0,0.22222222222222218,0.2222222222222221,True
calibration:periodic rational:2:1,calibration,periodic rational,9,2,1,shuffled,0.01313634503951816,,,False
calibration:periodic rational:2:2,calibration,periodic rational,9,2,2,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:2,calibration,periodic rational,9,2,2,shuffled,0.014343435368493713,,,False
calibration:periodic rational:2:3,calibration,periodic rational,9,2,3,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:3,calibration,periodic rational,9,2,3,shuffled,0.01365847099496029,,,False
calibration:periodic rational:2:4,calibration,periodic rational,9,2,4,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:4,calibration,periodic rational,9,2,4,shuffled,0.013386103268007966,,,False
calibration:periodic rational:2:5,calibration,periodic rational,9,2,5,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:5,calibration,periodic rational,9,2,5,shuffled,0.012652056848869154,,,False
calibration:periodic rational:2:6,calibration,periodic rational,9,2,6,chronological,1.0,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:6,calibration,periodic rational,9,2,6,shuffled,0.013632629963235072,,,False
calibration:periodic rational:2:7,calibration,periodic rational,9,2,7,chronological,1.0,0.22222222222222218,0.2222222222222221,True
calibration:periodic rational:2:7,calibration,periodic rational,9,2,7,shuffled,0.0134732743300696,,,False
calibration:periodic rational:2:8,calibration,periodic rational,9,2,8,chronological,1.0,0.22222222222222218,0.2222222222222221,True
calibration:periodic rational:2:8,calibration,periodic rational,9,2,8,shuffled,0.013808408755150391,,,False
calibration:periodic rational:2:9,calibration,periodic rational,9,2,9,chronological,1.0,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:9,calibration,periodic rational,9,2,9,shuffled,0.013777357762251453,,,False
calibration:periodic rational:2:10,calibration,periodic rational,9,2,10,chronological,1.0,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:10,calibration,periodic rational,9,2,10,shuffled,0.013607943749159964,,,False
calibration:periodic rational:2:11,calibration,periodic rational,9,2,11,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:11,calibration,periodic rational,9,2,11,shuffled,0.013574711110613088,,,False
calibration:periodic rational:2:12,calibration,periodic rational,9,2,12,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:12,calibration,periodic rational,9,2,12,shuffled,0.013722514588122361,,,False
calibration:periodic rational:2:13,calibration,periodic rational,9,2,13,chronological,1.0,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:13,calibration,periodic rational,9,2,13,shuffled,0.013697771265938526,,,False
calibration:periodic rational:2:14,calibration,periodic rational,9,2,14,chronological,1.0,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:14,calibration,periodic rational,9,2,14,shuffled,0.013426264246555793,,,False
calibration:periodic rational:2:15,calibration,periodic rational,9,2,15,chronological,1.0,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:15,calibration,periodic rational,9,2,15,shuffled,0.013082472468972218,,,False
calibration:periodic rational:2:16,calibration,periodic rational,9,2,16,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222218,True
