path_id,direction,mode,true_center,prediction_rate,predicted_ridge_median,signed_error_median,abs_error_median,centre_range,endpoint_separation_median,x_r_peak_offset_median,wrong_center,wrong_abs_error
q23:d53:t640:r5:irrational_to_rational,irrational_to_rational,abrupt,2688.0,1.0,2779.427929142388,91.42792914238817,91.42792914238817,146.2016257851874,1.6756396865528382,-91.42792914238794,2036.0,743.4279291423882
q13:d43:t256:r0:irrational_to_rational,irrational_to_rational,ordered,1408.0,1.0,1638.636918071881,230.63691807188093,230.63691807188093,169.2041443712676,1.9789635526615892,-246.63691807188093,2060.0,421.3630819281191
q13:d43:t256:r1:irrational_to_rational,irrational_to_rational,ordered,1432.0,1.0,1658.6537782580797,226.65377825807968,226.65377825807968,166.2599079901995,1.9789635526615892,-230.3158106762961,2084.0,425.3462217419203
q13:d43:t256:r2:irrational_to_rational,irrational_to_rational,ordered,1456.0,1.0,1679.1452189473916,223.14521894739164,223.14521894739164,173.97821504585363,1.9789635526615892,-191.14521894739164,2108.0,428.85478105260836
q13:d43:t256:r3:irrational_to_rational,irrational_to_rational,ordered,1480.0,1.0,1700.5875692278528,220.58756922785278,220.58756922785278,163.65193091391325,1.9789635526615892,-228.5875692278529,2133.0,432.4124307721472
q13:d43:t256:r4:irrational_to_rational,irrational_to_rational,ordered,1505.0,1.0,1732.879207537544,227.87920753754406,227.87920753754406,168.1096458782265,1.9789635526615892,-228.87920753754395,2157.0,424.12079246245594
q13:d43:t256:r5:irrational_to_rational,irrational_to_rational,ordered,1529.0,1.0,1761.58935595087,232.58935595086996,232.58935595086996,172.07974019615312,1.9789635526615892,-241.58935595086984,2181.0,419.41064404913004
q13:d43:t448:r0:irrational_to_rational,irrational_to_rational,ordered,1553.0,1.0,1876.5532928913844,323.55329289138444,323.55329289138444,170.16753533840938,1.9789635526615892,-276.55329289138433,2205.0,328.44670710861556
q13:d43:t448:r1:irrational_to_rational,irrational_to_rational,ordered,1577.0,1.0,1884.8131967505497,307.81319675054965,307.81319675054965,155.36386167096862,1.9789635526615892,-317.6819308354843,2229.0,344.18680324945035
q13:d43:t448:r2:irrational_to_rational,irrational_to_rational,ordered,1601.0,1.0,1922.545297713772,321.545297713772,321.545297713772,168.58382591351415,1.9789635526615892,-242.54529771377202,2253.0,330.454702286228
q13:d43:t448:r3:irrational_to_rational,irrational_to_rational,ordered,1625.0,1.0,1948.0044597842211,323.0044597842211,323.0044597842211,171.5718611911168,1.9789635526615892,-236.00445978422124,2277.0,328.9955402157789
q13:d43:t448:r4:irrational_to_rational,irrational_to_rational,ordered,1650.0,1.0,1970.3025984196229,320.3025984196229,320.3025984196229,167.5516370837156,1.9789635526615892,-290.3025984196229,2302.0,331.6974015803771
q13:d43:t448:r5:irrational_to_rational,irrational_to_rational,ordered,1674.0,1.0,2000.8187117148382,326.8187117148382,326.8187117148382,168.35052181378978,1.9789635526615892,-272.8187117148383,2326.0,325.1812882851618
q13:d43:t640:r0:irrational_to_rational,irrational_to_rational,ordered,1698.0,1.0,2114.708258760632,416.7082587606319,416.7082587606319,164.12346435416976,1.9789635526615892,-258.7082587606317,2350.0,235.2917412393681
q13:d43:t640:r1:irrational_to_rational,irrational_to_rational,ordered,1722.0,1.0,2136.2571659843634,414.2571659843634,414.2571659843634,164.9486126528418,1.9789635526615892,-291.80735044192306,2374.0,237.74283401563662
q13:d43:t640:r2:irrational_to_rational,irrational_to_rational,ordered,1746.0,1.0,2159.616923507088,413.6169235070879,413.6169235070879,166.39697836292726,1.9789635526615892,-287.6169235070879,2398.0,238.3830764929121
q13:d43:t640:r3:irrational_to_rational,irrational_to_rational,ordered,1770.0,1.0,2184.1661647703413,414.1661647703413,414.1661647703413,167.1465373136857,1.9789635526615892,-232.16616477034108,2422.0,237.8338352296587
q13:d43:t640:r4:irrational_to_rational,irrational_to_rational,ordered,1794.0,1.0,2207.9891375392153,413.98913753921533,413.98913753921533,166.68333950021724,1.9789635526615892,-303.9891375392151,2446.0,238.01086246078467
q13:d43:t640:r5:irrational_to_rational,irrational_to_rational,ordered,1819.0,1.0,2236.408575559378,417.4085755593778,417.4085755593778,169.91894000938964,1.9789635526615892,-284.4085755593778,2471.0,234.59142444062218
q17:d47:t256:r0:irrational_to_rational,irrational_to_rational,ordered,1843.0,1.0,2084.1929010990557,241.1929010990557,241.1929010990557,167.15271778315923,1.7656417094391226,-292.1929010990557,2495.0,410.8070989009443
q17:d47:t256:r1:irrational_to_rational,irrational_to_rational,ordered,1867.0,1.0,2108.9946613005477,241.9946613005477,241.9946613005477,166.83542164060395,1.7630990292236424,-316.99466130054793,2519.0,410.0053386994523
q17:d47:t256:r2:irrational_to_rational,irrational_to_rational,ordered,1891.0,1.0,2126.399409737306,235.3994097373061,235.3994097373061,167.79209509825614,1.7598880356738391,-270.3994097373061,2543.0,416.6005902626939
q17:d47:t256:r3:irrational_to_rational,irrational_to_rational,ordered,1915.0,1.0,2140.0240391819793,225.02403918197933,225.02403918197933,162.04095192873228,1.761930848718879,-236.02403918197933,2567.0,426.97596081802067
q17:d47:t256:r4:irrational_to_rational,irrational_to_rational,ordered,1939.0,1.0,2174.8096331385545,235.80963313855455,235.80963313855455,167.25272557245808,1.7656417094391226,-254.80963313855455,2591.0,416.19036686144545
q17:d47:t256:r5:irrational_to_rational,irrational_to_rational,ordered,1963.0,1.0,2203.9094207731923,240.90942077319232,240.90942077319232,178.00084714917284,1.7598880356738391,-251.90942077319232,2616.0,412.0905792268077
q17:d47:t448:r0:irrational_to_rational,irrational_to_rational,ordered,1988.0,1.0,2323.394626889598,335.39462688959793,335.39462688959793,168.95384870298858,1.761930848718879,-307.39462688959793,2640.0,316.60537311040207
q17:d47:t448:r1:irrational_to_rational,irrational_to_rational,ordered,2012.0,1.0,2344.1738076720794,332.1738076720794,332.1738076720794,170.4457691383609,1.7605402965905257,-280.17380767207965,2664.0,319.8261923279206
q17:d47:t448:r2:irrational_to_rational,irrational_to_rational,ordered,2036.0,1.0,2371.8994064897943,335.8994064897943,335.8994064897943,171.50436490365382,1.7674507373597237,-259.8994064897945,2688.0,316.1005935102057
