path_id,split,direction,duration,horizon,x_p,x_r,local_loss,null_loss,mean_rho,best_coherent_miss,exact_closure,occupied_16,occupied_32,occupied_64,occupied_128,occupied_256
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,2048,1.9977413747435437,1.6534904309964702,0.8263295936409328,0.9994972793921139,0.6914527566697305,0.0,False,16,32,64,128,255
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,2304,2.0,2.0,1.1119415301986255,1.0004399378660218,0.6313705447674309,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,2560,2.0,2.0,1.3418352679728134,0.9994596124877907,0.5942198874786607,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,2816,2.0,2.0,1.5308630165265802,0.9999970999223378,0.5746690457321337,0.42733184403786856,False,16,32,64,128,256
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,3072,2.0,2.0,1.2794215569929823,0.9998642427016265,0.5706331721917894,0.35436227396241643,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,512,2.0,8.181601567963286e-05,4.075865723331222e-05,0.9963491107391731,1.0000000000000002,0.010101267766288752,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,768,2.0,3.705589421075401e-05,1.848576011166644e-05,0.9977230616284347,1.0,0.010101267765844944,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,1024,2.0,2.2044838422398394e-05,1.1005174104148803e-05,0.9984354517170901,1.0,0.010101267765643495,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,1280,2.0,1.5717001774933772e-05,7.84969932129688e-06,0.9988799942513155,1.0,0.010101267765531417,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,1536,2.0,0.02376700448413501,0.01188473981226288,1.0001041418741854,0.9224090666500075,0.010942275680783653,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,1792,2.0,0.37686892671742256,0.18845675983803195,1.0001183248484553,0.7860515891616433,0.7757143974670083,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,2048,2.0,0.719402830959407,0.3594112950416439,0.9991934409330229,0.6936522555058644,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,2304,2.0,0.9857819453132356,0.49231456347293345,0.9988305543910095,0.6335014129454533,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,2560,2.0,1.1963613202253855,0.5978126267516259,0.9993847454697089,0.5962490166156649,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,2816,2.0,1.3704178878886455,0.685284634338734,1.0001104632318072,0.576465624815097,0.4011124971827008,False,16,32,64,128,256
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,irrational_to_rational,256,3072,2.0,1.4573665516524252,0.7284529723867608,0.9996839457593002,0.5715077593736673,0.39595653075337284,False,16,32,64,128,256
calibration:q5:d2:w256:r4:rational_to_irrational,calibration,rational_to_irrational,256,512,0.0,0.0,0.0,0.9999999999999956,1.0,0.39999999999951324,True,5,5,5,5,5
calibration:q5:d2:w256:r4:rational_to_irrational,calibration,rational_to_irrational,256,768,0.0,0.0,0.0,0.9986945169712809,1.0,0.3999999999997905,True,5,5,5,5,5
calibration:q5:d2:w256:r4:rational_to_irrational,calibration,rational_to_irrational,256,1024,0.0,0.0,0.0,1.0015832035114582,1.0,0.3999999999993394,True,5,5,5,5,5
