delta_r,filename,sha256,rows_after_10s,columns,sampling_hz,raw_min,raw_max,pair,events,cycles,train_cycles,test_cycles,a_q05,a_q95,b_q05,b_q95
150,,,,,,,,8.0,77.0,76.0,45.0,31.0,0.09294,0.257788,0.0589265,0.251948
150,,,,,,,,9.0,77.0,76.0,45.0,31.0,0.094559,0.263617,0.05921,0.253406
150,,,,,,,,10.0,77.0,76.0,45.0,31.0,0.097959,0.27327629999999964,0.059372,0.256159
150,,,,,,,,11.0,77.0,76.0,45.0,31.0,0.09715,0.270419,0.06083,0.2628
150,,,,,,,,12.0,77.0,76.0,45.0,31.0,0.096664,0.268152,0.064069,0.273975
150,,,,,,,,13.0,77.0,76.0,45.0,31.0,0.094883,0.263132,0.061316,0.25373
150,,,,,,,,14.0,77.0,76.0,45.0,31.0,0.093263,0.256816,0.059534,0.26037
150,,,,,,,,15.0,77.0,76.0,45.0,31.0,0.094559,0.259245,0.063907,0.262962
150,,,,,,,,16.0,77.0,76.0,45.0,31.0,0.093425,0.259407,0.059696,0.25454
150,,,,,,,,17.0,77.0,76.0,45.0,31.0,0.094721,0.266856,0.057752,0.246117
150,,,,,,,,18.0,77.0,76.0,45.0,31.0,0.093263,0.259893,0.060344,0.248547
150,,,,,,,,19.0,77.0,76.0,45.0,31.0,0.093101,0.258921,0.062125,0.256645
150,,,,,,,,20.0,77.0,76.0,45.0,31.0,0.09132,0.251634,0.061801,0.264581
150,,,,,,,,21.0,77.0,76.0,45.0,31.0,0.091968,0.255197,0.058886,0.256321
150,,,,,,,,22.0,77.0,76.0,45.0,31.0,0.094721,0.266856,0.062287,0.255349
150,,,,,,,,23.0,77.0,76.0,45.0,31.0,0.092292,0.254549,0.061801,0.25454
150,,,,,,,,24.0,77.0,76.0,45.0,31.0,0.091482,0.2507115999999999,0.062773,0.258103
150,,,,,,,,25.0,77.0,76.0,45.0,31.0,0.094235,0.25633,0.059858,0.259965
150,,,,,,,,26.0,77.0,76.0,45.0,31.0,0.09294,0.258921,0.060506,0.263124
150,,,,,,,,27.0,77.0,76.0,45.0,31.0,0.094883,0.2643379000000001,0.059534,0.255187
150,,,,,,,,28.0,77.0,76.0,45.0,31.0,0.092454,0.251958,0.063745,0.260856
150,,,,,,,,29.0,77.0,76.0,45.0,31.0,0.094721,0.2642082999999997,0.062611,0.257293
150,,,,,,,,30.0,77.0,76.0,45.0,31.0,0.095207,0.265723,0.061801,0.25378669999999975
150,,,,,,,,31.0,77.0,76.0,45.0,31.0,0.095369,0.268313,0.058238,0.252272
150,,,,,,,,32.0,77.0,76.0,45.0,31.0,0.092616,0.256492,0.062449,0.256807
150,,,,,,,,33.0,77.0,76.0,45.0,31.0,0.091806,0.25714,0.05678,0.24298329999999965
150,,,,,,,,34.0,77.0,76.0,45.0,31.0,0.097959,0.271066,0.057428,0.2509274000000001
150,,,,,,,,35.0,77.0,76.0,45.0,31.0,0.094883,0.259407,0.062125,0.255997
150,,,,,,,,36.0,77.0,76.0,45.0,31.0,0.094073,0.257626,0.059372,0.258427
150,,,,,,,,37.0,77.0,76.0,45.0,31.0,0.094883,0.259569,0.059696,0.247575
150,,,,,,,,38.0,77.0,76.0,45.0,31.0,0.093749,0.2639005,0.057266,0.250005
150,,,,,,,,39.0,77.0,76.0,45.0,31.0,0.096016,0.270419,0.058238,0.252758
150,,,,,,,,40.0,77.0,76.0,45.0,31.0,0.093101,0.26135,0.057266,0.249195
170,oc091818_43.lvm,4919acecf1e86a6c4a216fa0199f2bd8c8fc1a58a165c83adbcdc77c92ea4c56,38100.0,80.0,200.0,0.051922,0.29989,,,,,,,,,
170,,,,,,,,1.0,77.0,76.0,45.0,31.0,0.097312,0.26526129999999964,0.066336,0.268307
170,,,,,,,,2.0,77.0,76.0,45.0,31.0,0.095207,0.267828,0.06002,0.25880769999999975
170,,,,,,,,3.0,77.0,76.0,45.0,31.0,0.092454,0.257302,0.064717,0.263772
170,,,,,,,,4.0,77.0,76.0,45.0,31.0,0.094559,0.263617,0.063097,0.25768179999999963
170,,,,,,,,5.0,77.0,76.0,45.0,31.0,0.095369,0.262484,0.066822,0.269278
170,,,,,,,,6.0,77.0,76.0,45.0,31.0,0.094235,0.25946369999999974,0.063583,0.25945469999999976
