q,d,duration,replicate,mode,window,true_center,irrational_to_rational,rational_to_irrational,paired_ridge,forward_error,reverse_error,paired_error,paired_abs_error
17,47,448,2,abrupt,128,2036,2069.9179557713155,2016.0,2042.9589778856578,33.91795577131552,-20.0,6.9589778856577595,6.9589778856577595
17,47,448,2,abrupt,256,2036,2124.35490540413,1952.0,2038.177452702065,88.35490540413002,-84.0,2.177452702065011,2.177452702065011
17,47,448,2,abrupt,384,2036,2182.803161244576,1890.3592303866376,2036.5811958156069,146.80316124457613,-145.6407696133624,0.5811958156068613,0.5811958156068613
17,47,448,2,abrupt,512,2036,2243.398827202547,1831.148830784806,2037.2738289936765,207.39882720254718,-204.85116921519398,1.2738289936764886,1.2738289936764886
17,47,448,2,ordered,128,2036,2288.166618673408,1792.0,2040.083309336704,252.1666186734078,-244.0,4.0833093367039055,4.0833093367039055
17,47,448,2,ordered,256,2036,2342.6591460005634,1728.0,2035.3295730002817,306.6591460005634,-308.0,-0.6704269997183019,0.6704269997183019
17,47,448,2,ordered,384,2036,2401.1396669790256,1672.8337066697782,2036.9866868244019,365.1396669790256,-363.16629333022183,0.986686824401886,0.986686824401886
17,47,448,2,ordered,512,2036,2459.6709835770616,1614.556150485082,2037.1135670310719,423.67098357706163,-421.44384951491793,1.1135670310718524,1.1135670310718524
17,47,448,3,abrupt,128,2060,2092.6616253869597,2027.4758073284684,2060.068716357714,32.66162538695971,-32.52419267153164,0.06871635771403817,0.06871635771403817
17,47,448,3,abrupt,256,2060,2144.0,1972.6805986608992,2058.34029933045,84.0,-87.31940133910075,-1.6597006695501477,1.6597006695501477
17,47,448,3,abrupt,384,2060,2208.0,1914.4495172470797,2061.22475862354,148.0,-145.5504827529203,1.2247586235398558,1.2247586235398558
17,47,448,3,abrupt,512,2060,2267.0584997995484,1853.8584953736763,2060.4584975866123,207.05849979954837,-206.1415046263237,0.45849758661233864,0.45849758661233864
17,47,448,3,ordered,128,2060,2304.0,1809.4811448219343,2056.740572410967,244.0,-250.51885517806568,-3.259427589032839,3.259427589032839
17,47,448,3,ordered,256,2060,2365.579555354749,1755.588745587527,2060.584150471138,305.5795553547491,-304.411254412473,0.5841504711379457,0.5841504711379457
17,47,448,3,ordered,384,2060,2421.68864411238,1698.5879898083515,2060.138316960366,361.6886441123802,-361.4120101916485,0.1383169603659553,0.1383169603659553
17,47,448,3,ordered,512,2060,2480.96044003107,1639.976567249474,2060.468503640272,420.96044003107,-420.0234327505259,0.46850364027204705,0.46850364027204705
17,47,448,4,abrupt,128,2084,2112.0,2048.0,2080.0,28.0,-36.0,-4.0,4.0
17,47,448,4,abrupt,256,2084,2174.552056656977,1996.42849637488,2085.4902765159286,90.55205665697713,-87.57150362511993,1.490276515928599,1.490276515928599
17,47,448,4,abrupt,384,2084,2231.142435054176,1938.928652681214,2085.035543867695,147.14243505417608,-145.0713473187859,1.0355438676951962,1.0355438676951962
17,47,448,4,abrupt,512,2084,2290.4606125985124,1878.8235216808475,2084.64206713968,206.4606125985124,-205.17647831915247,0.6420671396799662,0.6420671396799662
17,47,448,4,ordered,128,2084,2336.0,1832.877717702636,2084.438858851318,252.0,-251.1222822973641,0.43885885131794566,0.43885885131794566
17,47,448,4,ordered,256,2084,2389.431415080495,1780.5144838868891,2084.972949483692,305.43141508049484,-303.48551611311086,0.9729494836919912,0.9729494836919912
17,47,448,4,ordered,384,2084,2445.8062627795725,1723.686736072826,2084.746499426199,361.80626277957253,-360.3132639271739,0.7464994261990796,0.7464994261990796
17,47,448,4,ordered,512,2084,2504.988255709304,1664.1885488679318,2084.588402288618,420.9882557093042,-419.8114511320682,0.5884022886179991,0.5884022886179991
17,47,448,5,abrupt,128,2108,2144.0,2080.0,2112.0,36.0,-28.0,4.0,4.0
17,47,448,5,abrupt,256,2108,2195.9007902612075,2019.386766690312,2107.64377847576,87.90079026120748,-88.61323330968798,-0.35622152424002707,0.35622152424002707
17,47,448,5,abrupt,384,2108,2253.332109029001,1962.450952661662,2107.8915308453315,145.332109029001,-145.5490473383379,-0.1084691546684553,0.1084691546684553
17,47,448,5,abrupt,512,2108,2313.48573684871,1902.8147105635028,2108.1502237061063,205.48573684871008,-205.18528943649721,0.15022370610631697,0.15022370610631697
17,47,448,5,ordered,128,2108,2360.6480035189484,1856.0,2108.3240017594744,252.64800351894837,-252.0,0.3240017594744131,0.3240017594744131
17,47,448,5,ordered,256,2108,2412.6171230850587,1804.3890713382225,2108.5030972116406,304.61712308505867,-303.6109286617775,0.5030972116405792,0.5030972116405792
17,47,448,5,ordered,384,2108,2469.3813709408496,1749.688070287981,2109.534720614415,361.3813709408496,-358.31192971201904,1.5347206144151642,1.5347206144151642
17,47,448,5,ordered,512,2108,2529.1443871739234,1691.3909979448135,2110.2676925593687,421.1443871739234,-416.60900205518647,2.2676925593686974,2.2676925593686974
17,47,640,0,abrupt,128,2133,2167.294330664525,2112.0,2139.6471653322624,34.294330664525205,-21.0,6.647165332262375,6.647165332262375
