path_id,split,q,d,duration,replicate,direction,mode,n_pre,n_handover,n_post,pre_x_p,post_x_p,pre_x_r,post_x_r,baseline_x_r,excursion_x_r,excess_area_x_r,band_width_states,coordinate_roughness,final_post_error_x_r
calibration:q5:d2:w256:r7:rational_to_irrational,calibration,5,2,256,7,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.9999181839842586,0.7522481321139513,448,0.4816710029798477,0.0
calibration:q5:d2:w256:r7:rational_to_irrational,calibration,5,2,256,7,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.9999181839842586,0.9464477197284856,512,0.43370572324128737,1.3552527156068805e-20
calibration:q5:d2:w256:r7:rational_to_irrational,calibration,5,2,256,7,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.4565362847586485,0.880511576096726,640,0.33446496407826487,1.3552527156068805e-20
calibration:q5:d2:w256:r8:irrational_to_rational,calibration,5,2,256,8,irrational_to_rational,abrupt,15,11,15,2.0,0.0,8.181601574078645e-05,0.0,8.181601574078645e-05,1.5568112841191357,0.35350766842644776,256,0.492555886012824,0.0
calibration:q5:d2:w256:r8:irrational_to_rational,calibration,5,2,256,8,irrational_to_rational,ordered,15,11,15,2.0,0.0,8.181601574078645e-05,0.0,8.181601574078645e-05,1.0120245302317628,0.38254083758987306,320,0.27523553624433095,0.0
calibration:q5:d2:w256:r8:irrational_to_rational,calibration,5,2,256,8,irrational_to_rational,shuffled,15,11,15,2.0,0.0,8.181601574078645e-05,0.0,8.181601574078645e-05,0.6222303947244237,0.33280390297906265,448,0.18544255994397862,0.0
calibration:q5:d2:w256:r8:rational_to_irrational,calibration,5,2,256,8,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.6007862373801178,0.42551482269398344,320,0.42505234132371933,0.0
calibration:q5:d2:w256:r8:rational_to_irrational,calibration,5,2,256,8,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.8068102003353855,0.3743402453195609,384,0.2138741945342276,1.3552527156068805e-20
calibration:q5:d2:w256:r8:rational_to_irrational,calibration,5,2,256,8,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.6029800874637687,0.33923852570589275,512,0.17505906127738716,1.3552527156068805e-20
calibration:q5:d2:w256:r9:irrational_to_rational,calibration,5,2,256,9,irrational_to_rational,abrupt,15,11,15,2.0,0.0,8.181601574135893e-05,0.0,8.181601574135893e-05,0.008205911515146979,0.0018552580533377902,0,0.20024841220870987,0.0
calibration:q5:d2:w256:r9:irrational_to_rational,calibration,5,2,256,9,irrational_to_rational,ordered,15,11,15,2.0,0.0,8.181601574135893e-05,0.0,8.181601574135893e-05,0.004956596635815455,0.0015891062302757692,0,0.08641079753069228,0.0
calibration:q5:d2:w256:r9:irrational_to_rational,calibration,5,2,256,9,irrational_to_rational,shuffled,15,11,15,2.0,0.0,8.181601574135893e-05,0.0,8.181601574135893e-05,0.002744669984938163,0.0015067900758958782,0,0.09789369500463826,0.0
calibration:q5:d2:w256:r9:rational_to_irrational,calibration,5,2,256,9,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574134087e-05,8.181601574134087e-05,0.13698747387857096,0.032035935221690424,0,0.21108725521065397,1.8079071226195786e-17
calibration:q5:d2:w256:r9:rational_to_irrational,calibration,5,2,256,9,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574127588e-05,8.181601574127588e-05,0.11885515445724984,0.029023335498131478,0,0.09327197046432566,8.306343893954571e-17
calibration:q5:d2:w256:r9:rational_to_irrational,calibration,5,2,256,9,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574127588e-05,8.181601574127588e-05,0.13354977884291705,0.031246409128638332,0,0.10702782769507406,8.306343893954571e-17
calibration:q5:d2:w256:r10:irrational_to_rational,calibration,5,2,256,10,irrational_to_rational,abrupt,15,11,15,2.0,0.0,8.181601574086613e-05,0.0,8.181601574086613e-05,1.2120792036131809,0.27527297125613837,256,0.4241242895719754,0.0
calibration:q5:d2:w256:r10:irrational_to_rational,calibration,5,2,256,10,irrational_to_rational,ordered,15,11,15,2.0,0.0,8.181601574086613e-05,0.0,8.181601574086613e-05,0.802250252066667,0.27853771210159683,320,0.2313293742967822,0.0
calibration:q5:d2:w256:r10:irrational_to_rational,calibration,5,2,256,10,irrational_to_rational,shuffled,15,11,15,2.0,0.0,8.181601574086613e-05,0.0,8.181601574086613e-05,0.5347175992179805,0.26245117053259565,384,0.16901413901918888,0.0
calibration:q5:d2:w256:r10:rational_to_irrational,calibration,5,2,256,10,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.2540368263459887,0.3281729011346443,320,0.3694485761393484,0.0
calibration:q5:d2:w256:r10:rational_to_irrational,calibration,5,2,256,10,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.5898435724485521,0.28498938842746374,384,0.18367664243108145,0.0
calibration:q5:d2:w256:r10:rational_to_irrational,calibration,5,2,256,10,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.5151080742555223,0.2722822580430328,448,0.1563919373074491,0.0
calibration:q5:d2:w256:r11:irrational_to_rational,calibration,5,2,256,11,irrational_to_rational,abrupt,15,11,15,2.0,0.0,8.181601574099102e-05,0.0,8.181601574099102e-05,1.999918183984259,0.6012027287084099,256,0.5857368163731272,0.0
