origin,target,origin_year,horizon,split,change,label,past_trend,base_levels,base_raw_movement,base_turn,base_diara,base_radius,base_quadrant,base_broken_diara
201305,201308,2013.3333333333333,3,evaluation,-0.009999999999999953,-1.0,0.12,0.43748271306717695,0.47535734273555086,0.4342203396967846,0.42407695738410656,0.35509101200329546,0.16069305629769307,0.6395392823153786
201306,201309,2013.4166666666667,3,evaluation,0.24000000000000002,1.0,-0.19,0.49565877942183023,0.5189797930457057,0.4137871017392201,0.3409134459859032,0.4308807576288788,0.38297463954755084,0.5360485045293385
201307,201310,2013.5,3,evaluation,0.040000000000000036,1.0,-0.2,0.22030393426043193,0.21790291687069024,0.27357772578160655,0.5002844086486676,0.44453102859107935,0.19322440376563366,0.24949828125800805
201308,201311,2013.5833333333333,3,evaluation,0.26999999999999996,1.0,-0.009999999999999953,0.04170844479962556,0.05342316911024121,0.059883413402405654,0.4500354319707032,0.4058495466382767,0.10271305082177377,0.04072140725160367
201310,201401,2013.75,3,evaluation,-0.18,-1.0,0.040000000000000036,0.294686158340247,0.3086234321045902,0.3488179898937043,0.32379674110413326,0.28652303448068767,0.3480149518580934,0.2700999949160141
201311,201402,2013.8333333333333,3,evaluation,-0.43,-1.0,0.26999999999999996,0.11572728622550532,0.09323575721567172,0.06203657404326859,0.049752873853097776,0.11326000553212526,0.08948077168612242,-0.07652273129395815
201312,201403,2013.9166666666667,3,evaluation,0.01999999999999999,1.0,1.0,0.2714972638564168,0.28556263120646985,0.30337503899891205,0.27007266657828216,0.24781118370228108,0.4134736358254959,0.38768422142556547
201401,201404,2014.0,3,evaluation,0.7,1.0,-0.18,0.1425635661867257,0.1384682416397116,0.1657440913271669,0.12672670038512326,0.04903486501936305,0.04244096208412894,-0.7073946527323167
201402,201405,2014.0833333333333,3,evaluation,0.9,1.0,-0.43,0.40232113768518774,0.40083391019927983,0.3331041589675725,0.3716922856111401,0.38248105907285757,0.6044287537943867,0.3749017701073437
201403,201406,2014.1666666666667,3,evaluation,0.55,1.0,0.01999999999999999,0.682577792072882,0.7006596031113916,0.7063187124286496,0.7530838210945648,0.727059963051463,1.1615724041334523,0.6637589980878501
201404,201407,2014.25,3,evaluation,-0.15000000000000002,-1.0,0.7,0.4309030036547614,0.40469050902538,0.4748799134628602,0.5794891585321575,0.5472231798021082,0.5102879032676917,0.11130526970987457
201405,201408,2014.3333333333333,3,evaluation,-0.31,-1.0,0.9,0.25774942926637495,0.2625648842634994,0.239397232743354,0.4397693071531388,0.4550128755547206,0.4490369943122311,0.7147058399429776
201406,201409,2014.4166666666667,3,evaluation,-0.10999999999999999,-1.0,0.55,0.10901110353474952,0.10907056562455669,0.09034291553967222,0.15502839471362773,0.19396969928675445,-0.008835168010652594,0.28340392016601856
201407,201410,2014.5,3,evaluation,0.35,1.0,-0.15000000000000002,0.41362600294659524,0.4588426903512831,0.4732631658960028,0.35741516777940496,0.2983260381943341,0.3981978303300684,0.6547527407154854
201408,201411,2014.5833333333333,3,evaluation,0.75,1.0,-0.31,0.6731535302705305,0.70947994206625,0.6302500988851166,0.5556500986641127,0.5520030953337857,0.4340092608515014,0.5540679440318981
201409,201412,2014.6666666666667,3,evaluation,0.4,1.0,-0.10999999999999999,0.06147979330608347,0.025131556509909572,0.007339003500762005,-0.12350216359260216,-0.04672484712606234,0.21281597179259862,-0.04918520774573046
201410,201501,2014.75,3,evaluation,0.10999999999999999,1.0,0.35,-0.29930626401464955,-0.31503224636111127,-0.2530528869847152,-0.28171511679405026,-0.30145506953227896,0.04767771933333112,-0.2974592585733171
201411,201502,2014.8333333333333,3,evaluation,-0.32000000000000006,-1.0,0.75,-0.03299483070128069,-0.04871005205650282,-0.005390529817858661,0.19390451185027496,0.16955871610580464,-0.09508592154623081,0.04428000594811839
201412,201503,2014.9166666666667,3,evaluation,-0.29000000000000004,-1.0,0.4,0.08241641001625688,0.08143044200366195,0.057494306428544355,0.04256242060317103,0.08246194692998614,-0.05806993789572225,0.18805952260842818
201501,201504,2015.0,3,evaluation,0.31000000000000005,1.0,0.10999999999999999,-0.10833135088542195,-0.1311603158131071,-0.1335327194506665,-0.22503400254503225,-0.19323584921846343,-0.3542706525538759,-0.07952413961603677
201502,201505,2015.0833333333333,3,evaluation,0.4700000000000001,1.0,-0.32000000000000006,0.026461211214417947,0.03855540041991182,0.07729980737565223,0.012587711587716037,-0.0656158308697829,0.06977850948968783,-0.029795360339693655
201503,201506,2015.1666666666667,3,evaluation,0.8,1.0,-0.29000000000000004,0.017281120317183846,0.0359025084308882,-0.021410669871663485,-0.15188064402698645,-0.15458857533788203,-0.11372921153134236,-0.10188100173991571
201504,201507,2015.25,3,evaluation,0.66,1.0,0.31000000000000005,-0.15298494475889468,-0.16523222180138447,-0.1940824775771206,-0.17614587401485293,-0.16163715016419106,0.18615161494206106,-0.22048396784635854
201505,201508,2015.3333333333333,3,evaluation,0.8300000000000001,1.0,0.4700000000000001,-0.02668651203168064,0.010550702533851986,0.027934644655368573,0.16752163904912076,0.10503632318428466,0.4209313496901637,-0.014580239088877053
201506,201509,2015.4166666666667,3,evaluation,0.7299999999999998,1.0,0.8,-0.23635984946113026,-0.23348329086216107,-0.2275063239428346,-0.04692767892979999,-0.0674145381494857,-0.18159460537972388,-0.2193437189021341
201507,201510,2015.5,3,evaluation,0.6499999999999999,1.0,0.66,-0.029258507237275383,-0.011159230333960588,-0.027253560797460455,0.17084694041916754,0.1643391448650237,0.005524963278158032,-0.011204035077654037
201508,201511,2015.5833333333333,3,evaluation,0.6999999999999997,1.0,0.8300000000000001,-0.10056129317955931,-0.08418173546588403,-0.09310682701419662,-0.0062315767684548995,-0.013310260944216584,-0.11995489582930335,-0.13037293517729998
201509,201512,2015.6666666666667,3,evaluation,0.5500000000000003,1.0,0.7299999999999998,-0.21533315506102157,-0.1889028648122757,-0.23105036127481998,-0.18408814239378307,-0.15814074994252225,-0.2586029725717691,-0.25042291516058923
201510,201601,2015.75,3,evaluation,0.3500000000000001,1.0,0.6499999999999999,-0.44429605830496555,-0.4389725443075285,-0.4432083760995893,-0.44940799109280316,-0.4454897221078269,-0.5439008478070193,-0.4760964229978575
201511,201602,2015.8333333333333,3,evaluation,-0.45999999999999996,-1.0,0.6999999999999997,-1.0793985272144666,-1.1235715306726133,-1.0854754521523315,-1.1114297048739517,-1.1077441689148917,-1.1900716423209945,-1.086210057861225
201512,201603,2015.9166666666667,3,evaluation,-0.96,-1.0,0.5500000000000003,-1.3373743105784155,-1.3479870705725603,-1.3511928075385544,-1.3752969516936888,-1.3586929669880734,-1.3837043367221595,-1.369813169816549
201601,201604,2016.0,3,evaluation,-1.51,-1.0,0.3500000000000001,-1.603583226968575,-1.6376604430203874,-1.58913488110406,-1.5718785913961217,-1.5950737545378766,-1.5887156093054737,-1.6312158986857916
201602,201605,2016.0833333333333,3,evaluation,-1.66,-1.0,-0.45999999999999996,-1.657279190250756,-1.6569542893214542,-1.6747746835332638,-1.6409813312084287,-1.625906129425851,-1.5816986317530282,-1.6671010083259767
201603,201606,2016.1666666666667,3,evaluation,-1.54,-1.0,-0.96,-1.697556361254119,-1.7108171263889467,-1.7122315750967443,-1.6621368007368005,-1.64709131816727,-1.865177491956347,-1.7115163315140662
201604,201607,2016.25,3,evaluation,-1.3,-1.0,-1.51,-1.6098875651857554,-1.6195113634803004,-1.608933482742741,-1.5436231841905426,-1.5463012041500073,-1.5345877314813716,-1.6442426196358018
201605,201608,2016.3333333333333,3,evaluation,-0.9299999999999999,-1.0,-1.66,-1.265171126955077,-1.2394032306250509,-1.2591136127193576,-1.2585072940929354,-1.2546632805979667,-1.4633712396287084,-1.295356208695981
201606,201609,2016.4166666666667,3,evaluation,-0.52,-1.0,-1.54,-0.6336369751960566,-0.6067676387617834,-0.6270388060770036,-0.6676063024445504,-0.6574402346192871,-0.8711930673419155,-0.6949185771469903
201607,201610,2016.5,3,evaluation,-0.5,-1.0,-1.3,-0.3503606163816438,-0.33110512003983267,-0.3557990702505145,-0.501126359514843,-0.4793874193240439,-0.5999236375955002,-0.48122139817728166
201608,201611,2016.5833333333333,3,evaluation,-0.15000000000000002,-1.0,-0.9299999999999999,-0.30525786900617696,-0.29322303000538746,-0.3051140804205473,-0.5504144861433284,-0.5316681843665565,-0.5907808168545414,-0.4966245470517322
201609,201612,2016.6666666666667,3,evaluation,-0.04999999999999999,-1.0,-0.52,-0.063387386217535,-0.06088453488028171,-0.043706452874377605,-0.3094818780690733,-0.31558367605079046,-0.3405192111282828,-0.19042107532877273
201610,201701,2016.75,3,evaluation,0.41,1.0,-0.5,-0.03875073825148492,-0.03823777909605079,-0.06506577243701314,-0.2536258331216247,-0.22843412313316203,-0.26284504179722734,-0.06620332017117947
201611,201702,2016.8333333333333,3,evaluation,0.62,1.0,-0.15000000000000002,0.16952366244007577,0.17940084172498916,0.18638790186518867,-0.027295903725921375,-0.018206745440978944,-0.05354909387315042,0.1665171897327944
201612,201703,2016.9166666666667,3,evaluation,0.42000000000000004,1.0,-0.04999999999999999,0.2652340229169674,0.26820809756587555,0.25354809191530714,0.05106114490053465,0.08395811726821852,0.0560372484323174,0.1995558339546573
201701,201704,2017.0,3,holdout,0.56,1.0,0.41,0.04087112766437408,0.037721286656379985,0.05241344867554465,-0.1507000487140679,-0.1530956904800862,-0.12942852357195378,-0.20279418504081292
201702,201705,2017.0833333333333,3,holdout,0.31,1.0,0.62,-0.18110866499893896,-0.21710221116648531,-0.07250616744350184,-0.22969449087917693,-0.38461777343934767,-0.20194844269095735,-0.4324239842662456
201703,201706,2017.1666666666667,3,holdout,0.31,1.0,0.42000000000000004,-0.07984674913061011,-0.045766791175030144,-0.20630510248992323,-0.38782212382776493,-0.25096482335354975,-0.14626188851619254,-0.24045702606137653
201705,201708,2017.3333333333333,3,holdout,-0.48,-1.0,0.31,-0.031385750974255805,-0.005043636768422108,-0.03296420493999762,0.029115678712731304,-0.03848561801237471,-0.07015152148188888,0.02083896883617798
201706,201709,2017.4166666666667,3,holdout,-0.78,-1.0,0.31,-0.6474009681286035,-0.6778829176964232,-0.8333191858677592,-0.8489077293624333,-0.6304651265829193,-0.6808615520419701,-0.5728498083294621
201707,201710,2017.5,3,holdout,-0.74,-1.0,1.0,-0.531527865052327,-0.5233454908245777,-0.46805620008114446,-0.42771967104125985,-0.4428364620237403,0.0036656490545906306,-0.5268045176533351
