Name,fluid,partition,n_snapshots,position_alignment_parent_grandchild,position_alignment_parent_child,position_alignment_child_grandchild,flow_alignment_parent_grandchild,flow_alignment_parent_child,flow_alignment_child_grandchild,median_parent_grandchild_product,opposite_side_fraction_parent_grandchild,opposite_side_fraction_parent_child,quiet_guard_child_horizons
241111m,S2,diagnostic,53,0.17067265366537154,-0.8784516113817571,-0.48763674597299056,0.24285367400458582,-0.19636353289818842,-0.7141030132177066,0.017250998068519707,0.4339622641509434,1.0,1.0
250722a,S2,diagnostic,80,0.49074073726931305,-0.6836135495578463,-0.6583990486189784,-0.08226070522729773,0.2428985219160618,-0.5980963999609406,0.10597379013858022,0.2375,0.975,1.0
250722b,S2,diagnostic,97,0.5195170433213725,-0.5224069705271401,-0.5877885170462702,0.12290891026601568,0.20910441364209462,-0.5728668013271434,0.11893539489378716,0.25773195876288657,0.9072164948453608,1.0
250722c,S2,diagnostic,79,0.3656635609280432,-0.6129590018103253,-0.5809151872481645,-0.1665190838801858,0.35136431050101913,-0.5291290749654343,0.1013563692846607,0.26582278481012656,0.9493670886075949,1.0
250722d,S2,diagnostic,67,0.46657892692626757,-0.6273084864483788,-0.5975894575703943,-0.12528139027634722,0.46639456810499474,-0.545454860938293,0.17081566370333662,0.26865671641791045,0.8805970149253731,1.0
250722e,S2,diagnostic,84,0.11407934017077757,-0.21102448991331285,-0.5690988216940238,0.09933294696354329,0.2579289055050201,-0.42836287401553574,0.036428278389636554,0.39285714285714285,0.8095238095238095,1.0
250722f,S2,diagnostic,46,0.33265594501519213,-0.5825303137137752,-0.6268291566182089,-0.21565061970118554,0.31849449471482694,-0.66763915217346,0.03505454118810327,0.32608695652173914,0.782608695652174,1.0
250722g,S2,diagnostic,45,0.4815014562367534,-0.5944823762178926,-0.7810418702136162,-0.08670417568545091,0.38561718945643986,-0.7179504318442118,0.02110493061641606,0.24444444444444444,0.7777777777777778,1.0
250722h,S2,diagnostic,34,0.32236980272108506,-0.5338545934706583,-0.4868113991188033,-0.10506406388172193,0.36862419005735375,-0.6818016257113952,0.01116932490429861,0.4411764705882353,0.8235294117647058,1.0
250722i,S2,diagnostic,41,0.35781220756926957,-0.793511874877424,-0.43754995193160334,0.025092977075966857,0.3072192605753972,-0.5046383058553139,0.019574820892176208,0.3902439024390244,0.9024390243902439,1.0
250722j,S2,diagnostic,44,0.30281890344799883,-0.5856417906828646,-0.47598294330228863,0.004264590022763748,0.28326348837926896,-0.5207893423609311,0.022207906068578025,0.3953488372093023,0.7045454545454546,1.0
250722l,S2,diagnostic,25,0.3595060729923717,-0.490518293762489,-0.015246836320076515,0.1067509288642408,0.1331179481722474,-0.2080116874607336,0.017192303013160628,0.32,0.8,1.0
250722m,S2,diagnostic,11,0.13943130051372896,0.04155523051509146,0.454157072129299,-0.11140060985821323,-0.0020054418658976433,-0.2798519817950596,0.014568873638091902,0.36363636363636365,0.36363636363636365,1.0
250722n,S2,diagnostic,38,0.29426860901148055,-0.7022788578568294,-0.36897604932666933,0.04866813382576775,0.03615921801356038,-0.6761993845336631,0.017480533513428546,0.2894736842105263,0.8157894736842105,1.0
250722o,S2,diagnostic,31,0.42117195845603894,-0.5581650511757738,-0.4025538527402041,-0.10312938818488412,-0.1599436532512979,-0.5060958535579141,0.024121150397697556,0.2903225806451613,0.8709677419354839,1.0
