split,video,frame,inherited_id,phi_real,phi_broken,phi_contact_scramble,phi_preordinary,real_minus_broken,real_minus_contact_scramble,real_minus_preordinary
evaluation,V11,15,14,0.6651329422788512,0.7678592659970509,0.6651329422788512,0.7725174369120538,-0.10272632371819967,0.0,-0.10738449463320254
evaluation,V11,613,529,0.6879803162102338,0.6615156401506439,0.6879803162102338,0.7525686420063922,0.02646467605958991,0.0,-0.06458832579615836
evaluation,V11,1303,1128,0.7121342903994436,0.7012375255784975,0.7121342903994436,0.9148647079802845,0.010896764820946148,0.0,-0.20273041758084087
evaluation,V11,1972,1681,0.7239140357515998,0.7788149111372185,0.8039500092488212,0.7639561551678051,-0.05490087538561861,-0.08003597349722136,-0.04004211941620528
evaluation,V11,2511,2171,0.7735939845935507,0.8175980951582229,0.7735939845935507,0.8068347769601307,-0.04400411056467224,0.0,-0.03324079236658006
evaluation,V11,2654,2315,0.695251509079575,0.6500842737787089,0.695251509079575,0.8155155614795995,0.04516723530086608,0.0,-0.12026405240002447
evaluation,V11,2654,2340,0.4500622279580684,0.49522946325893447,0.4500622279580684,0.8988818136577144,-0.04516723530086608,0.0,-0.448819585699646
evaluation,V11,2687,2377,0.751695366045956,0.8279570137045658,0.7761686789544648,nan,-0.07626164765860977,-0.02447331290850885,nan
evaluation,V12,394,512,0.7160949722594033,0.9306651738630882,0.24395901725982427,0.21969551520824315,-0.2145702016036849,0.47213595499957905,0.4963994570511602
evaluation,V12,1191,1517,0.4834191082939465,0.8283329970018272,0.4834191082939465,0.6222882146564063,-0.34491388870788064,0.0,-0.13886910636245975
evaluation,V12,1853,2398,0.9216670029981722,0.7435554221917025,0.9216670029981722,0.5182921591835001,0.17811158080646972,0.0,0.40337484381467203
evaluation,V12,1917,2472,0.595971804541269,0.7553311463947772,0.9318922404591516,nan,-0.1593593418535082,-0.3359204359178827,nan
evaluation,V12,2001,2584,0.6810465275334063,0.6003839513741662,0.6810465275334063,nan,0.0806625761592401,0.0,nan
evaluation,V12,2080,2683,0.6321548512307682,0.366032388393014,0.16001889623118903,0.2698084285368306,0.2661224628377542,0.47213595499957917,0.3623464226939376
evaluation,V12,2223,2844,0.8337021092829251,0.4964264863326677,0.6941619357174955,0.7827920606461085,0.33727562295025737,0.13954017356542958,0.050910048636816585
evaluation,V13,816,1401,0.77952895526944,0.04517449339667956,0.7483350897309808,0.6644001893400568,0.7343544618727604,0.031193865538459153,0.11512876592938315
evaluation,V13,1382,2424,0.2781944627026127,0.9874510754246268,0.19394149229696644,0.7484870302290132,-0.7092566127220141,0.08425297040564628,-0.4702925675264005
evaluation,V14,556,1070,0.8120727109648125,0.2393648203187595,0.7157913340356084,0.7854630904033024,0.572707890646053,0.09628137692920413,0.02660962056151006
evaluation,V14,2531,4974,0.5785414540180492,0.001838891065997883,0.5785414540180492,0.44738919151407597,0.5767025629520514,0.0,0.13115226250397327
