draw,split,score,events,observed_score
253,holdout,0.044322957949462546,160,0.03521372233117723
254,evaluation,0.06849992892218573,688,0.02800712380629125
254,holdout,0.01849270234265807,160,0.03521372233117723
255,evaluation,0.062256383442154554,688,0.02800712380629125
255,holdout,0.039519221463653983,160,0.03521372233117723
256,evaluation,0.06734339507789242,688,0.02800712380629125
256,holdout,0.0035188336379772117,160,0.03521372233117723
257,evaluation,0.06779105701145684,688,0.02800712380629125
257,holdout,0.039555011714688906,160,0.03521372233117723
258,evaluation,0.06071619208195102,688,0.02800712380629125
258,holdout,0.017846146198335203,160,0.03521372233117723
259,evaluation,0.06383553135001616,688,0.02800712380629125
259,holdout,0.015285010060522047,160,0.03521372233117723
260,evaluation,0.07769032138737175,688,0.02800712380629125
260,holdout,0.021286012154585518,160,0.03521372233117723
261,evaluation,0.07376967084482433,688,0.02800712380629125
261,holdout,0.02101615110544705,160,0.03521372233117723
262,evaluation,0.06957261655086104,688,0.02800712380629125
262,holdout,0.030564981870825403,160,0.03521372233117723
