permutation,wrong_lineage_persistence,max_steering_improvement,max_reverse_improvement,loss_lambda_0,reverse_loss_lambda_0,loss_lambda_0.25,reverse_loss_lambda_0.25,loss_lambda_0.5,reverse_loss_lambda_0.5,loss_lambda_0.75,reverse_loss_lambda_0.75,loss_lambda_1,reverse_loss_lambda_1
549,0.07698777390641288,0.013170420348650791,0.0018070558415881344,1.0129406724233436,1.0129406724233436,1.0104220383378766,1.015550436969723,1.0079547756715719,1.0171229325391884,1.004650003192505,1.0159891818465345,0.9997702520746928,1.0111336165817555
550,0.05221577013185525,0.04317516909791708,0.03167899375655936,1.0129406724233436,1.0129406724233436,1.0062595956875624,1.011825493543047,0.9939913727136584,1.0036785601071028,0.9803481309312845,0.9919397020581404,0.9697655033254265,0.9812616786667843
551,0.06600009272320234,-0.0053183780962899885,0.0007919321178146976,1.0129406724233436,1.0129406724233436,1.0182590505196336,1.012148740305529,1.0249807392201966,1.0150662542714133,1.0277665376726206,1.0177514800231575,1.0223599216581052,1.0159044037953735
552,0.07957946959784103,0.0003338208406498122,-0.0044862735713326884,1.0129406724233436,1.0129406724233436,1.0126068515826938,1.0174269459946763,1.0152777103361363,1.023247652229481,1.0168265610425,1.0252186965505186,1.0130517837924171,1.019066760329325
553,0.052425056579270574,0.006191667634138032,-0.002610123191060465,1.0129406724233436,1.0129406724233436,1.014593286204835,1.015550795614404,1.017299996302226,1.021376852949908,1.015854317483269,1.0256949145678318,1.0067490047892056,1.0231703566814943
554,0.04835523785088699,-0.0054733567423075336,0.0011822693770566772,1.0129406724233436,1.0129406724233436,1.0184140291656512,1.011758403046287,1.024947999512663,1.0140861738263787,1.0271471767875622,1.0159123972881912,1.020867285834835,1.0128515525329866
555,0.048014875538010135,0.02160539890823121,0.006601477416258161,1.0129406724233436,1.0129406724233436,1.0114758069188774,1.0139613324788501,1.00825202972083,1.0143042283670372,1.0016192582154109,1.0123250836286006,0.9913352735151124,1.0063391950070855
556,0.06647112905880515,-0.0010454778674631182,-0.004544098720531409,1.0129406724233436,1.0129406724233436,1.0139861502908067,1.017484771143875,1.0189478354719697,1.0246097584994618,1.0226005446205402,1.0285733716009604,1.0196697633759217,1.0247160545954912
557,0.06475771410671344,0.002042364968357191,-0.007160241153508551,1.0129406724233436,1.0129406724233436,1.0108983074549864,1.0201009135768522,1.0136035973545254,1.0283442489959798,1.0168294090186207,1.0315249507698196,1.0154576130533453,1.0252026023039864
558,0.06844614043601734,0.0029909603198920998,-0.0011595390772221048,1.0129406724233436,1.0129406724233436,1.0125250346244306,1.0172042914439992,1.0148390610266418,1.022158126242215,1.0154555604143785,1.0224061149142714,1.0099497121034515,1.0141002115005657
559,0.06948231872040327,0.009606909169129096,0.009415755022493144,1.0129406724233436,1.0129406724233436,1.012068491008515,1.0141981257684387,1.0113725326140452,1.014278410629019,1.009083892175033,1.0110324884434747,1.0033337632542145,1.0035249174008505
560,0.05708897394029861,-0.0034591285369889313,0.003232374317979625,1.0129406724233436,1.0129406724233436,1.0163998009603326,1.012438087797801,1.0207461489933625,1.0138841577829925,1.02204726280514,1.014028718310495,1.0170598172755783,1.009708298105364
561,0.057366408912858505,0.003371140521552407,-0.004395573656679641,1.0129406724233436,1.0129406724233436,1.0127838723157407,1.0173362460800233,1.0152599321829052,1.0231499667482549,1.0156588011399132,1.0247749268121067,1.0095695319017912,1.0174700101925718
562,0.07068596986887205,0.021787246628389045,0.00883296223434149,1.0129406724233436,1.0129406724233436,1.0099367594353401,1.0151268830054492,1.0059054406254806,1.0153920608148328,0.9998253423970079,1.0120136490836236,0.9911534257949546,1.0041077101890021
563,0.08713782929785079,-0.0029081579431391447,0.0018251614157562823,1.0129406724233436,1.0129406724233436,1.0173302321204725,1.0120600712633785,1.0222967463619144,1.0139756395050479,1.0230027571869784,1.015005398210033,1.0158488303664828,1.0111155110075873
564,0.06132281847080831,-0.0005444501908191679,0.0021341906331051597,1.0129406724233436,1.0129406724233436,1.0155441984160423,1.0134603819816028,1.0191630531634022,1.0157656892714109,1.019607594079553,1.0160634041810166,1.0134851226141628,1.0108064817902385
565,0.06907957211801802,0.008805487283880087,-0.000610597797696899,1.0129406724233436,1.0129406724233436,1.0132554664528024,1.0146183993881976,1.013872810205653,1.0172807543264468,1.011608973611279,1.0179024459934267,1.0041351851394635,1.0135512702210405
566,0.05065213184135648,-0.0031665684197130783,-0.0024119930139225865,1.0129406724233436,1.0129406724233436,1.0161072408430567,1.0153526654372662,1.0214227843963175,1.022175686632035,1.023096613553202,1.0283838615168903,1.0168308313027143,1.0283331776928597
567,0.08595579825522252,9.49427662064739e-05,0.004990845838144686,1.0129406724233436,1.0129406724233436,1.0150965255535507,1.0136084426350735,1.0183094875260015,1.015481918584613,1.0186507666822404,1.0147001895205927,1.0128457296571372,1.007949826585199
568,0.05601468345071685,0.002639499206448459,-0.00222632139476886,1.0129406724233436,1.0129406724233436,1.012694249900534,1.015897137824317,1.0141399389024612,1.0196658173566742,1.0142603348080899,1.0204888178756943,1.0103011732168952,1.0151669938181125
569,0.0638890415172889,0.029778054800838838,0.01785342721687755,1.0129406724233436,1.0129406724233436,1.0081587181508544,1.0147497248681387,1.0011800182511175,1.0125849804556666,0.9925687157720534,1.005826734584818,0.9831626176225048,0.9950872452064661
