x_mm,y_mm,z_mm,radius_mm,x_ara,angle_deg,lateral_index,elevation_rank,exact_elevation_tie
1133.43021,303.70171,27.87445,1173.4132987134449,0.8670664748978916,15,20,1,False
1155.24671,309.54742,29.32793,1195.9994005828264,0.9799969849729819,15,21,3,False
1163.87117,311.85834,29.39295,1204.9280993423317,1.0246404790583725,15,22,4,False
1172.5789,314.19157,30.71043,1213.9430049982886,1.0697150076288002,15,23,7,False
1178.42555,315.75817,33.42961,1219.9959011466192,1.0999794885656,15,24,9,False
1187.25199,318.12321,34.68827,1229.1337048912394,1.1456685075833066,15,25,14,False
1196.13976,320.50468,37.65065,1238.3350012636968,1.191674989742246,15,26,17,False
1205.08249,322.90088,39.40083,1247.5931973241015,1.2379659703427568,15,27,18,False
1211.0722,324.50582,40.61963,1253.7942019433303,1.2689709936388232,15,28,19,False
1220.09481,326.92342,41.60226,1263.1350948863042,1.3156754586548454,15,29,21,False
1241.65351,332.70005,44.93361,1285.4543018580327,1.4272714942330662,15,30,22,False
1250.38374,335.03931,46.78632,1294.492501523923,1.4724624928539118,15,31,24,False
1256.23445,336.60701,49.89918,1300.549604032058,1.502748005589869,15,32,26,False
1265.05287,338.96989,54.36876,1309.6791020024139,1.5483954957359864,15,33,28,False
1273.91852,341.34544,57.94246,1318.8574998868467,1.5942874854540647,15,34,30,False
1282.82764,343.73263,58.50709,1328.0808992206335,1.6404044824203639,15,35,31,False
1288.78962,345.33014,60.96921,1334.2531956911942,1.671265964972164,15,36,32,False
1297.76404,347.73483,80.76458,1343.544199314727,1.7177209833893727,15,37,36,False
1319.44676,353.54469,83.1344,1365.9918009643009,1.8299589923609596,15,38,37,False
1328.19022,355.8875,84.31633,1375.0436986364828,1.875218481013705,15,39,40,False
1336.97667,358.24182,83.40041,1384.140100467146,1.9207004904602925,15,40,38,False
1352.29616,362.34666,83.43409,1400.000002272822,2.0,15,41,39,False
939.69262,342.02014,90.19749,999.999998124042,0.0,20,1,40,True
949.08955,345.44034,87.90988,1010.0000011972862,0.050000015054085654,20,2,37,False
958.48647,348.86055,81.62229,1019.9999982938057,0.10000000022454768,20,3,34,False
964.75109,351.14068,74.41138,1026.6666658692345,0.13333333789360166,20,4,32,False
986.25774,358.96846,68.5235,1049.5535646095816,0.24776783088095608,20,5,30,False
993.5829,361.6346,62.75126,1057.348836992584,0.28674419255265005,20,6,29,False
1001.47141,364.50578,57.94696,1065.7436130236938,0.32871807244616846,20,7,27,False
1009.73317,367.51282,52.93895,1074.5355961821838,0.37267798796418955,20,8,24,False
1018.25053,370.61288,47.68809,1083.5995794882792,0.4179979042117479,20,9,19,False
1026.94864,373.77874,45.33964,1092.8559171610123,0.46427959228649,20,10,18,False
1032.82285,375.91677,42.39547,1099.1071182779935,0.49553559767627436,20,11,15,False
1041.72134,379.15556,38.7409,1108.5766950871325,0.5428834814263903,20,12,14,False
1050.70189,382.42421,37.35849,1118.1335957942129,0.5906679846634874,20,13,12,False
1059.74634,385.71612,37.2583,1127.7584982482952,0.6387924966334716,20,14,11,False
1079.77373,393.0055,35.03152,1149.0712036372518,0.7453560229130098,20,15,9,False
1088.23801,396.08624,37.11806,1158.0787002298669,0.7903935055949295,20,16,10,False
1096.80848,399.20564,33.86564,1167.1992052806238,0.835996030564031,20,17,7,False
1102.57264,401.30362,31.47978,1173.3332953179477,0.8666664805591837,20,18,1,False
1111.28482,404.47459,31.91283,1182.6046021887876,0.913023014623993,20,19,2,False
1120.06577,407.6706,32.847,1191.949095905548,0.95974548291612,20,20,4,False
1128.90584,410.88812,32.41587,1201.3565011033318,1.006782508611401,20,21,3,False
1137.79721,414.12432,33.25107,1210.8185014688397,1.0540925101435983,20,22,5,False
1146.73322,417.37676,33.80964,1220.328004120067,1.101640023102909,20,23,6,False
1155.70841,420.64346,34.59607,1229.8792011354203,1.1493960078815495,20,24,8,False
1161.71126,422.82832,37.62762,1236.2673011144516,1.1813365075773108,20,25,13,False
1181.12437,429.89411,42.77927,1256.926299836466,1.284631500542542,20,26,16,False
1189.80704,433.05435,44.46753,1266.1662065019284,1.3308310335814444,20,27,17,False
1198.5396,436.23274,48.77095,1275.4592020978437,1.3772960112709536,20,28,20,False
1207.31717,439.42751,52.24737,1284.800095548568,1.4240004782330125,20,29,22,False
1216.13553,442.63713,52.20464,1294.1843980604224,1.4709219904993676,20,30,21,False
1224.99072,445.86016,52.27223,1303.6078959416225,1.5180394796112273,20,31,23,False
1230.91314,448.01574,55.13796,1309.9104020933673,1.549552010173228,20,32,25,False
1239.82274,451.25857,57.19481,1319.3918006489023,1.596959002654955,20,33,26,False
1248.76119,454.5119,60.60099,1328.9039005480518,1.6445195018537961,20,34,28,False
1257.72614,457.77488,70.08551,1338.4442027960351,1.6922210127959265,20,35,31,False
1277.05261,464.80914,79.51547,1359.0110026542654,1.7950550114451156,20,36,33,False
1285.79504,467.99112,83.57014,1368.314500868662,1.841572502226703,20,37,35,False
1294.57092,471.18528,87.62481,1377.6535976065697,1.8882679856247357,20,38,36,False
1296.77582,471.9878,88.26798,1380.0000038715625,1.90000001687646,20,39,38,False
1306.17274,475.408,88.91115,1389.9999975478804,1.9499999849459144,20,40,39,False
1315.56967,478.8282,90.19749,1400.0000006211246,2.0,20,41,41,True
906.30779,422.61826,89.02497,1000.0000019500558,0.0,25,1,39,True
915.37086,426.84444,87.39025,1009.9999937109175,0.049999959069572594,25,2,36,False
