elevation_rank,path_type,candidate,increment_ara,local_positive,local_negative,local_score,local_sign,parent_positive,parent_negative,parent_score,parent_sign,local_score_rank_within_candidate,parent_score_rank_within_candidate
13,control,fibonacci_8_21,0.7619047619047619,0.6555243317726275,0.5795145250540203,0.5795145250540203,-,0.5803097743839647,0.5231317052476858,0.5231317052476858,-,4.0,37.0
13,control,phi,0.7639320225002103,0.6553068774868358,0.5804133651448844,0.5804133651448844,-,0.5255737383068553,0.5211044446522375,0.5211044446522375,-,4.0,37.0
13,control,two_fifths,0.8,0.6553068774868358,0.612283175139203,0.612283175139203,-,0.5403030320466968,0.6122804646580835,0.5403030320466968,+,4.0,38.0
13,control,silver_conjugate,0.8284271247461903,0.677159314803693,0.6300643332985835,0.6300643332985835,-,0.654635747460822,0.3967579960026787,0.3967579960026787,-,4.0,3.0
13,control,ridge,1.0,0.6646646376306489,0.6646646376306489,0.6646646376306489,+,0.4486553668589428,0.4486553668589428,0.4486553668589428,+,2.0,3.0
14,control,persistence,0.0,0.26808815358109245,0.26808815358109245,0.26808815358109245,+,0.3121961275794841,0.3121961275794841,0.3121961275794841,+,39.0,21.0
14,control,one_third,0.6666666666666666,0.5242988858246151,0.7739176682624743,0.5242988858246151,+,0.4003125047048989,0.4791408382589917,0.4003125047048989,+,1.0,12.0
14,control,one_over_e,0.7357588823428847,0.5466705610492054,0.7894377537795432,0.5466705610492054,+,0.648190107273425,0.3458311685124962,0.3458311685124962,-,3.0,1.0
14,control,three_eighths,0.75,0.5498472872308748,0.8009174403860176,0.5498472872308748,+,0.43780387242051677,0.42961190732759635,0.42961190732759635,-,3.0,11.0
14,control,fibonacci_8_21,0.7619047619047619,0.5540202682522084,0.8009174403860176,0.5540202682522084,+,0.4833192734698024,0.43739061031495563,0.43739061031495563,-,3.0,8.0
14,control,phi,0.7639320225002103,0.5540202682522084,0.8009174403860176,0.5540202682522084,+,0.5380553095469118,0.4536086950785432,0.4536086950785432,-,3.0,12.0
14,control,two_fifths,0.8,0.5815616786828339,0.8033145096978447,0.5815616786828339,+,0.37038809267240436,0.5548255339094366,0.37038809267240436,+,2.0,1.0
14,control,silver_conjugate,0.8284271247461903,0.5951341127559711,0.8177302389839821,0.5951341127559711,+,0.6471947196438992,0.4121604067438147,0.4121604067438147,-,2.0,9.0
14,control,ridge,1.0,0.7319118464189076,0.7319118464189076,0.7319118464189076,+,0.4791408382589917,0.4791408382589917,0.4791408382589917,+,3.0,9.0
15,control,persistence,0.0,0.20477435071128425,0.20477435071128425,0.20477435071128425,+,0.7108029941140102,0.7108029941140102,0.7108029941140102,+,30.0,34.0
15,control,one_third,0.6666666666666666,0.58788386773525,0.6462231604099267,0.58788386773525,+,0.36151133118521295,0.5931233438533623,0.36151133118521295,+,9.0,2.0
15,control,one_over_e,0.7357588823428847,0.651629392239053,0.6668523583186798,0.651629392239053,+,0.5725960542144726,0.4755794515119196,0.4755794515119196,-,11.0,22.0
15,control,three_eighths,0.75,0.6658705098961684,0.6776771407463577,0.6658705098961684,+,0.4954920280610411,0.39033316512601135,0.39033316512601135,-,11.0,3.0
15,control,fibonacci_8_21,0.7619047619047619,0.6777752718009302,0.6785500896414735,0.6777752718009302,+,0.5530045809513837,0.4387919098716382,0.4387919098716382,-,12.0,9.0
15,control,phi,0.7639320225002103,0.6798025323963787,0.6785500896414735,0.6785500896414735,-,0.5505508713489446,0.4854189035669543,0.4854189035669543,-,12.0,26.0
15,control,two_fifths,0.8,0.7158705098961684,0.6785544654483253,0.6785544654483253,-,0.46872147848659457,0.5726510192881803,0.46872147848659457,+,7.0,23.0
