date,nino34_raw,soi_raw,olr_raw,wwv_east_raw,wwv_west_raw,wind_w_raw,wind_c_raw,wind_e_raw,heat_raw,ocean_state,atmos_state,atmos_state_olr,la_ocean,la_atmos,el_ocean,el_atmos,ara_la_child,ara_el_child,ara_parent,ocean_flow,atmos_flow_w,atmos_flow_c,atmos_flow_e,ara_parent_flow
1994-09-01,0.40000000000000002,-2.6000000000000001,-1,22385300000000,-48299590000000,-0.90000000000000002,-0.59999999999999998,-0.40000000000000002,0.46000000000000002,0.45254506523446808,1.6597022001954189,1.0332076384503937,0,0,0.45254506523446808,1.6597022001954189,,1.5715037035284167,2,0.068186949262569602,0.92990628744611814,0.57336577250214738,0.37574518407665763,2
1994-10-01,0.90000000000000002,-1.8999999999999999,-0.59999999999999998,96265450000000,-76495650000000,-0.80000000000000004,-1.3,-1.3,0.76000000000000001,1.0182263967775531,1.2128593001428061,0.61992458307023623,0,0,1.0182263967775531,1.2128593001428061,,1.0872368567616706,2,1.5750805845194038,0.82658336661877163,1.2422925070879862,1.2211718482491372,2
1994-11-01,1.1399999999999999,-0.90000000000000002,-1.3999999999999999,151548700000000,-85349720000000,-1.3,-1.3,-1.2,0.91000000000000003,1.2897534359182339,0.57451230006764498,1.4464906938305511,0,0,1.2897534359182339,0.57451230006764498,,0.61634163947536791,2,0.98966691137051466,1.343197970755504,1.2422925070879862,1.1272355522299726,2
1994-12-01,1.21,-2,-2.7999999999999998,91238120000000,-113767100000000,-1.8999999999999999,-0.29999999999999999,-0.40000000000000002,0.63,1.3689488223342658,1.2766940001503222,2.8929813876611021,0,0,1.3689488223342658,1.2766940001503222,,0.965129524892818,2,-0.49212603111140441,1.9631354957195826,0.28668288625107369,0.37574518407665763,0.86590078689321681
1995-01-01,1.1000000000000001,-0.69999999999999996,-1.7,56065900000000,-156514900000000,-0.59999999999999998,0.20000000000000001,-0.29999999999999999,0.35999999999999999,1.2444989293947872,0.44684290005261273,1.7564529853656694,0,0,1.2444989293947872,0.44684290005261273,,0.52838863471922348,2,0.11689451415245046,0.61993752496407872,-0.1911219241673825,0.28180888805749316,2
1995-02-01,0.87,-0.20000000000000001,-0.59999999999999998,8246606000000,-154951300000000,-0.10000000000000001,-0.59999999999999998,-0.29999999999999999,0.040000000000000001,0.98428551688496801,0.12766940001503221,0.61992458307023623,0,0,0.98428551688496801,0.12766940001503221,,0.22963053281145518,2,-0.7619996622795826,0.10332292082734645,0.57336577250214738,0.28180888805749316,0.53996278908903161
1995-03-01,0.48999999999999999,1.2,-0,-43226630000000,-144887900000000,0.29999999999999999,0.40000000000000002,1,-0.46999999999999997,0.55436770491222331,-0.76601640009019323,0,0,0.76601640009019323,0.55436770491222331,0,2,0,0.83970672293303428,-0.9495372193015178,-0.30996876248203936,-0.38224384833476499,-0.939362960191644,0
1995-04-01,0.27000000000000002,-1.1000000000000001,0.20000000000000001,-79644930000000,-92406360000000,-1,0.20000000000000001,0.40000000000000002,-0.56000000000000005,0.30546791903326598,0.70218170008267722,-0.20664152769007876,0,0,0.30546791903326598,0.70218170008267722,,1.3937021098638098,2,-1.3717634299988359,1.0332292082734646,-0.1911219241673825,-0.37574518407665763,0
1995-05-01,0.029999999999999999,-0.59999999999999998,0.20000000000000001,-57902400000000,-68364070000000,-0.5,0.40000000000000002,0.5,-0.5,0.033940879892585103,0.38300820004509661,-0.20664152769007876,0,0,0.033940879892585103,0.38300820004509661,,1.8371941250108623,2,-0.035486303077419741,0.51661460413673232,-0.38224384833476499,-0.469681480095822,0
1995-06-01,0.080000000000000002,0.20000000000000001,0.40000000000000002,-16719770000000,-55350450000000,0.69999999999999996,0.29999999999999999,-0.5,-0.28000000000000003,0.090509013046893613,-0.12766940001503221,-0.41328305538015753,0,0.12766940001503221,0.090509013046893613,0,2,0,0.82967890156212976,0.43466014986384122,-0.72326044579142512,-0.28668288625107369,0.469681480095822,1.2051413214020323
1995-07-01,0.029999999999999999,0.69999999999999996,0.40000000000000002,-34006750000000,12384540000000,0.69999999999999996,0.29999999999999999,-0,-0.34000000000000002,0.033940879892585103,-0.44684290005261273,-0.41328305538015753,0,0.44684290005261273,0.033940879892585103,0,2,0,0.14118978762741893,-1.3119261991074238,-0.72326044579142512,-0.28668288625107369,0,0
1995-08-01,-0.38,0.5,0.69999999999999996,-78080630000000,28064930000000,1.1000000000000001,0.59999999999999998,-0.29999999999999999,-0.62,-0.42991781197274465,-0.31917350003758055,-0.72324534691527553,0.42991781197274465,0.31917350003758055,0,0,0.85216179902292388,,0,-0.92203453203376451,-1.1365521291008112,-0.57336577250214738,0.28180888805749316,0
1995-09-01,-0.56999999999999995,0.40000000000000002,0.40000000000000002,-129287600000000,31135690000000,0.59999999999999998,0.40000000000000002,-0.20000000000000001,-0.84999999999999998,-0.64487671795911694,-0.25533880003006443,-0.41328305538015753,0.64487671795911694,0.25533880003006443,0,0,0.56728371135040367,,0,-0.83752912353217635,-0.61993752496407872,-0.38224384833476499,0.18787259203832882,0
1995-10-01,-0.71999999999999997,0,0.90000000000000002,-127240900000000,62119050000000,0.80000000000000004,0.29999999999999999,-0.20000000000000001,-0.77000000000000002,-0.81458111742204242,-0,-0.92988687460535435,0.81458111742204242,0,0,-0,0,,0,-0.44650532525491737,-0.82658336661877163,-0.28668288625107369,0.18787259203832882,0
1995-11-01,-0.78000000000000003,0.10000000000000001,0.80000000000000004,-124252900000000,91836870000000,1.2,0.5,1,-0.73999999999999999,-0.88246287720721273,-0.063834700007516107,-0.82656611076031505,0.88246287720721273,0.063834700007516107,0,0,0.1349146432254493,,0,-0.41245281843534798,-1.2398750499281574,-0.47780481041845618,-0.939362960191644,0
1995-12-01,-0.71999999999999997,-0.80000000000000004,1,-117787400000000,122453700000000,0.40000000000000002,-0.59999999999999998,-0.29999999999999999,-0.63,-0.81458111742204242,0.51067760006012886,-1.0332076384503937,0.81458111742204242,0,0,0.51067760006012886,0,2,0.77068363078622648,-0.372665589497504,-0.41329168330938582,0.57336577250214738,0.28180888805749316,0.86117609692063835
1996-01-01,-0.65000000000000002,1.6000000000000001,1.7,-82171450000000,115465600000000,0.5,0.80000000000000004,0.80000000000000004,-0.16,-0.73538573100601057,-1.0213552001202577,-1.7564529853656694,0.73538573100601057,1.0213552001202577,0,0,1.16278408731042,,0,0.65739913322500809,-0.51661460413673232,-0.76448769666952998,-0.75149036815331527,0.93321602947835347
1996-02-01,-0.66000000000000003,0.40000000000000002,1.6000000000000001,-65991030000000,98901420000000,0.59999999999999998,1.2,1.8999999999999999,-0.02,-0.74669935763687234,-0.25533880003006443,-1.6531322215206301,0.74669935763687234,0.25533880003006443,0,0,0.50963887567829602,,0,0.50526350564792788,-0.61993752496407872,-1.1467315450042948,-1.7847896243641235,0.61170099201985528
1996-03-01,-0.47999999999999998,1.8999999999999999,1.1000000000000001,-49562650000000,112231500000000,0.69999999999999996,0.90000000000000002,0.90000000000000002,0.089999999999999997,-0.54305407828136165,-1.2128593001428061,-1.1365284022954332,0.54305407828136165,1.2128593001428061,0,0,1.3814568703056165,,0,0.047808124684649525,-0.72326044579142512,-0.86004865875322112,-0.84542666417247958,0.10704492319610343
1996-04-01,-0.34000000000000002,1.3,0.40000000000000002,-58735490000000,99897720000000,1.1000000000000001,0.59999999999999998,0.80000000000000004,-0.029999999999999999,-0.38466330544929789,-0.82985110009770946,-0.41328305538015753,0.38466330544929789,0.82985110009770946,0,0,1.3665562076621911,,0,0.048774687293256326,-1.1365521291008112,-0.57336577250214738,-0.75149036815331527,0.12189633162487298
1996-05-01,-0.40000000000000002,0.5,0.40000000000000002,-56790140000000,85229470000000,0.10000000000000001,0.59999999999999998,1.3999999999999999,-0.070000000000000007,-0.45254506523446808,-0.31917350003758055,-0.41328305538015753,0.45254506523446808,0.31917350003758055,0,0,0.82717590168396304,,0,0.25635511740660794,-0.10332292082734645,-0.57336577250214738,-1.3151081442683015,0.61793097058168411
1996-06-01,-0.12,1.8999999999999999,0.5,5955308000000,69277690000000,0.80000000000000004,0.59999999999999998,0.20000000000000001,0.080000000000000002,-0.13576351957034041,-1.2128593001428061,-0.51660381922519683,0.13576351957034041,1.2128593001428061,0,0,1.7986634697472828,,0,1.2143326626086215,-0.82658336661877163,-0.57336577250214738,-0.18787259203832882,1.3585430727676162
1996-07-01,-0.14000000000000001,1.1000000000000001,0.5,-14417470000000,41128070000000,0.5,0.5,0.40000000000000002,-0.14999999999999999,-0.15839077283206382,-0.70218170008267722,-0.51660381922519683,0.15839077283206382,0.70218170008267722,0,0,1.6318944009547562,,0,0.12000007487616408,-0.51661460413673232,-0.47780481041845618,-0.37574518407665763,0.40146903388728122
1996-08-01,-0.29999999999999999,1.2,0.5,-21402430000000,68530230000000,1,-0.10000000000000001,-0.29999999999999999,-0.17999999999999999,-0.33940879892585102,-0.76601640009019323,-0.51660381922519683,0.33940879892585102,0.76601640009019323,0,0,1.3859217263583934,,0,-0.5306083079450038,-1.0332292082734646,0.095560962083691248,0.28180888805749316,0.30522405572318179
1996-09-01,-0.34000000000000002,1,0.59999999999999998,-40823800000000,67934300000000,0.29999999999999999,0.59999999999999998,0.59999999999999998,-0.26000000000000001,-0.38466330544929789,-0.6383470000751611,-0.61992458307023623,0.38466330544929789,0.6383470000751611,0,0,1.2479776530655857,,0,-0.29048477641396525,-0.30996876248203936,-0.57336577250214738,-0.56361777611498631,0
1996-10-01,-0.28000000000000003,1,0.5,-34476310000000,80306900000000,0.90000000000000002,0.40000000000000002,-0.10000000000000001,-0.23999999999999999,-0.31678154566412764,-0.6383470000751611,-0.51660381922519683,0.31678154566412764,0.6383470000751611,0,0,1.336672436234366,,0,-0.092970083632549688,-0.92990628744611814,-0.38224384833476499,0.093936296019164409,0
1996-11-01,-0.29999999999999999,-0.10000000000000001,0.5,-65217800000000,114962600000000,0.5,0.40000000000000002,0.40000000000000002,-0.37,-0.33940879892585102,0.063834700007516107,-0.51660381922519683,0.33940879892585102,0,0,0.063834700007516107,0,2,0.31660622019384022,-1.0091072567361827,-0.51661460413673232,-0.38224384833476499,-0.37574518407665763,0
1996-12-01,-0.42999999999999999,1.5,0.69999999999999996,-41267720000000,127225800000000,-0.69999999999999996,0.69999999999999996,1.6000000000000001,-0.17000000000000001,-0.48648594512705312,-0.95752050011274159,-0.72324534691527553,0.48648594512705312,0.95752050011274159,0,0,1.3261997593836692,,0,0.18033367208292833,0.72326044579142512,-0.66892673458583862,-1.5029807363066305,0.42468404429752959
1997-01-01,-0.42999999999999999,0.80000000000000004,0.5,19696120000000,144850300000000,-0.69999999999999996,-0.20000000000000001,-0.29999999999999999,0.48999999999999999,-0.48648594512705312,-0.51067760006012886,-0.51660381922519683,0.48648594512705312,0.51067760006012886,0,0,1.0242604686561567,,0,0.66874497965672097,0.72326044579142512,0.1911219241673825,0.28180888805749316,2
1997-02-01,-0.23999999999999999,2.8999999999999999,0.5,108535600000000,106667800000000,0.40000000000000002,0.90000000000000002,1,0.84999999999999998,-0.27152703914068083,-1.8512063002179671,-0.51660381922519683,0.27152703914068083,1.8512063002179671,0,0,1.7441722574322795,,0,1.9600047308301514,-0.41329168330938582,-0.86004865875322112,-0.939362960191644,1.3900479601343416
1997-03-01,-0.059999999999999998,-0.69999999999999996,-1,97459250000000,124402500000000,-3.1000000000000001,-0.59999999999999998,0.29999999999999999,1.26,-0.067881759785170206,0.44684290005261273,1.0332076384503937,0.067881759785170206,0,0,0.44684290005261273,0,2,1.7362404987296962,-0.44456710799330978,3.2030105456477402,0.57336577250214738,-0.28180888805749316,1.1265296238845803
1997-04-01,0.34000000000000002,-1,-1.2,229575600000000,83085340000000,-2,-0.69999999999999996,-0.40000000000000002,1.8700000000000001,0.38466330544929789,0.6383470000751611,1.2398491661404725,0,0,0.38466330544929789,0.6383470000751611,,1.2479776530655857,2,2.6761549464468937,2.0664584165469293,0.66892673458583862,0.37574518407665763,2
1997-05-01,0.87,-2.2000000000000002,-1.7,282601300000000,6571300000000,-1.8,-0.69999999999999996,-0,1.8200000000000001,0.98428551688496801,1.4043634001653544,1.7564529853656694,0,0,0.98428551688496801,1.4043634001653544,,1.1758642219381192,2,1.9988548692951236,1.8598125748922363,0.66892673458583862,0,2
1997-06-01,1.1499999999999999,-2.2999999999999998,-0.90000000000000002,333446500000000,-26242920000000,-1.6000000000000001,-2.6000000000000001,-2.2999999999999998,2.0099999999999998,1.3010670625490954,1.4681981001728703,0.92988687460535435,0,0,1.3010670625490954,1.4681981001728703,,1.0603521251318162,2,1.2909014564133434,1.6531667332375433,2.4845850141759724,2.1605348084407812,2
