source_file,date,split,burst,recording_fraction,fps,feature,scale_frames,scale_seconds,amount,persistence,retained_dispersion,reversal_asymmetry,abs_reversal_asymmetry,valid_blocks,total_blocks
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,512,5.122048819527811,0.00220384553888724,0.5515151515151515,0.20791947387151286,-0.999380342682337,0.999380342682337,11,11
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,1024,10.244097639055623,0.0021691887416239184,1.0,0.09018319118152461,-1.0,1.0,5,5
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,1,0.010004001600640256,0.9336153535412477,0.8194061783429867,1.0,0.005922854013736785,0.005922854013736785,5998,5998
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,2,0.020008003201280513,0.9336391045795143,0.810341650619297,1.1631833639744076,-0.029067023259115143,0.029067023259115143,2999,2999
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,4,0.040016006402561026,0.9336300233830572,0.7830557686384508,1.0784352783434614,0.06997920844496004,0.06997920844496004,1499,1499
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,8,0.08003201280512205,0.9336428936163732,0.734986697179614,1.0527058988790559,0.049430841252936335,0.049430841252936335,749,749
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,16,0.1600640256102441,0.9336278815935704,0.72123211552985,0.9710333579996774,0.10541653185212725,0.10541653185212725,374,374
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,32,0.3201280512204882,0.93367920373437,0.6549622591368321,0.7353825498178436,0.03599271457658362,0.03599271457658362,187,187
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,64,0.6402561024409764,0.9336618114137838,0.6636098824037113,0.8037308649958239,0.0832955864395072,0.0832955864395072,93,93
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,128,1.2805122048819528,0.9336822073656633,0.5931488801054018,0.8741009635906607,-0.009428266253107422,0.009428266253107422,46,46
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,256,2.5610244097639057,0.9336809030689814,0.20383963862224735,0.6731387024337998,0.0023330909440532,0.0023330909440532,23,23
