route_id,split,control,lag,source_pair,endpoint,destination_pair,flip,shape_error,weight
c2-0-96-56-8,development,exact,0,7-8,8,4-7,Fx,0.9520427144703374,0.0006453498267471325
c2-0-96-56-8,development,exact,1,7-8,8,4-7,Fx,0.938679325288144,0.0006453498267471325
c2-0-96-56-8,development,exact,2,7-8,8,4-7,Fx,0.9358782454105303,0.0006453498267471325
c2-0-96-56-8,development,exact,3,7-8,8,4-7,Fx,0.9418360770632658,0.0006453498267471325
c2-0-96-56-8,development,exact,4,7-8,8,4-7,Fx,0.9507304314566839,0.0006453498267471325
c2-0-96-56-8,development,exact,5,7-8,8,1-7,Fx,0.9531267481390925,0.0006453498267471325
c2-0-96-56-8,development,exact,6,7-8,8,3-7,Fx,0.9468824168809068,0.0006453498267471325
c2-0-96-56-8,development,seed,0,7-8,8,9-10,Fx,0.9456707844779845,0.0006453498267471325
c2-0-96-56-8,development,seed,1,7-8,8,9-10,Fx,0.9446268975865354,0.0006453498267471325
c2-0-96-56-8,development,seed,2,7-8,8,4-10,Fx,0.9463098738983514,0.0006453498267471325
c2-0-96-56-8,development,seed,3,7-8,8,4-10,Fx,0.950693728769442,0.0006453498267471325
c2-0-96-56-8,development,seed,4,7-8,8,4-10,Fx,0.9621170444923394,0.0006453498267471325
c2-0-96-56-8,development,seed,5,7-8,8,2-6,Fz,0.9736936034855241,0.0006453498267471325
c2-0-96-56-8,development,seed,6,7-8,8,8-11,Fx,0.9628649093090601,0.0006453498267471325
c2-0-96-56-8,development,time,0,7-8,8,2-3,Fx,0.9341612166304943,0.0006453498267471325
c2-0-96-56-8,development,time,1,7-8,8,2-3,Fx,0.9289997940493848,0.0006453498267471325
c2-0-96-56-8,development,time,2,7-8,8,2-3,Fx,0.940492005611109,0.0006453498267471325
c2-0-96-56-8,development,time,3,7-8,8,2-7,Fx,0.9601276289624531,0.0006453498267471325
c2-0-96-56-8,development,time,4,7-8,8,2-7,Fx,0.9507388197447948,0.0006453498267471325
c2-0-96-56-8,development,time,5,7-8,8,2-7,Fx,0.931691530502464,0.0006453498267471325
