entity,entity_type,replicate,s1,s2,s3,retained,determinant,closure,balance,relation_dominance
Psi-plus,physically_prepared,186,1.0422821697249713,0.9533180110220365,0.7204647656439522,3,-0.7158727861728397,0.8945651003070049,0.6912377344362155,0.9909089840072463
Psi-minus,physically_prepared,186,0.9480780770076982,0.8928717980679114,0.764710960958381,3,-0.6473371405864197,0.8650545771020901,0.8065907012341682,0.9735077048104602
Phi-classical,equal_weight_reconstruction,186,0.9613739264268313,0.06971430873505698,0.008559009327194615,1,0.000573637803819446,0.08308945712787075,0.008902893132338375,0.9757386968776804
Psi-classical,equal_weight_reconstruction,186,0.932762046544337,0.08808870475737623,0.0070806055903091724,1,0.0005817836265432091,0.0834809081354941,0.00759100953618465,0.9825297595034125
Bell-uniform-mixed,equal_weight_reconstruction,186,0.15870420567461824,0.035333356548805074,0.005342945395556393,0,-2.9960845660927848e-05,0.031058801214849493,0.03366606053598047,0.8390235458376732
Phi-plus,physically_prepared,187,1.0523290889814312,0.9464967675254404,0.850923667576141,3,-0.847542165925926,0.9463543250916384,0.808609850745232,0.9947397671152081
Phi-minus,physically_prepared,187,1.1237429848860288,1.0099648855030279,0.8129786914306518,3,-0.9226828125000002,0.9735332976898948,0.7234560770255709,0.9681398966859069
Psi-plus,physically_prepared,187,1.0384080459421776,0.9623419864220599,0.705114766725783,3,-0.7046237682716051,0.8898546950728315,0.6790343829491536,0.9927465047961137
Psi-minus,physically_prepared,187,1.041471105275519,0.8805369593298975,0.7708418671543633,3,-0.7069034636805556,0.8908133219531661,0.7401471469056635,0.974973312800823
Phi-classical,equal_weight_reconstruction,187,0.9572781580393086,0.15220830110843306,0.07689750196525255,1,-0.011204402977430564,0.2237671033975542,0.08032931841122705,0.9675598048347881
Psi-classical,equal_weight_reconstruction,187,0.9108785450944181,0.11300035466230947,0.06347483948072885,1,-0.006533439752121913,0.1869450471195379,0.06968529429370772,0.9739220945467155
Bell-uniform-mixed,equal_weight_reconstruction,187,0.155171871129926,0.04963027947685928,0.01027020856148797,0,-7.909316978925526e-05,0.04292526585846463,0.06618601997064716,0.8180950252398452
Phi-plus,physically_prepared,188,1.0460780837600034,0.969576819856655,0.875411308541897,3,-0.8878885999999998,0.9611389116095524,0.8368508260830158,0.9938413088395325
Phi-minus,physically_prepared,188,1.0741435246064717,0.9653208879004679,0.7686276468024285,3,-0.7969847656249999,0.9271500085306896,0.7155725740505922,0.9337151616210786
Psi-plus,physically_prepared,188,1.0459128657099055,0.9913290278734418,0.7309351857982956,3,-0.7578656041975306,0.9117254243077345,0.69884902438998,0.9902986265195365
Psi-minus,physically_prepared,188,0.9841314959614728,0.8935295252904585,0.840776125381863,3,-0.7393369469444444,0.9042339383596643,0.8543331138492269,0.9790486506649438
Phi-classical,equal_weight_reconstruction,188,0.9087753863650557,0.11262910253473227,0.031624868698145535,1,-0.0032369493995949095,0.14792626896600172,0.03479943358131599,0.9414053010907281
Psi-classical,equal_weight_reconstruction,188,0.9453681088254349,0.1291479803223536,0.018389886028853643,1,-0.002245264988425933,0.13094508485192896,0.01945261941584005,0.9763103153033273
Bell-uniform-mixed,equal_weight_reconstruction,188,0.15461344802866114,0.06033670917011109,0.006181947189293087,0,5.767056095076201e-05,0.03863533882158987,0.039983243812964586,0.5786313280261518
Phi-plus,physically_prepared,189,1.0468810429011428,0.9064410631977222,0.8751418873179979,3,-0.830453611851852,0.9399508092003618,0.8359516042938202,0.9875691149936827
Phi-minus,physically_prepared,189,1.1625508622877225,0.9510751692281832,0.7067646572209559,3,-0.7814507812499998,0.9210867675765853,0.6079429985799942,0.9398840609755756
Psi-plus,physically_prepared,189,1.0176341347653517,0.9312299032255891,0.7728055926219244,3,-0.7323502529629632,0.9013765982686158,0.7594139840838963,0.9893458312416851
Psi-minus,physically_prepared,189,1.001110604105401,0.8887088954401832,0.7409793947466655,3,-0.6592463288888888,0.8703272336152941,0.740157372929647,0.9870052531518657
Phi-classical,equal_weight_reconstruction,189,0.9783376372523122,0.08211774082468008,0.01807511749174204,1,0.0014521346325231503,0.11324063457838252,0.018475336942475707,0.9784296712530652
Psi-classical,equal_weight_reconstruction,189,0.918861323618482,0.08501534063786363,0.024665835811784442,1,-0.0019268287037037027,0.12443647568611545,0.026843915591800313,0.9847048258511099
Bell-uniform-mixed,equal_weight_reconstruction,189,0.0932825623419933,0.07876500675390734,0.009311183352495282,0,6.841300395447535e-05,0.040899018584755524,0.099816976707378,0.607822497725124
Phi-plus,physically_prepared,190,1.0132718701493164,0.9883226940521703,0.8473979410228495,3,-0.8486178419753087,0.9467545176981231,0.8362986933585518,0.993663405308839
Phi-minus,physically_prepared,190,1.162583994588996,0.8519259332592924,0.7943511230185157,3,-0.786753515625,0.9231654960998078,0.6832634258820497,0.9792109041067644
Psi-plus,physically_prepared,190,0.9897949986881752,0.9619225500849405,0.6966149545312874,3,-0.6632513679012346,0.8720861409012678,0.7037972059411757,0.9964472736543385
Psi-minus,physically_prepared,190,0.9740394253203897,0.8612342693569865,0.7479080328212252,3,-0.6274021982561729,0.8560819599443072,0.7678416431400779,0.9695887124742486
Phi-classical,equal_weight_reconstruction,190,0.9576197958824016,0.1094806575862926,0.058031305900313086,1,0.006084051145351085,0.18255663365618377,0.06059952618966065,0.9916627805758785
Psi-classical,equal_weight_reconstruction,190,0.911393298563795,0.08834521690055748,0.011818004694351332,1,0.000951553104263112,0.09835829914796375,0.012966964660563723,0.9781615260209902
Bell-uniform-mixed,equal_weight_reconstruction,190,0.13754270366064109,0.06616236824001898,0.02622348355215286,0,-0.00023863766028886925,0.06202684064094794,0.19065703126538813,0.7222140930089023
Phi-plus,physically_prepared,191,0.986958014356495,0.9550474682417087,0.9044813569147186,3,-0.852556667654321,0.9482170316677838,0.9164334690614455,0.9880244843630955
Phi-minus,physically_prepared,191,1.1682742297923452,0.975310035375352,0.8753495923910815,3,-0.9973992187499999,0.9991323202662958,0.7492672268793179,0.9812962495000727
Psi-plus,physically_prepared,191,1.000341178921771,0.9382426741370767,0.7309886009709106,3,-0.686078695493827,0.8819784581638476,0.7307392881284911,0.9903867773613739
Psi-minus,physically_prepared,191,1.011725062841276,0.8387882812895298,0.7998872201666007,3,-0.6788027937037038,0.8788495614509909,0.7906171840007987,0.9660684038607408
Phi-classical,equal_weight_reconstruction,191,0.9624587697247783,0.1338468347752253,0.017613210531937026,1,0.0022689700626929,0.13140430348485777,0.0183002234339593,0.9811227526101528
Psi-classical,equal_weight_reconstruction,191,0.9373218047765467,0.08696021658024734,0.047766186281530655,1,-0.003893407855420524,0.15731735414995093,0.050960284971624976,0.9858296300693438
Bell-uniform-mixed,equal_weight_reconstruction,191,0.14356156713264628,0.020711391989266376,0.008919571220873211,0,2.6521095317322485e-05,0.029821568742195277,0.06213063425695133,0.7280424744748473
Phi-plus,physically_prepared,192,1.026670687951233,0.9672958458735106,0.905947960648552,3,-0.8996917481481481,0.9653791446519243,0.8824133885193619,0.978786718689448
Phi-minus,physically_prepared,192,1.039882914400864,0.9963205226825493,0.8750780517580917,3,-0.90663046875,0.9678545662760203,0.8415159434197208,0.9871812594358287
Psi-plus,physically_prepared,192,1.0212859441630109,0.9210290220163458,0.7796727089496607,3,-0.7333866545061727,0.9018015988112229,0.7634225394031414,0.9903138662848834
Psi-minus,physically_prepared,192,1.002949069952616,0.8721024723196207,0.8049838902221735,3,-0.7040987718209877,0.8896336377980006,0.8026169167894086,0.9809256338731918
Phi-classical,equal_weight_reconstruction,192,0.9426882886085,0.06853088994428604,0.006509986846089927,1,-0.0004205664207175929,0.07492237424532412,0.006905768242543147,0.9836355878423151
Psi-classical,equal_weight_reconstruction,192,0.9418369113375217,0.09600149859090445,0.06576820275321202,1,-0.005946613237847213,0.18117150738759147,0.06982971463691444,0.984478950845196
Bell-uniform-mixed,equal_weight_reconstruction,192,0.12265411629999089,0.06313258323959393,0.001667325318632339,0,-1.2910885597511655e-05,0.023459496003327196,0.013593716777954257,0.700340634214155
Phi-plus,physically_prepared,193,1.0738200160480222,0.9097580207909548,0.843663638916623,3,-0.824188821728395,0.9375812349792062,0.7856657785366645,0.9734626928849214
Phi-minus,physically_prepared,193,1.08627486842496,0.9742896929872071,0.8087350875702308,3,-0.855921875,0.9494629929017482,0.744503174176213,0.947248156477283
Psi-plus,physically_prepared,193,0.9913235692727878,0.9461215108218123,0.7580188854688736,3,-0.7109554281481479,0.8925121249564463,0.7646533472667647,0.9945120175850938
Psi-minus,physically_prepared,193,0.9353975145908929,0.8567160285352589,0.7711771386275532,3,-0.6179982573611111,0.8517832262772547,0.8244378743777575,0.9826731125152474
Phi-classical,equal_weight_reconstruction,193,0.9512803029903414,0.11247730680869183,0.05283509975202448,1,-0.005653220759066363,0.1781415861982506,0.055541042514953586,0.9478468609858149
Psi-classical,equal_weight_reconstruction,193,0.9034298992794543,0.12135450309943255,0.02057208346161461,1,-0.0022554262644675937,0.13114232466745163,0.022771089907498324,0.9848268391509946
Bell-uniform-mixed,equal_weight_reconstruction,193,0.13175274633832776,0.06579732310075036,0.0056352476848597535,0,4.8851838318624646e-05,0.03655613762676724,0.04277138687028964,0.543868627922401
Phi-plus,physically_prepared,194,1.0483322743743595,0.9400798644666591,0.8706830813868964,3,-0.8580721619753087,0.950257423120318,0.8305411391693693,0.9967995807302769
Phi-minus,physically_prepared,194,1.0645428454695063,0.9349168400951391,0.8743475966491859,3,-0.8702023437500002,0.9547142749662122,0.8213362199278728,0.9753677653119854
Psi-plus,physically_prepared,194,1.0437441716471925,0.9476342196334356,0.7559038351251676,3,-0.7476551808641977,0.9076124592505943,0.7242232873331713,0.9942493075578182
Psi-minus,physically_prepared,194,0.9660132196150625,0.9272526299026037,0.7428132539097576,3,-0.6653662800925925,0.8730120988744312,0.7689472968141723,0.9831786578917925
Phi-classical,equal_weight_reconstruction,194,0.9415467834149882,0.11655536919335013,0.006172230617212437,1,-0.0006773549874614253,0.08782242892337598,0.006555415754091124,0.9828571477715297
Psi-classical,equal_weight_reconstruction,194,0.9331821804146634,0.09850253110157818,0.03128661210328563,1,0.002875890625000002,0.1422080304855223,0.03352679976098911,0.9872865131994667
Bell-uniform-mixed,equal_weight_reconstruction,194,0.11800811617662323,0.06789777545141149,0.033799373550063544,0,-0.0002708170943648723,0.06469817416872031,0.2864156690669978,0.7315978679909823
Phi-plus,physically_prepared,195,1.0019873615135928,0.9309570736363023,0.879934391897027,3,-0.8208091555555557,0.9362979316885323,0.8781891126528845,0.9882347561451278
Phi-minus,physically_prepared,195,1.0471140298107418,0.9437678119101668,0.8417015843075296,3,-0.8317968750000001,0.9404573280158491,0.8038299176066441,0.9705218614994414
Psi-plus,physically_prepared,195,0.9980039205563903,0.9199548488746642,0.765281260951714,3,-0.7026189185185185,0.8890099323588826,0.7668118783792626,0.9942624331465285
Psi-minus,physically_prepared,195,1.0221203851160576,0.8970156774022766,0.7778689037742772,3,-0.7131953348765431,0.8934484462449009,0.7610345269514934,0.9784814066896105
Phi-classical,equal_weight_reconstruction,195,0.9824316610618181,0.06786061011835107,0.046098245460721665,1,-0.00307329681712963,0.14539010004463687,0.046922597558489106,0.9632396158066902
Psi-classical,equal_weight_reconstruction,195,0.9206732311735698,0.09659118946937485,0.05379916110836073,1,-0.004784301429398146,0.16850243377921692,0.05843458817607161,0.971643345018476
