dataset,basis,rounds,block,connection_raw_web_stability,bit_raw_retention,connection_ara,bit_ara,parent_ara,parent_ridge_distance
X_r30,X,r30,24,1.9922186998184723,1.856,1.955,0.335,0.2925764192139738,0.7074235807860262
X_r30,X,r30,25,1.9876166320358988,1.888,1.455,1.315,0.9494584837545126,0.05054151624548742
X_r30,X,r30,26,1.9758746362902864,1.8719999999999999,0.575,0.8,1.1636363636363638,0.1636363636363638
X_r30,X,r30,27,1.9852705750735675,1.904,1.255,1.78,1.172981878088962,0.17298187808896204
X_r30,X,r30,28,1.9891160528966148,1.888,1.615,1.315,0.8976109215017065,0.10238907849829348
X_r30,X,r30,29,1.9790434368807766,1.84,0.775,0.095,0.21839080459770116,0.7816091954022988
X_r30,X,r30,30,1.9606149660328924,1.888,0.095,1.315,1.8652482269503547,0.8652482269503547
X_r30,X,r30,31,1.983229001983733,1.888,1.045,1.315,1.1144067796610169,0.11440677966101687
X_r30,X,r30,32,1.9811337321230569,1.896,0.905,1.565,1.2672064777327936,0.2672064777327936
X_r30,X,r30,33,1.979677421647448,1.88,0.815,1.04,1.1212938005390836,0.12129380053908356
X_r30,X,r30,34,1.9897573668509136,1.896,1.725,1.565,0.9513677811550152,0.04863221884498481
X_r30,X,r30,35,1.9855073947548116,1.896,1.285,1.565,1.0982456140350878,0.0982456140350878
X_r30,X,r30,36,1.9685468596449949,1.88,0.195,1.04,1.6842105263157894,0.6842105263157894
X_r30,X,r30,37,1.9853311301695282,1.8639999999999999,1.275,0.575,0.6216216216216216,0.3783783783783784
X_r30,X,r30,38,1.974698803956659,1.888,0.505,1.315,1.445054945054945,0.44505494505494503
X_r30,X,r30,39,1.987485045035655,1.84,1.445,0.095,0.12337662337662338,0.8766233766233766
X_r30,X,r30,40,1.9820787268105278,1.888,0.965,1.315,1.1535087719298247,0.1535087719298247
X_r30,X,r30,41,1.9833379794001034,1.92,1.065,1.96,1.2958677685950413,0.29586776859504127
X_r30,X,r30,42,1.9789459378801575,1.888,0.755,1.315,1.2705314009661837,0.27053140096618367
X_r30,X,r30,43,1.9548042456022385,1.856,0.035,0.335,1.810810810810811,0.810810810810811
X_r30,X,r30,44,1.9764293190588786,1.856,0.625,0.335,0.6979166666666667,0.30208333333333326
X_r30,X,r30,45,1.972616547396191,1.888,0.405,1.315,1.5290697674418605,0.5290697674418605
X_r30,X,r30,46,1.9871603114153178,1.856,1.405,0.335,0.38505747126436785,0.6149425287356322
X_r30,X,r30,47,1.9690928215881924,1.888,0.235,1.315,1.6967741935483873,0.6967741935483873
X_r30,X,r30,48,1.9814759063070146,1.888,0.925,1.315,1.1741071428571428,0.1741071428571428
X_r30,X,r30,49,1.9897226382400712,1.88,1.715,1.04,0.7549909255898367,0.24500907441016329
X_r30,X,r30,50,1.9847356163958854,1.888,1.215,1.315,1.0395256916996045,0.039525691699604515
X_r30,X,r30,51,1.9722144065706848,1.8639999999999999,0.375,0.575,1.2105263157894737,0.21052631578947367
X_r30,X,r30,52,1.9444981079032457,1.8639999999999999,0.005,0.575,1.9827586206896552,0.9827586206896552
X_r30,X,r30,53,1.9952043777876192,1.848,1.995,0.175,0.16129032258064516,0.8387096774193549
X_r30,X,r30,54,1.9818044251340645,1.904,0.935,1.78,1.3112338858195212,0.31123388581952116
X_r30,X,r30,55,1.9716381179576397,1.92,0.345,1.96,1.7006507592190891,0.7006507592190891
X_r30,X,r30,56,1.9717180232391172,1.888,0.355,1.315,1.5748502994011977,0.5748502994011977
X_r30,X,r30,57,1.9727383937764982,1.848,0.425,0.175,0.5833333333333334,0.41666666666666663
X_r30,X,r30,58,1.9713518107661416,1.8639999999999999,0.335,0.575,1.2637362637362637,0.2637362637362637
X_r30,X,r30,59,1.9889879508170236,1.88,1.585,1.04,0.7923809523809524,0.2076190476190476
X_r30,X,r30,60,1.9898154393514749,1.832,1.735,0.045,0.05056179775280899,0.949438202247191
X_r30,X,r30,61,1.9873164475490506,1.8719999999999999,1.425,0.8,0.7191011235955056,0.2808988764044944
X_r30,X,r30,62,1.9776341384217369,1.888,0.655,1.315,1.3350253807106598,0.3350253807106598
X_r30,X,r30,63,1.9780557876907119,1.88,0.695,1.04,1.1988472622478388,0.19884726224783877
X_r30,X,r30,64,1.9824245979671478,1.88,0.985,1.04,1.0271604938271606,0.02716049382716057
X_r30,X,r30,65,1.9928114691413017,1.8719999999999999,1.965,0.8,0.5786618444846293,0.4213381555153707
X_r30,X,r30,66,1.9729809288051654,1.88,0.435,1.04,1.4101694915254237,0.4101694915254237
