layer,entity,axis_a,axis_b,slot,joint_value,independent_child_product,connected_relation,ara9_coordinate
raw_linear,Psi-classical,X,Y,XY,0.035,0.0005625000000000016,0.0344375,0.9655625
raw_linear,Psi-classical,X,Z,XZ,0.24666666666666667,0.002700000000000002,0.24396666666666667,0.7560333333333333
raw_linear,Psi-classical,Y,X,YX,-0.0975,-0.00010555555555555622,-0.09739444444444445,1.0973944444444443
raw_linear,Psi-classical,Y,Y,YY,-0.04250000000000004,-2.0833333333333533e-05,-0.04247916666666671,1.0424791666666666
raw_linear,Psi-classical,Y,Z,YZ,0.030000000000000013,-0.00010000000000000075,0.030100000000000012,0.9699
raw_linear,Psi-classical,Z,X,ZX,-0.07666666666666669,-0.0022166666666666693,-0.07445000000000002,1.0744500000000001
raw_linear,Psi-classical,Z,Y,ZY,-0.04583333333333331,-0.0004375000000000019,-0.04539583333333331,1.0453958333333333
raw_linear,Psi-classical,Z,Z,ZZ,-0.8883333333333334,-0.002100000000000005,-0.8862333333333334,1.8862333333333334
raw_linear,Bell-uniform-mixed,X,X,XX,-0.01916666666666672,0.0001357638888888887,-0.01930243055555561,1.0193024305555556
raw_linear,Bell-uniform-mixed,X,Y,XY,0.029166666666666667,4.791666666666737e-05,0.02911875,0.97088125
raw_linear,Bell-uniform-mixed,X,Z,XZ,0.11374999999999999,0.0009743055555555557,0.11277569444444444,0.8872243055555555
raw_linear,Bell-uniform-mixed,Y,X,YX,-0.019166666666666665,-3.5416666666666696e-05,-0.01913125,1.01913125
raw_linear,Bell-uniform-mixed,Y,Y,YY,-0.01874999999999999,-1.2500000000000212e-05,-0.01873749999999999,1.0187375
raw_linear,Bell-uniform-mixed,Y,Z,YZ,-0.01916666666666665,-0.0002541666666666673,-0.018912499999999985,1.0189124999999999
raw_linear,Bell-uniform-mixed,Z,X,ZX,-0.017916666666666685,-3.541666666666689e-05,-0.01788125000000002,1.01788125
raw_linear,Bell-uniform-mixed,Z,Y,ZY,-0.03374999999999998,-1.2500000000000282e-05,-0.03373749999999998,1.0337375
raw_linear,Bell-uniform-mixed,Z,Z,ZZ,0.029999999999999943,-0.0002541666666666687,0.030254166666666613,0.9697458333333334
physical,Phi-plus,X,X,XX,0.8653878480663882,-0.00027717845444685644,0.8656650265208351,0.1343349734791649
physical,Phi-plus,X,Y,XY,0.25693559963626666,-0.0008668822867944011,0.25780248192306104,0.7421975180769389
physical,Phi-plus,X,Z,XZ,-0.1118376821099222,-0.0003274594358142019,-0.111510222674108,1.111510222674108
physical,Phi-plus,Y,X,YX,0.28186999641271293,-0.0012460994542256231,0.28311609586693853,0.7168839041330615
physical,Phi-plus,Y,Y,YY,-0.9256928827887573,-0.0038972060314286607,-0.9217956767573287,1.9217956767573288
physical,Phi-plus,Y,Z,YZ,0.01119996263244498,-0.0014721455354941466,0.012672108167939126,0.9873278918320608
physical,Phi-plus,Z,X,ZX,0.10695130783248351,0.0001665013217583496,0.10678480651072515,0.8932151934892748
physical,Phi-plus,Z,Y,ZY,0.009313085339853686,0.000520736890781106,0.00879234844907258,0.9912076515509274
physical,Phi-plus,Z,Z,ZZ,0.9292266149095029,0.00019670514793119196,0.9290299097615716,0.07097009023842837
physical,Phi-minus,X,X,XX,-0.8918325811122746,-0.0038771691108162253,-0.8879554120014583,1.8879554120014583
physical,Phi-minus,X,Y,XY,-0.1866845983623065,-0.0015449930663265334,-0.18513960529597998,1.18513960529598
physical,Phi-minus,X,Z,XZ,0.04366325301417858,0.0011086656234254458,0.042554587390753136,0.9574454126092469
physical,Phi-minus,Y,X,YX,-0.17259324517735825,-0.001136731889272042,-0.1714565132880862,1.1714565132880863
physical,Phi-minus,Y,Y,YY,0.914757310581093,-0.0004529704114009718,0.915210280992494,0.08478971900750598
physical,Phi-minus,Y,Z,YZ,-0.08772500403195344,0.0003250452927553792,-0.08805004932470882,1.0880500493247087
physical,Phi-minus,Z,X,ZX,-0.007796157821967589,-0.006019442646051818,-0.0017767151759157714,1.0017767151759158
physical,Phi-minus,Z,Y,ZY,0.012648602826052305,-0.002398656567585843,0.015047259393638147,0.9849527406063618
physical,Phi-minus,Z,Z,ZZ,0.9399387419370506,0.0017212427271334142,0.9382174992099173,0.06178250079008274
physical,Psi-plus,X,X,XX,0.818835093323666,-0.0003945215289578521,0.8192296148526238,0.1807703851473762
physical,Psi-plus,X,Y,XY,0.1786663204965424,-0.0033436524400122705,0.1820099729365547,0.8179900270634453
physical,Psi-plus,X,Z,XZ,0.2461283756080349,0.002998965987651519,0.2431294096203834,0.7568705903796166
physical,Psi-plus,Y,X,YX,-0.23452948992770672,-0.00028860417444680463,-0.2342408857532599,1.2342408857532599
physical,Psi-plus,Y,Y,YY,0.8153996194862968,-0.0024459807165298658,0.8178456002028267,0.1821543997971733
physical,Psi-plus,Y,Z,YZ,0.014289200175681027,0.002193832375501815,0.012095367800179212,0.9879046321998208
physical,Psi-plus,Z,X,ZX,0.19937554062201365,-1.276166425008685e-05,0.19938830228626375,0.8006116977137363
physical,Psi-plus,Z,Y,ZY,0.004326145850003127,-0.000108157772583759,0.004434303622586886,0.9955656963774131
