condition,wait_index,wait_us,mode,real,imag,radius,theta_deg
Hahn,5,31.62,common,0.05931045277999336,-0.0063834584817215045,0.0596529827515413,-6.142976699594936
Hahn,5,31.62,family,-0.013229912326322424,-0.039727491513540936,0.04187247499397003,-108.41861216831504
Hahn,5,31.62,sign,0.12921117920005443,-0.016576045796303784,0.1302700814635108,-7.310344546457773
Hahn,5,31.62,interaction,-0.09792897454250515,0.0543508577039481,0.11200044548170975,150.96960149132696
Hahn,6,63.09,common,0.2167815299178783,-0.05286568630796595,0.22313451660903613,-13.705000822618947
Hahn,6,63.09,family,0.08287819346266151,-0.0705696407641796,0.10885251099179893,-40.41393713029748
Hahn,6,63.09,sign,-0.011596674631641435,0.03020359787322313,0.03235336438455087,111.00429808223676
Hahn,6,63.09,interaction,0.14830236280521364,-0.007093718157670237,0.1484719220960976,-2.738530616700103
Hahn,7,125.89,common,0.425577030430208,-0.01781224288076666,0.42594962709954054,-2.3966778179095596
Hahn,7,125.89,family,0.09190928207542526,-0.02780594407797954,0.0960233651654003,-16.832499961685972
Hahn,7,125.89,sign,-0.017127682711650105,0.034195429271382416,0.03824506370925632,116.60520724069296
Hahn,7,125.89,interaction,-0.14928502494539486,0.028091041038399434,0.15190498760596444,169.34323593233913
Hahn,8,251.19,common,0.6113036469842648,0.009348964608904609,0.6113751319407105,0.876183974576827
Hahn,8,251.19,family,0.012325802068994307,-0.007386522754466773,0.014369624735750052,-30.933126853689544
Hahn,8,251.19,sign,0.01658281313010662,0.0011142704239628931,0.01662020727565559,3.8441708430831483
Hahn,8,251.19,interaction,-0.011061052819943906,0.0003851391191541098,0.011067755943581873,178.00580152546996
Hahn,9,501.18,common,0.08433642918224238,0.019020411486497746,0.08645466638838577,12.709294471538943
Hahn,9,501.18,family,-0.109745579892785,0.006759115883310851,0.10995352633511887,176.47566432741337
Hahn,9,501.18,sign,-0.002062171694326209,0.005507743675936261,0.0058811387074865105,110.52656125490051
Hahn,9,501.18,interaction,0.08961343162898738,0.005364847811414941,0.08977387548926936,3.4260121335459033
Hahn,10,1000.0,common,0.02218493890658957,-0.014327781278868579,0.02640940799533773,-32.85573695863855
Hahn,10,1000.0,family,0.02218493890658957,-0.012191134641978962,0.025313934465980806,-28.789807635419628
Hahn,10,1000.0,sign,-0.0838566527972957,0.0008756280475341605,0.08386122431042746,179.40174134575375
Hahn,10,1000.0,interaction,-0.0838566527972957,0.00224905141336762,0.08388680736937229,178.4636845695178
