split,candidate,lag,predicted_step,loss
holdout,two_over_e,5,1.6787944117144233,0.43749851324509625
holdout,two_over_e,8,1.8860710587430773,0.3900337397857137
holdout,two_over_e,13,1.5648654704575016,0.474924732819195
holdout,two_over_e,21,1.450936529200579,0.5165627642898916
holdout,one_over_e,1,0.36787944117144233,0.4449934869495691
holdout,one_over_e,2,0.7357588823428847,0.5735919440828964
holdout,one_over_e,3,1.103638323514327,0.6149878146861089
holdout,one_over_e,5,1.8393972058572117,0.4009660657840485
holdout,one_over_e,8,0.9430355293715387,0.6170252944131973
holdout,one_over_e,13,0.7824327352287508,0.5902937194122989
holdout,one_over_e,21,1.7254682646002895,0.4263968223695528
holdout,sqrt_2,1,1.4142135623730951,0.5401354661767785
holdout,sqrt_2,2,0.8284271247461903,0.5926690191154185
holdout,sqrt_2,3,0.24264068711928566,0.41105440642994984
holdout,sqrt_2,5,1.0710678118654755,0.6045935611930507
holdout,sqrt_2,8,1.3137084989847612,0.5543040649086034
holdout,sqrt_2,13,0.38477631085023845,0.4608944279588112
holdout,sqrt_2,21,1.6984848098349978,0.4370781115576403
holdout,persistence,1,0.0,0.398357988449198
holdout,persistence,2,0.0,0.39210249856773377
holdout,persistence,3,0.0,0.387746841226989
holdout,persistence,5,0.0,0.3905324414599527
holdout,persistence,8,0.0,0.3800582266724935
holdout,persistence,13,0.0,0.3819357420143905
holdout,persistence,21,0.0,0.3916297505539972
holdout,calibration_fitted,1,0.0002561938594707028,0.3982390530765739
holdout,calibration_fitted,2,0.0005123877189414056,0.39206071478570204
holdout,calibration_fitted,3,0.0007685815784121085,0.3876196470367552
holdout,calibration_fitted,5,0.001280969297353514,0.3908149288128878
holdout,calibration_fitted,8,0.0020495508757656226,0.3804626314561794
holdout,calibration_fitted,13,0.0033305201731191367,0.3820323179664058
holdout,calibration_fitted,21,0.005380071048884759,0.3925858339808761
