branch,split,child,record_index,residual_axis_1,predicted_survivor
AB,development,C10,0,0.1301309389988404,C10
AB,development,C10,1,0.1458446437268435,C10
AB,development,C10,2,0.1857499318118808,C10
AB,development,C10,3,0.16964319427400548,C10
AB,development,C10,4,0.177447324103015,C10
AB,development,C10,5,0.14148823536928573,C10
AB,development,C10,6,0.2406894624758607,C10
AB,development,C10,7,0.19275829749637566,C10
AB,development,C10,8,0.22495002345745135,C10
AB,development,C10,9,0.20844331086744403,C10
AB,development,C10,10,0.2323492677905598,C10
AB,development,C10,11,0.1473195907917651,C10
AB,development,C10,12,0.2556466660234079,C10
AB,development,C10,13,0.20904954182874189,C10
AB,development,C10,14,0.1012281397266474,C10
AB,development,C10,15,0.2575766054515101,C10
AB,development,C10,16,0.10662798453405882,C10
AB,development,C10,17,0.26287752926750635,C10
AB,development,C10,18,0.2279754664419693,C10
AB,development,C10,19,0.22610103953288474,C10
AB,development,C10,20,0.1420823416815952,C10
AB,development,C10,21,0.15751811771435964,C10
AB,development,C10,22,0.16763107900649155,C10
AB,development,C10,23,0.21428314001185733,C10
AB,development,C10,24,0.1360853713718415,C10
AB,development,C10,25,0.2544183202361182,C10
AB,development,C10,26,0.19588699662789763,C10
AB,development,C10,27,0.24412689392908388,C10
AB,development,C10,28,0.07455143061540478,C10
AB,development,C10,29,0.20414845078093818,C10
AB,development,C10,30,0.21380636337679826,C10
AB,development,C10,31,0.2163388494284987,C10
AB,development,C10,32,0.1297732160245948,C10
AB,development,C10,33,0.14480156670492506,C10
AB,development,C10,34,0.19389950239182407,C10
AB,development,C10,35,0.25869285040211926,C10
AB,development,C10,36,0.19081503263103516,C10
AB,development,C10,37,0.26611192982187065,C10
AB,development,C10,38,0.20566192791328486,C10
AB,development,C10,39,0.16153720091195609,C10
AB,development,C11,0,-0.06857013388939645,C10
AB,development,C11,1,-0.15395061239421073,C10
AB,development,C11,2,-0.01602911684154138,C10
AB,development,C11,3,-0.011118455217294987,C10
AB,development,C11,4,-0.002460250681562151,C10
AB,development,C11,5,-0.1014066615946189,C10
AB,development,C11,6,-0.09899953132712047,C10
AB,development,C11,7,-0.015715544503728113,C10
AB,development,C11,8,-0.0698450099913073,C10
AB,development,C11,9,-0.10886957248341375,C10
AB,development,C11,10,-0.06076697668253042,C10
AB,development,C11,11,-0.029039483904421834,C10
AB,development,C11,12,-0.11312059903184352,C10
AB,development,C11,13,-0.06380031895128746,C10
AB,development,C11,14,-0.07298997036822634,C10
AB,development,C11,15,-0.11167847682702435,C10
AB,development,C11,16,-0.11335608112281981,C10
AB,development,C11,17,-0.10578635536031537,C10
AB,development,C11,18,-0.017754301300326084,C10
AB,development,C11,19,-0.028550299248970498,C10
AB,development,C11,20,-0.004935091079459606,C10
AB,development,C11,21,-0.028600272456632686,C10
AB,development,C11,22,-0.10372970288967222,C10
AB,development,C11,23,0.00508190742927106,C10
AB,development,C11,24,-0.0693259411773956,C10
AB,development,C11,25,-0.1104910278359813,C10
AB,development,C11,26,-0.08937428235646182,C10
AB,development,C11,27,-0.09954987511646424,C10
AB,development,C11,28,0.027717736533743167,C10
AB,development,C11,29,0.005645611892610425,C10
AB,development,C11,30,-0.08658901836430286,C10
AB,development,C11,31,-0.18174101982419444,C10
AB,development,C11,32,-0.0067660338190683655,C10
AB,development,C11,33,-0.08880682099560022,C10
AB,development,C11,34,-0.14144300403773308,C10
AB,development,C11,35,-0.04999348599169417,C10
AB,development,C11,36,-0.07659359374451033,C10
AB,development,C11,37,0.021768649175447095,C10
AB,development,C11,38,-0.10742655123393122,C10
AB,development,C11,39,0.010270309096473328,C10
AB,holdout,C00,0,-0.10586141856752986,C10
AB,holdout,C00,1,-0.09325566313696515,C10
AB,holdout,C00,2,-0.041563090196416845,C10
AB,holdout,C00,3,-0.0590443923632141,C10
AB,holdout,C00,4,-0.15388088049368842,C10
AB,holdout,C00,5,-0.07939642346646579,C10
AB,holdout,C00,6,0.021527093186918627,C10
AB,holdout,C00,7,-0.07530480006158186,C10
AB,holdout,C00,8,0.00035710661580924674,C10
AB,holdout,C00,9,-0.05536639159952271,C10
AB,holdout,C00,10,-0.05215865536991849,C10
AB,holdout,C00,11,-0.11175067289287129,C10
AB,holdout,C00,12,-0.018342349621615055,C10
AB,holdout,C00,13,-0.06242994256462601,C10
AB,holdout,C00,14,-0.1319801840464657,C10
AB,holdout,C00,15,-0.04798700128307637,C10
AB,holdout,C00,16,-0.04864890356022088,C10
AB,holdout,C00,17,-0.08006770702945852,C10
AB,holdout,C00,18,-0.0675915970481145,C10
AB,holdout,C00,19,-0.1751374403202267,C10
AB,holdout,C00,20,-0.17360403441171546,C10
AB,holdout,C00,21,0.005138663258465341,C10
AB,holdout,C00,22,-0.06573349602446191,C10
AB,holdout,C00,23,0.06431736491334625,C10
AB,holdout,C00,24,-0.1304403740470167,C10
AB,holdout,C00,25,-0.025101472195326605,C10
AB,holdout,C00,26,-0.06114864063946964,C10
AB,holdout,C00,27,0.036058024036932146,C10
AB,holdout,C00,28,0.05841657445749053,C10
AB,holdout,C00,29,0.017027114021437813,C10
AB,holdout,C00,30,0.057388893127228176,C10
AB,holdout,C00,31,0.08876156354347967,C10
AB,holdout,C00,32,-0.013073684729406624,C10
AB,holdout,C00,33,-0.06954035559386929,C10
AB,holdout,C00,34,-0.08096268426398322,C10
AB,holdout,C00,35,-0.01181978198578629,C10
AB,holdout,C00,36,-0.058358330994988744,C10
AB,holdout,C00,37,-0.1012074426867613,C10
AB,holdout,C00,38,0.08511854220926793,C10
AB,holdout,C00,39,-0.08862937156720163,C10
AB,holdout,C01,0,-0.11958799206301124,C10
AB,holdout,C01,1,0.005779298684909832,C10
AB,holdout,C01,2,-0.11421229615285483,C10
AB,holdout,C01,3,0.023060589545062272,C10
AB,holdout,C01,4,-0.18236461512647295,C10
AB,holdout,C01,5,-0.01939857159383495,C10
AB,holdout,C01,6,-0.034283691688710684,C10
AB,holdout,C01,7,0.04550756589750854,C10
AB,holdout,C01,8,-0.059080127752806355,C10
AB,holdout,C01,9,-0.04393963478335318,C10
AB,holdout,C01,10,-0.15481374119193742,C10
AB,holdout,C01,11,-0.14682111584701302,C10
AB,holdout,C01,12,-0.10389246275422657,C10
AB,holdout,C01,13,-0.10354613058844107,C10
AB,holdout,C01,14,-0.06843321624029769,C10
AB,holdout,C01,15,-0.01893880417343514,C10
AB,holdout,C01,16,-0.07781634424340825,C10
AB,holdout,C01,17,-0.15076427227896994,C10
AB,holdout,C01,18,-0.03441640169862691,C10
AB,holdout,C01,19,0.006888666543581733,C10
AB,holdout,C01,20,-0.1501168486267823,C10
AB,holdout,C01,21,-0.09038736998830721,C10
AB,holdout,C01,22,0.009610446785397075,C10
AB,holdout,C01,23,-0.07342137108973491,C10
AB,holdout,C01,24,-0.04548712743411732,C10
AB,holdout,C01,25,0.005561528413856653,C10
AB,holdout,C01,26,-0.13097690834029918,C10
AB,holdout,C01,27,-0.05923729836597348,C10
AB,holdout,C01,28,0.12007733553732819,C10
AB,holdout,C01,29,-0.013155978772690917,C10
AB,holdout,C01,30,-0.08335871779953115,C10
AB,holdout,C01,31,0.025554793417064008,C10
AB,holdout,C01,32,-0.20263117115109408,C10
AB,holdout,C01,33,0.07742983579875921,C10
AB,holdout,C01,34,-0.032019089003323314,C10
AB,holdout,C01,35,-0.017589223499470473,C10
AB,holdout,C01,36,-0.0023149075760712373,C10
AB,holdout,C01,37,-0.06461813686723099,C10
AB,holdout,C01,38,-0.044870955293055174,C10
AB,holdout,C01,39,-0.19599914423748865,C10
AB,holdout,C10,0,0.18763730336238205,C10
AB,holdout,C10,1,0.17456084730910446,C10
AB,holdout,C10,2,0.1546211251208249,C10
AB,holdout,C10,3,0.2183726473385466,C10
