run,condition_hz,fold_index,arm,selected_axis,training_cv_i_ba,training_cv_q_ba,balanced_accuracy,mcc,kappa,tn,fp,fn,tp,ara_raw_disagreements,pole_reversal_disagreements,complement_max_residual,ara_out_of_range_fraction,score_margin_median
replication_prep_first,0,0,pair_destroyed,I,0.8594200000000001,0.541646,0.86348,0.7368289123036411,0.72696,39096,10904,2748,47252,,,,,
replication_prep_first,10,1,i_only,I,0.846044,0.4831519999999999,0.94077,0.885788130403551,0.88154,49484,516,5407,44593,,,,,
replication_prep_first,10,1,q_only,I,0.846044,0.4831519999999999,0.5943799999999999,0.19014506328639602,0.18876000000000004,26707,23293,17269,32731,,,,,
replication_prep_first,10,1,selected_onecut,I,0.846044,0.4831519999999999,0.94077,0.885788130403551,0.88154,49484,516,5407,44593,,,,,
replication_prep_first,10,1,ara_twocut,I,0.846044,0.4831519999999999,0.94116,0.8864969261454031,0.88232,49482,518,5366,44634,0,0,4.440892098500626e-16,0.473165,2.3129448794217247
replication_prep_first,10,1,raw_iq_lda,I,0.846044,0.4831519999999999,0.94116,0.8864969261454031,0.88232,49482,518,5366,44634,,,,,2.3129448794217513
replication_prep_first,10,1,raw_iq_qda,I,0.846044,0.4831519999999999,0.94049,0.8852780549473103,0.8809800000000001,49485,515,5436,44564,,,,,
replication_prep_first,10,1,label_shuffle,I,0.846044,0.4831519999999999,0.9373100000000001,0.8791567835784951,0.87462,49402,598,5671,44329,,,,,
replication_prep_first,10,1,pair_destroyed,I,0.846044,0.4831519999999999,0.94129,0.886759893097625,0.8825799999999999,49489,511,5360,44640,,,,,
replication_prep_first,50,2,i_only,I,0.847476,0.47995200000000005,0.92961,0.8630070791730717,0.8592200000000001,48820,1180,5859,44141,,,,,
replication_prep_first,50,2,q_only,I,0.847476,0.47995200000000005,0.57934,0.1608094543219991,0.15867999999999993,24912,25088,16978,33022,,,,,
replication_prep_first,50,2,selected_onecut,I,0.847476,0.47995200000000005,0.92961,0.8630070791730717,0.8592200000000001,48820,1180,5859,44141,,,,,
replication_prep_first,50,2,ara_twocut,I,0.847476,0.47995200000000005,0.9298299999999999,0.8633808609523991,0.8596600000000001,48810,1190,5827,44173,0,0,4.440892098500626e-16,0.48948,2.3325630994684925
replication_prep_first,50,2,raw_iq_lda,I,0.847476,0.47995200000000005,0.9298299999999999,0.8633808609523991,0.8596600000000001,48810,1190,5827,44173,,,,,2.3325630994684694
replication_prep_first,50,2,raw_iq_qda,I,0.847476,0.47995200000000005,0.9294100000000001,0.8626183572974622,0.8588199999999999,48814,1186,5873,44127,,,,,
replication_prep_first,50,2,label_shuffle,I,0.847476,0.47995200000000005,0.39235000000000003,-0.22233600452711333,-0.21530000000000005,13378,36622,24143,25857,,,,,
replication_prep_first,50,2,pair_destroyed,I,0.847476,0.47995200000000005,0.92995,0.8636218997428843,0.8599000000000001,48816,1184,5821,44179,,,,,
replication_prep_first,250,3,i_only,I,0.8525,0.534384,0.88047,0.7625936747511745,0.76094,45669,4331,7622,42378,,,,,
replication_prep_first,250,3,q_only,I,0.8525,0.534384,0.49288,-0.014560947108773294,-0.01424000000000003,19424,30576,20136,29864,,,,,
replication_prep_first,250,3,selected_onecut,I,0.8525,0.534384,0.88047,0.7625936747511745,0.76094,45669,4331,7622,42378,,,,,
replication_prep_first,250,3,ara_twocut,I,0.8525,0.534384,0.87942,0.7603178909693822,0.75884,45529,4471,7587,42413,0,0,4.440892098500626e-16,0.493365,2.4073706028528195
replication_prep_first,250,3,raw_iq_lda,I,0.8525,0.534384,0.87942,0.7603178909693822,0.75884,45529,4471,7587,42413,,,,,2.4073706028527306
replication_prep_first,250,3,raw_iq_qda,I,0.8525,0.534384,0.8791599999999999,0.759776037458305,0.7583200000000001,45505,4495,7589,42411,,,,,
replication_prep_first,250,3,label_shuffle,I,0.8525,0.534384,0.8693500000000001,0.7392067078201146,0.7386999999999999,44393,5607,7458,42542,,,,,
replication_prep_first,250,3,pair_destroyed,I,0.8525,0.534384,0.8795,0.7604668061552857,0.7589999999999999,45527,4473,7577,42423,,,,,
replication_prep_first,500,4,i_only,I,0.8660460000000001,0.535176,0.81524,0.6322626490619405,0.6304799999999999,42638,7362,11114,38886,,,,,
replication_prep_first,500,4,q_only,I,0.8660460000000001,0.535176,0.48942,-0.0214725531449922,-0.021159999999999957,20221,29779,21279,28721,,,,,
replication_prep_first,500,4,selected_onecut,I,0.8660460000000001,0.535176,0.81524,0.6322626490619405,0.6304799999999999,42638,7362,11114,38886,,,,,
replication_prep_first,500,4,ara_twocut,I,0.8660460000000001,0.535176,0.81419,0.6300069239397502,0.6283799999999999,42505,7495,11086,38914,0,0,4.440892098500626e-16,0.51073,2.6524072378600603
replication_prep_first,500,4,raw_iq_lda,I,0.8660460000000001,0.535176,0.81419,0.6300069239397502,0.6283799999999999,42505,7495,11086,38914,,,,,2.652407237860091
replication_prep_first,500,4,raw_iq_qda,I,0.8660460000000001,0.535176,0.81348,0.6283855330448397,0.62696,42357,7643,11009,38991,,,,,
replication_prep_first,500,4,label_shuffle,I,0.8660460000000001,0.535176,0.56515,0.13252966030697602,0.13030000000000008,23691,26309,17176,32824,,,,,
replication_prep_first,500,4,pair_destroyed,I,0.8660460000000001,0.535176,0.81403,0.6296752038982748,0.6280600000000001,42491,7509,11088,38912,,,,,
replication_prep_first,1000,5,i_only,I,0.8885520000000001,0.524034,0.73419,0.4761271768672915,0.46838,41201,8799,17782,32218,,,,,
replication_prep_first,1000,5,q_only,I,0.8885520000000001,0.524034,0.5518799999999999,0.10542456410953946,0.10376000000000007,32019,17981,26831,23169,,,,,
replication_prep_first,1000,5,selected_onecut,I,0.8885520000000001,0.524034,0.73419,0.4761271768672915,0.46838,41201,8799,17782,32218,,,,,
replication_prep_first,1000,5,ara_twocut,I,0.8885520000000001,0.524034,0.73349,0.47486352931001746,0.46697999999999995,41211,8789,17862,32138,0,0,4.440892098500626e-16,0.52811,3.147637331602942
replication_prep_first,1000,5,raw_iq_lda,I,0.8885520000000001,0.524034,0.73349,0.47486352931001746,0.46697999999999995,41211,8789,17862,32138,,,,,3.1476373316029846
replication_prep_first,1000,5,raw_iq_qda,I,0.8885520000000001,0.524034,0.7353700000000001,0.4778904238244015,0.47073999999999994,41077,8923,17540,32460,,,,,
replication_prep_first,1000,5,label_shuffle,I,0.8885520000000001,0.524034,0.48509,-0.030051102433892852,-0.029819999999999958,21160,28840,22651,27349,,,,,
replication_prep_first,1000,5,pair_destroyed,I,0.8885520000000001,0.524034,0.73399,0.4762236503598429,0.46798000000000006,41331,8669,17932,32068,,,,,
replication_prep_second,0,0,i_only,I,0.818558,0.54571,0.80882,0.62893656661025,0.61764,35724,14276,4842,45158,,,,,
replication_prep_second,0,0,q_only,I,0.818558,0.54571,0.46783,-0.07237818455248166,-0.06433999999999995,34842,15158,38059,11941,,,,,
replication_prep_second,0,0,selected_onecut,I,0.818558,0.54571,0.80882,0.62893656661025,0.61764,35724,14276,4842,45158,,,,,
replication_prep_second,0,0,ara_twocut,I,0.818558,0.54571,0.8089,0.6290798094397528,0.6177999999999999,35732,14268,4842,45158,0,0,4.440892098500626e-16,0.396955,1.1839466641319216
replication_prep_second,0,0,raw_iq_lda,I,0.818558,0.54571,0.8089,0.6290798094397528,0.6177999999999999,35732,14268,4842,45158,,,,,1.1839466641320127
replication_prep_second,0,0,raw_iq_qda,I,0.818558,0.54571,0.82786,0.6619801035298406,0.6557200000000001,37963,12037,5177,44823,,,,,
replication_prep_second,0,0,label_shuffle,I,0.818558,0.54571,0.7786500000000001,0.5582145823374345,0.5572999999999999,37502,12498,9637,40363,,,,,
replication_prep_second,0,0,pair_destroyed,I,0.818558,0.54571,0.8089,0.6290650589449281,0.6177999999999999,35735,14265,4845,45155,,,,,
replication_prep_second,10,1,i_only,I,0.805464,0.5196860000000001,0.90304,0.8183503326061001,0.8060799999999999,49465,535,9161,40839,,,,,
replication_prep_second,10,1,q_only,I,0.805464,0.5196860000000001,0.5967199999999999,0.19359339060551545,0.19344000000000006,28841,21159,19169,30831,,,,,
replication_prep_second,10,1,selected_onecut,I,0.805464,0.5196860000000001,0.90304,0.8183503326061001,0.8060799999999999,49465,535,9161,40839,,,,,
replication_prep_second,10,1,ara_twocut,I,0.805464,0.5196860000000001,0.90306,0.8183618559283173,0.80612,49461,539,9155,40845,0,0,4.440892098500626e-16,0.45854,1.8371604134383068
replication_prep_second,10,1,raw_iq_lda,I,0.805464,0.5196860000000001,0.90306,0.8183618559283173,0.80612,49461,539,9155,40845,,,,,1.8371604134383284
replication_prep_second,10,1,raw_iq_qda,I,0.805464,0.5196860000000001,0.90089,0.8146812452205688,0.8017799999999999,49476,524,9387,40613,,,,,
replication_prep_second,10,1,label_shuffle,I,0.805464,0.5196860000000001,0.9024099999999999,0.8171789155866471,0.8048200000000001,49452,548,9211,40789,,,,,
replication_prep_second,10,1,pair_destroyed,I,0.805464,0.5196860000000001,0.90314,0.8185301010319916,0.8062800000000001,49466,534,9152,40848,,,,,
replication_prep_second,50,2,i_only,I,0.8064199999999999,0.5222939999999999,0.89395,0.7984974191776372,0.7879,48757,1243,9362,40638,,,,,
replication_prep_second,50,2,q_only,I,0.8064199999999999,0.5222939999999999,0.58265,0.1660273192570244,0.1653,26795,23205,18530,31470,,,,,
replication_prep_second,50,2,selected_onecut,I,0.8064199999999999,0.5222939999999999,0.89395,0.7984974191776372,0.7879,48757,1243,9362,40638,,,,,
replication_prep_second,50,2,ara_twocut,I,0.8064199999999999,0.5222939999999999,0.89408,0.7987316303253467,0.78816,48758,1242,9350,40650,0,0,4.440892098500626e-16,0.46646,1.8381629554123151
