entity,entity_type,replicate,s1,s2,s3,chsh_smax,retained_axes_at_0p50
Psi-classical,equal_weight_reconstruction,3027,0.8908056437316446,0.08079516182055835,0.06079578306450276,1.788924317099815,1
Bell-uniform-mixed,equal_weight_reconstruction,3027,0.12400269750891403,0.03842116672845875,0.004222044255507417,0.2596370932071399,0
Phi-plus,physically_prepared,3028,0.9598952927594421,0.9281197405436529,0.9237474682798971,2.670434590735038,3
Phi-minus,physically_prepared,3028,0.9697499333328484,0.8615645521328473,0.8366047010272987,2.5943850220743547,3
Psi-plus,physically_prepared,3028,0.9114339161148532,0.8918918560159571,0.8046062754169098,2.55043750464272,3
Psi-minus,physically_prepared,3028,0.8858893798665121,0.8679665526789443,0.8216519802061093,2.4804563531170176,3
Phi-classical,equal_weight_reconstruction,3028,0.908465417093076,0.05624473687427923,0.016408967353362097,1.8204097170474054,1
Psi-classical,equal_weight_reconstruction,3028,0.8774572350032611,0.11268769115745753,0.06893409901764362,1.7693272337224302,1
Bell-uniform-mixed,equal_weight_reconstruction,3028,0.15360671496206582,0.03221565595875612,0.016984103252224287,0.31389725306405775,0
Phi-plus,physically_prepared,3029,0.9705621321013491,0.9086802308843587,0.8800228360636454,2.65909053194446,3
Phi-minus,physically_prepared,3029,0.9636349810734851,0.9195235578977832,0.8908946360851665,2.6639188803546503,3
Psi-plus,physically_prepared,3029,0.9347342170552069,0.8438022072137766,0.778616449480642,2.5185156115717464,3
Psi-minus,physically_prepared,3029,0.9355232734228505,0.8809495976519872,0.8481006918954361,2.57003967963065,3
Phi-classical,equal_weight_reconstruction,3029,0.9273575750563081,0.026757671693701246,0.007188718726413254,1.8554870465824158,1
Psi-classical,equal_weight_reconstruction,3029,0.8914450284313774,0.061317552019542886,0.034738727988868665,1.7871027736542615,1
Bell-uniform-mixed,equal_weight_reconstruction,3029,0.10150577885642922,0.03888773866283112,0.006631999109056523,0.21739990211183596,0
Phi-plus,physically_prepared,3030,0.9920341310949937,0.8897460615833523,0.8818669391671985,2.665167740582559,3
Phi-minus,physically_prepared,3030,0.9823340672394126,0.8926583217320005,0.8779796210565574,2.6546706756330574,3
Psi-plus,physically_prepared,3030,0.9469742211128039,0.8774334944899668,0.8258100985013986,2.5819757649560358,3
Psi-minus,physically_prepared,3030,0.9431854298092056,0.8555112431805874,0.817505832209984,2.5467612704867095,3
Phi-classical,equal_weight_reconstruction,3030,0.9170591496382254,0.08552930865252456,0.06846786353006332,1.8420778990843618,1
Psi-classical,equal_weight_reconstruction,3030,0.9086086910885817,0.06003951084712567,0.04420781932503935,1.821180382482161,1
Bell-uniform-mixed,equal_weight_reconstruction,3030,0.10590665597902432,0.028559292419570326,0.015412865927218026,0.21937960674744528,0
Phi-plus,physically_prepared,3031,0.9963082544976886,0.9156168307620576,0.9121794818909832,2.70627738323697,3
Phi-minus,physically_prepared,3031,0.9752394614509571,0.8982841919884982,0.8745106865778343,2.651796746922797,3
Psi-plus,physically_prepared,3031,0.9693380080222255,0.8235943967015852,0.7930304556777099,2.543952754337033,3
Psi-minus,physically_prepared,3031,0.9171905602305692,0.8603090536414882,0.8238869887428978,2.5150508476399267,3
