path_id,group,step_index,source_time_start,source_time_end,heading_start_turns,heading_end_turns,ara_x_start,ara_x_end,absolute_circular_step_turns,step_mean_relative_movement,path_normalized_movement,quadrant_start,quadrant_end,quadrant_transition,large_step_ge_0_125_turn,q52_period
q52_fixed_A,Q52 continuation,22,1475.0,1625.0,0.074391166,0.980220928,1.857860088,1.996800003,0.0941702379999998,1.5e-12,1.6720315324951563e-11,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,23,1625.0,1675.0,0.980220928,0.993636581,1.996800003,1.995434503,0.013415652999999916,0.0,0.0,2,2,0,0,continuation
q52_fixed_A,Q52 continuation,24,1675.0,1725.0,0.993636581,0.614447738,1.995434503,0.278545769,0.379188843,2.45e-11,2.730984836408755e-10,2,0,1,1,continuation
q52_fixed_A,Q52 continuation,25,1725.0,1875.0,0.614447738,0.277781678,0.278545769,0.782930192,0.33666606,3.25e-11,3.622734987072838e-10,0,3,1,1,continuation
q52_fixed_A,Q52 continuation,26,1875.0,1975.0,0.277781678,0.379120962,0.782930192,0.962159762,0.10133928400000003,0.0007412105715,0.008262182985111704,3,0,1,0,continuation
q52_fixed_B,Q52 continuation,0,25.0,75.0,0.510502111,0.473888294,0.50765597,0.340557291,0.03661381699999999,0.089303344509,1.0,0,0,0,0,historical
q52_fixed_B,Q52 continuation,1,75.0,125.0,0.473888294,0.446259809,0.340557291,0.550625724,0.02762848499999998,0.0266365947505,0.2982709650680055,0,0,0,0,historical
q52_fixed_B,Q52 continuation,2,125.0,175.0,0.446259809,0.998007806,0.550625724,1.996723584,0.4482520029999999,0.001579748252,0.017689687443237838,0,2,1,1,historical
q52_fixed_B,Q52 continuation,3,175.0,225.0,0.998007806,0.997830417,1.996723584,1.996496109,0.00017738900000008329,0.0002073870495,0.002322276401183379,2,2,0,0,historical
q52_fixed_B,Q52 continuation,4,225.0,275.0,0.997830417,0.997780965,1.996496109,1.996501182,4.945199999994987e-05,0.00019419477300000002,0.0021745520738075948,2,2,0,0,historical
q52_fixed_B,Q52 continuation,5,275.0,325.0,0.997780965,0.997309274,1.996501182,1.996724163,0.0004716909999999963,0.000184182452,0.0020624362168366276,2,2,0,0,historical
q52_fixed_B,Q52 continuation,6,325.0,375.0,0.997309274,0.997964487,1.996724163,1.996392505,0.0006552129999999323,0.00017708933700000002,0.001983009012413336,2,2,0,0,historical
q52_fixed_B,Q52 continuation,7,375.0,425.0,0.997964487,0.998218382,1.996392505,1.996061847,0.0002538950000000595,0.0001669053725,0.0018689711277630732,2,2,0,0,historical
q52_fixed_B,Q52 continuation,8,425.0,475.0,0.998218382,0.99612005,1.996061847,1.714693072,0.0020983319999999805,0.018910408051999998,0.21175475740546543,2,2,0,0,historical
q52_fixed_B,Q52 continuation,9,475.0,525.0,0.99612005,0.04277766,1.714693072,1.399665533,0.046657610000000016,0.025841786209,0.28937086680326585,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,10,525.0,625.0,0.04277766,0.910549392,1.399665533,1.856189394,0.13222826799999998,0.007011855519,0.07851727790881723,2,2,0,1,continuation
q52_fixed_B,Q52 continuation,11,625.0,675.0,0.910549392,0.90397285,1.856189394,1.847731713,0.0065765419999999075,1e-12,1.1197788901391255e-11,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,12,675.0,725.0,0.90397285,0.003366135,1.847731713,1.9978619,0.099393285,5e-13,5.598894450695628e-12,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,13,725.0,775.0,0.003366135,0.003366135,1.9978619,1.9978619,0.0,0.0,0.0,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,14,775.0,825.0,0.003366135,0.030128733,1.9978619,1.972848933,0.026762598000000026,0.0,0.0,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,15,825.0,875.0,0.030128733,0.075348846,1.972848933,1.868967118,0.04522011299999995,1.5e-12,1.6796683352086886e-11,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,16,875.0,975.0,0.075348846,0.05180537,1.868967118,1.928602662,0.023543476000000008,2.5000000000000003e-12,2.7994472253478143e-11,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,17,975.0,1025.0,0.05180537,0.992636324,1.928602662,1.999997974,0.05916904600000006,1e-12,1.1197788901391255e-11,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,18,1025.0,1125.0,0.992636324,0.869115244,1.999997974,1.712235213,0.12352108000000006,1e-12,1.1197788901391255e-11,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,19,1125.0,1175.0,0.869115244,0.024760125,1.712235213,1.980034759,0.15564488100000007,1e-12,1.1197788901391255e-11,2,2,0,1,continuation
q52_fixed_B,Q52 continuation,20,1175.0,1225.0,0.024760125,0.02592366,1.980034759,1.978623638,0.0011635349999999933,0.0,0.0,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,21,1225.0,1425.0,0.02592366,0.005652875,1.978623638,1.996819875,0.020270785000000013,5e-13,5.598894450695628e-12,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,22,1425.0,1475.0,0.005652875,0.011348831,1.996819875,1.992475185,0.0056959559999999465,1e-12,1.1197788901391255e-11,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,23,1475.0,1525.0,0.011348831,0.039938316,1.992475185,1.871550618,0.028589485000000026,5e-13,5.598894450695628e-12,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,24,1525.0,1575.0,0.039938316,0.029985066,1.871550618,1.973057455,0.009953250000000025,0.0,0.0,2,2,0,0,continuation
q52_fixed_B,Q52 continuation,25,1575.0,1925.0,0.029985066,0.44748505,1.973057455,0.040537337,0.417499984,1.05e-11,1.1757678346460818e-10,2,0,1,1,continuation
q52_fixed_B,Q52 continuation,26,1925.0,1975.0,0.44748505,0.267613301,0.040537337,0.933773562,0.17987174899999997,0.0007802397265,0.008736959749826249,0,3,1,1,continuation
q52_alternating_AB,Q52 continuation,0,25.0,75.0,0.506256082,0.472406032,0.403006361,0.381619466,0.033850050000000076,0.101597573481,0.14778510958314978,0,0,0,0,historical
q52_alternating_AB,Q52 continuation,1,75.0,125.0,0.472406032,0.491928233,0.381619466,0.511736878,0.019522201000000017,0.025482218598,0.037066756014910884,0,0,0,0,historical
q52_alternating_AB,Q52 continuation,2,125.0,175.0,0.491928233,0.996884048,0.511736878,1.996053048,0.495044185,0.0012933007449999999,0.001881251547405687,0,2,1,1,historical
q52_alternating_AB,Q52 continuation,3,175.0,225.0,0.996884048,0.997180669,1.996053048,1.995823134,0.0002966210000000524,0.0001875132405,0.00027275912057846976,2,2,0,0,historical
q52_alternating_AB,Q52 continuation,4,225.0,275.0,0.997180669,0.997553348,1.995823134,1.995541716,0.00037267899999993137,0.000174611818,0.0002539925489703636,2,2,0,0,historical
q52_alternating_AB,Q52 continuation,5,275.0,325.0,0.997553348,0.996822911,1.995541716,1.99594021,0.0007304369999999727,0.000166032219,0.00024151255624069862,2,2,0,0,historical
q52_alternating_AB,Q52 continuation,6,325.0,375.0,0.996822911,0.997318793,1.99594021,1.995822088,0.0004958820000000586,0.0001623185825,0.00023611065383003603,2,2,0,0,historical
q52_alternating_AB,Q52 continuation,7,375.0,425.0,0.997318793,0.997535654,1.995822088,1.995154067,0.00021686099999995712,0.000152502961,0.00022183272720932296,2,2,0,0,historical
q52_alternating_AB,Q52 continuation,8,425.0,475.0,0.997535654,0.997884806,1.995154067,1.742520017,0.0003491519999999637,0.15602958671349998,0.22696260137532176,2,2,0,0,historical
q52_alternating_AB,Q52 continuation,9,475.0,525.0,0.997884806,0.997045236,1.742520017,1.66428348,0.0008395700000000117,0.502811080689,0.7313953287786183,2,2,0,0,continuation
q52_alternating_AB,Q52 continuation,10,525.0,575.0,0.997045236,0.998654313,1.66428348,1.459682333,0.0016090770000000143,0.6874682690805001,1.0,2,2,0,0,continuation
q52_alternating_AB,Q52 continuation,11,575.0,625.0,0.998654313,0.00442697,1.459682333,1.231271306,0.00577265700000007,0.6164680717385,0.8967222189949742,2,2,0,0,continuation
q52_alternating_AB,Q52 continuation,12,625.0,675.0,0.00442697,0.889282782,1.231271306,1.072791628,0.11514418799999993,0.571946602505,0.8319607292857135,2,2,0,0,continuation
q52_alternating_AB,Q52 continuation,13,675.0,725.0,0.889282782,0.269260296,1.072791628,0.998907237,0.379977514,0.608201368364,0.8846973681817768,2,3,1,1,continuation
q52_alternating_AB,Q52 continuation,14,725.0,775.0,0.269260296,0.006502185,0.998907237,1.189159007,0.262758111,0.5908935536845,0.8595212030292391,3,2,1,1,continuation
q52_alternating_AB,Q52 continuation,15,775.0,825.0,0.006502185,0.973812284,1.189159007,1.095891413,0.03268990099999991,0.55728193234,0.8106293154233484,2,2,0,0,continuation
q52_alternating_AB,Q52 continuation,16,825.0,875.0,0.973812284,0.332668739,1.095891413,0.955238605,0.35885645499999996,0.551239141355,0.8018393955728186,2,3,1,1,continuation
q52_alternating_AB,Q52 continuation,17,875.0,925.0,0.332668739,0.496716742,0.955238605,0.878668118,0.164048003,0.586918800244,0.8537394766292463,3,0,1,1,continuation
q52_alternating_AB,Q52 continuation,18,925.0,975.0,0.496716742,0.928118407,0.878668118,1.065915925,0.4314016650000001,0.615021538318,0.8946180732684598,0,2,1,1,continuation
q52_alternating_AB,Q52 continuation,19,975.0,1025.0,0.928118407,0.791886852,1.065915925,1.023089901,0.13623155500000006,0.6006549935355,0.8737203163411248,2,1,1,1,continuation
