condition,state,wait_index,wait_us,visible_u,parent_transverse_radius,previous_v,following_v,actual_hidden_v,inferred_magnitude,temporal_direction_lock,ara_information3_fill,zero_fill,time_only_fill,positive_branch_only_fill,ara_abs_error,zero_abs_error,time_only_abs_error,positive_branch_abs_error,ara_sign_correct,magnitude_within_parent
Ramsey,Psi-plus,3,12.02,-0.4919856728111506,0.6009914038005035,-0.8310692488502733,0.08373392679969324,-0.3389158468862025,0.3451677348632971,-0.37366766102529003,-0.3451677348632971,0.0,-0.37366766102529003,0.3451677348632971,0.0062518879770945834,0.3389158468862025,0.03475181413908751,0.6840835817494997,True,True
Ramsey,Psi-plus,4,16.02,-0.5878821134496919,0.5825664968959099,-0.3389158468862025,0.3296054623841923,0.08373392679969324,0.0,-0.004655192251005108,-0.0,0.0,-0.004655192251005108,0.0,0.08373392679969324,0.08373392679969324,0.08838911905069835,0.08373392679969324,True,True
Ramsey,Psi-plus,5,20.02,-0.17487120463058,0.3769455763235632,0.08373392679969324,0.1914585111859879,0.3296054623841923,0.3339281798545205,0.13759621899284058,0.3339281798545205,0.0,0.13759621899284058,0.3339281798545205,0.004322717470328197,0.3296054623841923,0.19200924339135172,0.004322717470328197,True,True
Ramsey,Psi-plus,6,24.02,0.17179277285142944,0.24396695821452796,0.3296054623841923,-0.01880671239953793,0.1914585111859879,0.17322563290825754,0.1553993749923272,0.17322563290825754,0.0,0.1553993749923272,0.17322563290825754,0.018232878277730347,0.1914585111859879,0.03605913619366069,0.018232878277730347,True,True
Ramsey,Psi-plus,7,28.02,0.14449959410180713,0.1524351474620489,0.1914585111859879,-0.1287180018133086,-0.01880671239953793,0.04854216194391816,0.03137025468633964,0.04854216194391816,0.0,0.03137025468633964,0.04854216194391816,0.06734887434345609,0.01880671239953793,0.05017696708587757,0.06734887434345609,False,True
Ramsey,Psi-plus,8,32.02,-0.015532816875423145,0.11664213427976228,-0.01880671239953793,5.3767990665372356e-05,-0.1287180018133086,0.11560328321138923,-0.009376472204436279,-0.11560328321138923,0.0,-0.009376472204436279,0.11560328321138923,0.013114718601919387,0.1287180018133086,0.11934152960887233,0.24432128502469785,True,True
Ramsey,Psi-plus,9,36.02,0.000705845317649726,0.038884868937812164,-0.1287180018133086,-0.028629692553069207,5.3767990665372356e-05,0.03887846209276263,-0.07867384718318891,-0.03887846209276263,0.0,-0.07867384718318891,0.03887846209276263,0.038932230083428006,5.3767990665372356e-05,0.07872761517385429,0.03882469410209726,False,True
Ramsey,Psi-minus,1,4.02,-0.6881051760558841,0.9111692430175262,0.03784663707649695,0.8426483362847295,0.5930804972011853,0.5972777043438274,0.4402474866806132,0.5972777043438274,0.0,0.4402474866806132,0.5972777043438274,0.0041972071426421564,0.5930804972011853,0.15283301052057208,0.0041972071426421564,True,True
Ramsey,Psi-minus,2,8.02,-0.07639709309117897,0.804065067542769,0.5930804972011853,0.3492068630342608,0.8426483362847295,0.8004274589303989,0.471143680117723,0.8004274589303989,0.0,0.471143680117723,0.8004274589303989,0.042220877354330555,0.8426483362847295,0.37150465616700645,0.042220877354330555,True,True
Ramsey,Psi-minus,3,12.02,0.4289576442020044,0.5531905977587999,0.8426483362847295,-0.1170110765632763,0.3492068630342608,0.34930670896706933,0.36281862986072655,0.34930670896706933,0.0,0.36281862986072655,0.34930670896706933,9.984593280853993e-05,0.3492068630342608,0.013611766826465754,9.984593280853993e-05,True,True
Ramsey,Psi-minus,4,16.02,0.5033651130797485,0.5142694942148758,0.3492068630342608,-0.3144315906814015,-0.1170110765632763,0.10534075951043909,0.01738763617642966,0.10534075951043909,0.0,0.01738763617642966,0.10534075951043909,0.2223518360737154,0.1170110765632763,0.13439871273970597,0.2223518360737154,False,True
Ramsey,Psi-minus,5,20.02,0.17303937178601778,0.36319750900424963,-0.1170110765632763,-0.15125664547684953,-0.3144315906814015,0.3193271149758384,-0.13413386102006292,-0.3193271149758384,0.0,-0.13413386102006292,0.3193271149758384,0.004895524294436904,0.3144315906814015,0.18029772966133856,0.6337587056572398,True,True
Ramsey,Psi-minus,6,24.02,-0.14644215854048198,0.21978552251541078,-0.3144315906814015,-0.07929282914967471,-0.15125664547684953,0.16389133628528532,-0.1968622099155381,-0.16389133628528532,0.0,-0.1968622099155381,0.16389133628528532,0.012634690808435795,0.15125664547684953,0.04560556443868857,0.3151479817621349,True,True
Ramsey,Psi-minus,7,28.02,-0.10844335140719258,0.13452840476716088,-0.15125664547684953,0.01648197259856264,-0.07929282914967471,0.07961112500632822,-0.06738733643914344,-0.07961112500632822,0.0,-0.06738733643914344,0.07961112500632822,0.00031829585665350824,0.07929282914967471,0.011905492710531276,0.15890395415600295,True,True
