orientation,timestamp,record_index,readout,measurement,outcome,segment_tunnelling_fraction,classified_present
II,115025,63,2,24,DOWNDOWN,0.9,1
II,115025,63,2,24,DOWNUP,0.25,0
II,115025,63,2,24,UPDOWN,0.125,0
II,115025,63,2,24,UPUP,0.1,0
II,115025,64,2,25,DOWNDOWN,0.075,0
II,115025,64,2,25,DOWNUP,0.25,0
II,115025,64,2,25,UPDOWN,0.225,0
II,115025,64,2,25,UPUP,0.825,1
II,115025,65,2,26,DOWNDOWN,0.825,1
II,115025,65,2,26,DOWNUP,0.275,0
II,115025,65,2,26,UPDOWN,0.2,0
II,115025,65,2,26,UPUP,0.225,0
II,115025,66,2,27,DOWNDOWN,0.175,0
II,115025,66,2,27,DOWNUP,0.275,0
II,115025,66,2,27,UPDOWN,0.1,0
II,115025,66,2,27,UPUP,0.875,1
II,115025,67,2,28,DOWNDOWN,0.15,0
II,115025,67,2,28,DOWNUP,0.125,0
II,115025,67,2,28,UPDOWN,0.225,0
II,115025,67,2,28,UPUP,0.8,1
II,115025,68,2,29,DOWNDOWN,0.825,1
II,115025,68,2,29,DOWNUP,0.275,0
II,115025,68,2,29,UPDOWN,0.175,0
II,115025,68,2,29,UPUP,0.15,0
II,115025,69,2,30,DOWNDOWN,0.875,1
II,115025,69,2,30,DOWNUP,0.1,0
II,115025,69,2,30,UPDOWN,0.225,0
II,115025,69,2,30,UPUP,0.2,0
II,115025,70,2,31,DOWNDOWN,0.25,0
II,115025,70,2,31,DOWNUP,0.15,0
II,115025,70,2,31,UPDOWN,0.125,0
II,115025,70,2,31,UPUP,0.775,1
II,115025,71,2,32,DOWNDOWN,0.175,0
II,115025,71,2,32,DOWNUP,0.175,0
II,115025,71,2,32,UPDOWN,0.2,0
II,115025,71,2,32,UPUP,0.9,1
II,115025,72,2,33,DOWNDOWN,0.85,1
II,115025,72,2,33,DOWNUP,0.125,0
II,115025,72,2,33,UPDOWN,0.25,0
II,115025,72,2,33,UPUP,0.225,0
II,115025,73,2,34,DOWNDOWN,0.9,1
II,115025,73,2,34,DOWNUP,0.225,0
II,115025,73,2,34,UPDOWN,0.125,0
II,115025,73,2,34,UPUP,0.15,0
II,115025,74,2,35,DOWNDOWN,0.2,0
II,115025,74,2,35,DOWNUP,0.175,0
II,115025,74,2,35,UPDOWN,0.225,0
II,115025,74,2,35,UPUP,0.8,1
II,115025,75,2,36,DOWNDOWN,0.975,1
II,115025,75,2,36,DOWNUP,0.3,0
II,115025,75,2,36,UPDOWN,0.175,0
II,115025,75,2,36,UPUP,0.125,0
II,115025,76,2,37,DOWNDOWN,0.35,0
II,115025,76,2,37,DOWNUP,0.1,0
II,115025,76,2,37,UPDOWN,0.175,0
II,115025,76,2,37,UPUP,0.75,1
II,115025,77,2,38,DOWNDOWN,0.825,1
II,115025,77,2,38,DOWNUP,0.2,0
II,115025,77,2,38,UPDOWN,0.325,0
II,115025,77,2,38,UPUP,0.175,0
II,115025,78,2,39,DOWNDOWN,0.85,1
II,115025,78,2,39,DOWNUP,0.125,0
II,115025,78,2,39,UPDOWN,0.1,0
II,115025,78,2,39,UPUP,0.175,0
II,115025,79,2,40,DOWNDOWN,0.175,0
II,115025,79,2,40,DOWNUP,0.2,0
II,115025,79,2,40,UPDOWN,0.275,0
II,115025,79,2,40,UPUP,0.85,1
IX,115222,0,1,1,DOWNDOWN,0.8,1
IX,115222,0,1,1,DOWNUP,0.125,0
IX,115222,0,1,1,UPDOWN,0.25,0
IX,115222,0,1,1,UPUP,0.125,0
