branch_index,branch,seed,pair_index,pair,scale_h_q95_exposed,crest_start,crest_end,trough_start,trough_end,predicted_return,timing_tolerance,observed_return,local_reconstruction,timing_hit,timing_error,mirror_mae,persistence_mae,no_return_mae,source_hidden_trough,neighbour_hidden_crest,direct_neighbour_transfer,transfer_lag,exact_transfer_overlap,orientation_eligible,orientation_flip,orientation_before,orientation_after,final_source_x,final_neighbour_x
1,c4,12,18,1-9,0.1767421215772628,100,107,223,227,339,29,455,1,0,116,1.2564757988959745,0.37859214251852336,0.41154870886140793,251,,0,,0.24378944630855381,1,0,-1,-1,2.9779055882730616,1.1951766686423388
1,c4,12,19,1-10,0.31003653556108446,110,116,204,215,292,22,327,1,0,35,1.2460651480724232,0.5292020048118107,0.5169520543319063,251,316,0,65,0.3393182252014495,1,0,-1,-1,0.1520101361903204,0.7677523451395541
1,c4,12,20,1-11,0.22909249961376188,152,159,214,218,269,14,385,1,0,116,1.2016136731581157,0.7631973165455652,0.43027684375208025,264,,0,,0.19156080113978097,1,0,-1,-1,0.4546960794041037,1.489371417270863
1,c4,12,21,2-3,0.4428456366062161,24,28,185,193,342,40,,0,0,,1.161891368292814,0.39398757558828157,0.1855854562558477,250,,0,,0.23408706127329806,0,0,-1,0,0.015899318788310773,0.5124422472592748
1,c4,12,22,2-4,0.32171164005994796,192,196,231,235,266,10,,0,0,,1.1979810049703299,0.318491307605831,0.3002935105606684,250,,0,,0.2375403469386714,0,0,-1,0,0.0032436633118852537,0.0
1,c4,12,23,2-5,0.248175326734781,75,80,168,177,256,22,342,1,0,86,1.4622759808911565,0.4875365305413853,0.3501216382231105,250,,0,,0.1866157287608951,1,0,-1,-1,0.07501807628408798,0.504147789430405
1,c4,12,24,2-6,0.15057208761572832,195,205,230,240,255,10,294,1,0,39,1.6718724870886945,0.7173511254292303,0.7419667519802533,250,,0,,0.3639570727878926,1,0,-1,-1,0.10472021409199124,0.15708141811909038
1,c4,12,25,2-7,0.16358981058001515,145,149,231,241,313,21,295,1,1,18,0.9716845219142498,0.9352074455860708,0.8874158446377166,252,,0,,0.3569116147750715,1,0,-1,-1,0.015132019645234907,0.1526305066191205
1,c4,12,26,2-8,0.20467950925230977,100,104,199,204,294,24,297,1,1,3,0.9872166075335326,0.927850846973617,0.6760808653234275,251,,0,,0.26401583746519636,1,0,-1,-1,0.007567450307360303,0.016849855269102917
1,c4,12,27,2-9,0.3812471643090243,98,106,202,207,298,24,,0,0,,1.1719587066471013,0.19925447925461376,0.27488656508550297,250,,0,,0.16638985631046482,0,0,-1,0,0.0706149198195678,0.5914014831290466
1,c4,12,30,3-4,0.29683035314083095,176,184,234,238,284,13,,0,0,,1.2181796621981016,0.2982282113369952,0.3557875681943461,254,,0,,0.33993253557690684,0,0,-1,0,0.02311504237475964,0.5070706423374067
1,c4,12,31,3-5,0.2033632673323154,22,26,162,175,298,34,256,1,0,42,0.9899446030597059,0.6249644085243927,0.5355401341336488,268,,0,,0.3440153486030681,1,0,-1,-1,1.0296993447767349,0.0
1,c4,12,33,3-7,0.10848445929586872,144,149,214,221,279,17,250,1,0,29,1.359790693692209,1.541111909666504,1.3290357635634786,310,,0,,0.2963493357133877,1,0,-1,-1,0.21811119385416405,0.7199569647765289
1,c4,12,35,3-9,0.15258783549070357,27,31,150,154,269,30,367,1,0,98,1.117759758792894,0.5045559450620237,0.4867294763161316,253,,0,,0.30338947020005724,1,0,-1,-1,1.99164720401315,1.0133799630352798
1,c4,12,36,3-10,0.27938589751720416,200,207,240,248,273,10,368,1,0,95,1.1418270025047268,0.607028475875149,0.43374508055664734,270,,0,,0.33305946564351624,1,0,-1,-1,0.0976596811752172,0.5764625273176623
1,c4,12,37,3-11,0.28706148266792275,198,211,233,238,255,10,250,1,1,5,2.067025058267382,1.196866539250149,0.32486248804058376,279,,0,,0.35155517590550167,1,0,-1,-1,0.20968495206435525,1.008952056150734
1,c4,12,38,4-5,0.3602639451622961,186,193,240,249,287,12,,0,0,,1.3415958406725226,0.17656781106113076,0.3291995688220429,250,,0,,0.2688868081440807,0,0,-1,0,0.05030278049537371,0.5704587222712187
1,c4,12,39,4-6,0.27803408056497575,175,179,233,249,287,14,,0,0,,1.473988361506788,0.3083152784404794,0.30668278409457594,250,,0,,0.13264613489571617,0,0,-1,0,0.05521030858381808,0.1499144654285687
1,c4,12,40,4-7,0.16665490269660943,169,176,237,249,298,16,269,1,0,29,1.6377527471567719,0.681353213507033,0.701826019656578,256,,0,,0.4074641471286276,1,0,-1,-1,0.014541986975579058,0.1463984913236381
1,c4,12,42,4-9,0.2280588246881962,123,131,193,213,255,16,,0,0,,1.4840060358638356,0.20023235275102372,0.23032060717230177,250,,0,,0.24761797621567472,0,0,-1,0,0.11488828516202367,0.5681820189343951
1,c4,12,43,4-10,0.24252481609582888,129,135,197,202,259,16,306,1,0,47,1.2314390050809203,0.39675081601689544,0.40660178149705517,251,,0,,0.31606843949706603,1,0,-1,-1,0.011212536123707761,0.01371017336437523
1,c4,12,44,4-11,0.3487589344382281,186,194,241,249,288,12,478,1,0,190,1.3423933798602474,0.4116909758870669,0.395029743016613,254,,0,,0.26545163509060765,1,0,-1,-1,0.015618589794162856,0.5508279655628926
1,c4,12,45,5-6,0.24454645961523014,158,167,229,241,291,16,343,1,0,52,1.2843701874684985,0.4202216762699856,0.42315141383739147,250,,0,,0.25933708927546995,1,0,-1,-1,1.968489501439173,0.7932906750110459
1,c4,12,46,5-7,0.25372891426086414,149,155,228,246,301,19,427,1,0,126,1.0839756687597655,0.45440636958978353,0.4283167084852072,250,400,0,150,0.18946720361650382,1,0,-1,-1,0.2525982267512937,0.8499933594546609
1,c4,12,48,5-9,0.18442035540938367,59,67,162,195,257,24,495,1,0,238,2.1415325666414975,0.37381937523666586,0.38569172010636865,250,,0,,0.259820616695131,1,0,-1,-1,4.484041803793159,1.089572055749489
1,c4,12,49,5-10,0.24591267779469486,63,77,166,189,255,23,262,1,1,7,1.4193650609078636,0.5040426939961331,0.43605373450260293,271,,0,,0.2278849822322198,1,0,-1,-1,0.30080551591097326,0.6133795609160689
1,c4,12,50,5-11,0.27426166236400606,188,193,225,236,257,10,429,1,0,172,1.1312136211407664,0.6920018781291303,0.4046078524468907,272,,0,,0.2274984409024955,1,0,-1,-1,0.5965763743776645,1.0796912368131066
1,c4,12,51,6-7,0.2266290374100206,164,172,228,249,284,14,271,1,1,13,1.3422068242632013,0.5202763836955958,0.5006966395836726,250,,0,,0.2897972470780879,1,0,-1,-1,0.23902680532241938,0.0
1,c4,12,52,6-8,0.13270563557744025,108,113,191,206,269,20,276,1,1,7,1.3509474401150663,0.9999638697842158,1.035662996540827,250,,0,,0.2838532064014913,1,0,-1,-1,0.216096372710027,0.24213897611006485
1,c4,12,55,6-11,0.20945596843957898,85,95,182,189,269,22,268,1,1,1,1.2998411302263437,0.6852584090495243,0.685401184926631,250,,0,,0.37324066808055417,1,0,-1,-1,0.660043084720395,0.7796131726072549
