split,branch,branch_index,seed,events,weight,trials,mean_available_lags,exact_error,exact_sign_flip_share,exact_same_source_pair_share,exact_shares_source_endpoint,exact_strongest_child_share,exact_partner_persistence,exact_adjacency_share,exact_self_return,exact_mean_absolute_time_jitter,seed_error,seed_sign_flip_share,seed_same_source_pair_share,seed_shares_source_endpoint,seed_strongest_child_share,seed_partner_persistence,seed_adjacency_share,seed_self_return,seed_mean_absolute_time_jitter,time_error,time_sign_flip_share,time_same_source_pair_share,time_shares_source_endpoint,time_strongest_child_share,time_partner_persistence,time_adjacency_share,time_self_return,time_mean_absolute_time_jitter
opened_later_half,c4,1,29,161,0.15148620212099145,1,5.9492597612458065,0.4369428875270313,0.44369915901681073,0.1511374994472337,0.27064547123222704,0.00031177778207974033,0.5235524962299785,0.7101693314684095,0.5804981794539285,0.9807416240342548,0.47271498764287995,0.5138864877050964,0.0012217505961866714,0.1293227532219886,0.027426700453758477,0.4665459737057677,0.7660401609175351,0.002633016700819676,0.8105225746170293,0.5492687615253629,0.5821868494331189,0.0056890238034647996,0.14283787967587858,0.01732845516764125,0.36387919288857407,0.6377083579002243,0.020424988664581624,0.9842493970079506
opened_later_half,c4,1,30,195,0.16224266176280533,1,5.675046466279681,0.3757554985870481,0.38997297026968614,0.12207099842357992,0.3141678611077761,0.0022141511569545923,0.4885835840819291,0.7002837623956695,0.47166183931344896,0.9009513485341982,0.3991121585215425,0.46937284132708634,0.0018283708922048085,0.18353801380701462,0.007384616305598492,0.526361398324429,0.7298584604653142,0.010494961333814662,0.9265404746347993,0.4530131017935012,0.47661530956105025,0.010793832678005965,0.12005393004899162,0.008369618715574772,0.4195183074597266,0.6328738273369146,0.05771128153489543,1.0415528655336939
opened_later_half,c4,1,31,156,0.14951361494233886,1,5.65015147302569,0.35220079138842453,0.32727427417775085,0.1675339445992577,0.2719399895232547,0.02881451765086618,0.554882395811043,0.727850427605696,0.5730557943497501,1.0207327487108553,0.5313062929424065,0.5681628516946678,0.006343139895580398,0.15976951424023902,0.0030480502118847897,0.5174107624931344,0.6637026538587922,0.03805883937348239,0.8765229470309035,0.5014123179336099,0.272084513726795,0.000649391341786289,0.13827863187639367,0.027016733777444936,0.469878751051486,0.7056318261648425,0.0021763433311379502,1.023243450724655
opened_later_half,c4,1,32,233,0.1906280248478277,1,5.708359416095417,0.4368531205343025,0.45856863885687643,0.11758539973857594,0.24266049725511543,0.010840912427435125,0.4355500511272519,0.6058725613985252,0.5493244293200652,0.6989491871513362,0.4507949990534306,0.5129825084661157,0.020985007624522704,0.1777482122292581,0.0004996172940802165,0.5225564643698001,0.7062964469701187,0.050863777836705204,0.9702071532914512,0.4331969972427095,0.42416240516623394,0.009261399644447445,0.14704488410440694,0.012607263764776302,0.38959640106383375,0.5050261078621271,0.05522402873327776,1.0339304171824328
opened_later_half,c4,1,33,181,0.13429498572603557,1,5.4200416747138735,0.39793232496015474,0.3940427616574118,0.1535836603524965,0.32537426605909975,0.04104731401996638,0.5211728216501379,0.661984594004541,0.5944484136566887,0.8773325617558639,0.48703812929646656,0.5023360906880522,0.08550147961027649,0.2320254775000405,0.010121020096830599,0.5506368119004197,0.6657122112038155,0.17353037503875576,0.9595257089981761,0.5455809887396921,0.47580493885275554,0.00440718659732498,0.08003497370633249,0.0012342178314001873,0.4175995575131215,0.573284834790863,0.015568314327172272,1.0066911627222763
opened_later_half,c4,1,34,189,0.2076967654539934,1,5.434073752813845,0.4085789236755669,0.4122946435060094,0.1738919683924588,0.3108277178259879,0.002312585170309123,0.4109640828509242,0.6054647841542926,0.7370615346465432,0.6342188539134626,0.4827792327363583,0.4496993238521015,0.002699147320804717,0.13410961976773567,0.034761431407590776,0.49099561460458074,0.7184537047924318,0.005616597116861151,0.726367525642043,0.533340715404757,0.4349785557063294,0.0023603777557139032,0.2148492409349673,0.003586916129971811,0.43976750103312395,0.6270423827705146,0.01109355226737793,1.014651283359947
opened_later_half,c4,1,35,171,0.18468591099794757,1,5.842423180244498,0.4388048597855097,0.36844634473209326,0.15083605863253682,0.2821115733631911,0.028395811605762298,0.5055006996103003,0.6992792116238353,0.701129585931095,0.9122654584201079,0.5254069517939494,0.45260638051879654,1.3987550135445076e-05,0.15332101624581457,0.02185231997341367,0.5144825296789699,0.6661477233436643,8.392530081267046e-05,0.8363970421562168,0.43094626103672934,0.4277850949126821,0.00166246712000732,0.1853887132808236,0.04670192308445741,0.3949827003295217,0.619957176025004,0.005233421325775337,1.0006536643004655
opened_later_half,c4,1,36,219,0.19564805554889325,1,5.823285462027797,0.4628815098491055,0.4769116869077921,0.1247947863883049,0.344240549006784,0.01659040259070984,0.43953994359180315,0.6854468041407697,0.5230528835858652,0.7695834925948658,0.4741474918338111,0.4568421531716192,0.008569614447886311,0.1899745503327536,0.003127510859885923,0.5125800788845191,0.7115213082896459,0.028422455814659332,0.9639140681799865,0.4910522009188241,0.5214873879977622,0.009627392402928125,0.13588932466557174,0.02013524970264919,0.3801761990931083,0.48253033972364234,0.024853641349632607,1.0018826158391148
opened_later_half,c4,1,37,171,0.18981204039477514,1,5.838292408605777,0.4740784430218122,0.4208547492460784,0.15025135488055386,0.22618182015044472,0.0005957468800073875,0.4918447150169896,0.7362653962637745,0.6362559070442054,0.9234671781935079,0.5114749644661892,0.40673341254609796,0.006695311724279947,0.18345839705505682,0.07053001006177324,0.47903636185680226,0.7086336059944676,0.016899832031966686,0.8606507044966369,0.5278926634768158,0.4684251163959185,0.032824019168307496,0.18620804316068842,0.002659267858785625,0.4142138826534041,0.6636864355851942,0.13484112814945057,0.9743520968463696
opened_later_half,c4,1,38,219,0.28025017659462637,1,5.592357666106323,0.3513599084165704,0.461502938073685,0.13965165451093384,0.30159610448920693,0.06995385045946799,0.4494506065114731,0.6236897854132524,0.46749245484390634,0.8106399879339338,0.5077732358652041,0.44863551199640095,0.008523487527936838,0.09470884940846439,0.004185111609659451,0.5840840534624115,0.7552420078643081,0.01929957632631056,0.7804129729463799,0.41453131546372113,0.41616725065253,0.00835013352132226,0.13539284183730022,0.029148390732233347,0.47809920300683656,0.6139362061288431,0.042833882892480975,1.1442625601333332
