archive,seed,parent_pair_count,child_pair_count,parent_forward_duration,parent_return_duration,child_forward_duration,child_return_duration,r_A,s_A,r_B,s_B,P_A,P_B,C_A,C_B,h_A,h_B,h_A_local_control,h_B_local_control,ratio_phi_error_A,ratio_phi_error_B,additive_phi_error_A,additive_phi_error_B,ratio_within_phi_band_A,ratio_within_phi_band_B,additive_within_phi_band_A,additive_within_phi_band_B
greedy,68,3,14,5.0,7.0,4.0,4.0,1.25,1.8,1.75,1.5714285714285714,0.8333333333333334,1.1666666666666665,1.0,1.0,1.6666666666666665,1.3333333333333335,2.1666666666666665,1.8333333333333335,0.3680339887498949,0.1319660112501051,0.048632677916771616,0.2847006554165614,0,0,1,0
greedy,69,5,9,5.0,7.0,4.0,3.5,1.25,1.8,2.0,1.5,0.8333333333333334,1.1666666666666665,1.0666666666666667,0.9333333333333333,1.6999999999999997,1.3000000000000003,2.2333333333333334,1.7666666666666668,0.3680339887498949,0.3819660112501051,0.08196601125010483,0.31803398874989464,0,0,0,0
greedy,70,4,10,7.5,6.5,3.75,3.5,2.0,1.5,1.8571428571428572,1.5384615384615383,1.0714285714285714,0.9285714285714286,1.0344827586206897,0.9655172413793103,1.4458128078817736,1.5541871921182264,1.9630541871921183,2.0369458128078817,0.3819660112501051,0.2391088683929623,0.17222118086812133,0.06384679663166848,0,0,0,1
greedy,71,3,13,7.0,6.0,4.0,4.0,1.75,1.5714285714285714,1.5,1.6666666666666665,1.0769230769230769,0.9230769230769231,1.0,1.0,1.4230769230769231,1.5769230769230769,1.9230769230769231,2.0769230769230766,0.1319660112501051,0.1180339887498949,0.19495706567297177,0.04111091182681803,0,0,0,1
greedy,72,2,8,7.0,6.0,4.0,3.75,1.75,1.5714285714285714,1.6,1.625,1.0769230769230769,0.9230769230769231,1.032258064516129,0.967741935483871,1.4392059553349876,1.5607940446650124,1.9553349875930521,2.0446650124069476,0.1319660112501051,0.018033988749894814,0.17882803341490727,0.05723994408488253,0,1,0,1
greedy,73,7,10,7.0,7.0,3.5,4.0,2.0,1.5,1.75,1.5714285714285714,1.0,1.0,0.9333333333333333,1.0666666666666667,1.4666666666666668,1.5333333333333332,1.9333333333333333,2.0666666666666664,0.3819660112501051,0.1319660112501051,0.15136732208322812,0.08470065541656169,0,0,0,0
greedy,74,6,11,5.5,7.0,4.0,4.0,1.375,1.7272727272727273,1.75,1.5714285714285714,0.88,1.12,1.0,1.0,1.62,1.38,2.12,1.88,0.2430339887498949,0.1319660112501051,0.001966011250105204,0.238033988749895,0,0,1,0
greedy,75,6,9,6.5,7.5,4.0,4.0,1.625,1.6153846153846154,1.875,1.5333333333333332,0.9285714285714286,1.0714285714285714,1.0,1.0,1.5714285714285714,1.4285714285714286,2.071428571428571,1.9285714285714286,0.0069660112501050975,0.2569660112501051,0.046605417321323506,0.1894625601784663,1,0,1,0
greedy,76,7,11,6.0,7.0,4.0,4.0,1.5,1.6666666666666665,1.75,1.5714285714285714,0.9230769230769231,1.0769230769230769,1.0,1.0,1.5769230769230769,1.4230769230769231,2.0769230769230766,1.9230769230769231,0.1180339887498949,0.1319660112501051,0.04111091182681803,0.19495706567297177,0,0,1,0
greedy,77,7,6,7.0,8.0,4.5,4.0,1.5555555555555556,1.6428571428571428,2.0,1.5,0.9333333333333333,1.0666666666666667,1.0588235294117647,0.9411764705882353,1.5960784313725491,1.4039215686274509,2.1254901960784314,1.8745098039215686,0.06247843319433932,0.3819660112501051,0.02195555737734578,0.21411242012244402,1,0,1,0
greedy,78,5,13,6.0,7.0,4.0,4.0,1.5,1.6666666666666665,1.75,1.5714285714285714,0.9230769230769231,1.0769230769230769,1.0,1.0,1.5769230769230769,1.4230769230769231,2.0769230769230766,1.9230769230769231,0.1180339887498949,0.1319660112501051,0.04111091182681803,0.19495706567297177,0,0,1,0
greedy,79,4,13,5.0,7.0,4.0,4.0,1.25,1.8,1.75,1.5714285714285714,0.8333333333333334,1.1666666666666665,1.0,1.0,1.6666666666666665,1.3333333333333335,2.1666666666666665,1.8333333333333335,0.3680339887498949,0.1319660112501051,0.048632677916771616,0.2847006554165614,0,0,1,0
greedy,80,2,13,8.5,6.5,4.0,4.0,2.125,1.4705882352941178,1.625,1.6153846153846154,1.1333333333333333,0.8666666666666667,1.0,1.0,1.3666666666666667,1.6333333333333333,1.8666666666666667,2.1333333333333333,0.5069660112501051,0.0069660112501050975,0.2513673220832282,0.015299344583438401,0,1,0,1
