base_id,family,shots,time,true_rx,true_ry,true_rz,observed_xx,observed_xy,observed_xz,estimated_rx,estimated_ry,estimated_rz,true_radius,estimated_radius
T0000,T1,128,2.375,0.6508342205352303,0.0,0.5764148173802992,0.328125,1.09375,0.375,0.671875,-0.09375,0.625,0.8693901450529932,0.9224045089465901
T0000,T1,128,2.4375,0.6435194913402681,0.0,0.5858826642651626,0.25,0.96875,0.265625,0.7141939913909537,0.029758082974623075,0.6993149499036422,0.870273423713078,0.9999999999999999
T0000,T1,128,2.5,0.6362869724248325,0.0,0.5951388887224405,0.28125,1.109375,0.390625,0.71875,-0.109375,0.609375,0.8712355640969558,0.9486318272912837
T0000,T1,128,2.5625,0.6291357398271634,0.0,0.6041882208721278,0.453125,0.9375,0.28125,0.546875,0.0625,0.71875,0.8722701332548876,0.9053066210544359
T0000,T1,128,2.625,0.6220648799699122,0.0,0.6130352851080186,0.3125,0.84375,0.359375,0.6875,0.15625,0.640625,0.8733710412416082,0.9526125671672614
T0000,T1,128,2.6875,0.6150734895434307,0.0,0.6216846024608673,0.421875,1.171875,0.3125,0.578125,-0.171875,0.6875,0.8745325279691198,0.9145631641663685
T0000,T1,128,2.75,0.6081606753903723,0.0,0.6301405929087261,0.40625,0.96875,0.40625,0.59375,0.03125,0.59375,0.875749150112425,0.840270603734297
T0000,T1,128,2.8125,0.6013255543915909,0.0,0.6384075776356458,0.3125,0.9375,0.40625,0.6875,0.0625,0.59375,0.8770157681290384,0.9105501427708416
T0000,T1,128,2.875,0.5945672533533207,0.0,0.6464897812398882,0.515625,0.78125,0.34375,0.484375,0.21875,0.65625,0.8783275334450756,0.8444730698044788
T0000,T1,128,2.9375,0.5878849088956254,0.0,0.6543913338927823,0.28125,1.1875,0.25,0.6809026333799375,-0.1776267739252011,0.7105070957008044,0.8796798758532518,1.0
T0000,T1,128,3.0,0.5812776673421003,0.0,0.6621162734493267,0.46875,0.96875,0.3125,0.53125,0.03125,0.6875,0.8810684911612132,0.8694017339527222
T0000,T1,128,3.0625,0.574744684610814,0.0,0.669668547511616,0.421875,0.953125,0.328125,0.578125,0.046875,0.671875,0.8824893291222855,0.8876045272952363
T0000,T1,128,3.125,0.5682851261064766,0.0,0.6770520154461459,0.359375,0.984375,0.296875,0.640625,0.015625,0.703125,0.8839385816749613,0.9513302774930481
