split,branch,seed,source_time,origin_time,shared_node,source_other_node,child_other_node,source_pair,child_pair,closing_pair_1p5,open_edge_control,weight,q28_residual_fraction,exact_1p5_error,exact_3p5_composite_error,seed_error,time_error,open_edge_error,exact_beta,exact_flip
development,c4,92,104,106,6,0,8,0-6,6-8,0-8,0-10,9.14640005623274e-05,0.05920738393109181,0.9984032282036324,0.05911284325029393,0.9960616029319019,0.998907897889545,0.9982946477002432,0.001461506956086183,Fx
development,c4,92,234,236,9,1,8,1-9,8-9,1-8,1-2,6.187549311611985e-06,0.025984444000722765,0.9997644836388088,0.025978324239024138,0.9997887719121789,0.9988313548485513,0.998291353221828,0.00023170640892117544,I
development,c4,93,92,94,7,11,9,7-11,7-9,9-11,0-11,8.834250006818992e-05,0.006392908651046312,0.9995819406231524,0.006390236035639412,0.9952485424498627,0.9926950737536108,0.9993242599395388,0.001975697355699979,I
development,c4,93,144,146,2,8,4,2-8,2-4,4-8,8-11,0.018226452383061087,0.2008354293303458,0.9543875717944716,0.19167483772888894,0.9577597452826717,0.9518892181138823,0.9676053857658121,0.35374710218101535,Fz
development,c4,93,162,164,3,11,1,3-11,1-3,1-11,2-11,0.00641795375279508,0.0739227460947092,0.9905699791338739,0.07322565305655475,0.9931815374941658,0.9917692333177252,0.9905965497353088,0.07990015686720535,I
development,c4,94,2,4,2,3,8,2-3,2-8,3-8,1-3,1.9690545171114954e-08,0.01164942355099748,0.9999504516062889,0.011648846340772867,0.9999503382079917,0.990676024964421,0.9978993093328544,2.4649163067333478e-05,I
development,c4,94,54,56,2,7,1,2-7,1-2,1-7,7-8,0.0006662819195455416,0.06749944668580993,0.9717285391147238,0.06559113871905427,0.9850055916024973,0.9882338895830725,0.9953649532375347,0.0056984419653089025,Fx
development,c4,94,64,66,7,1,9,1-7,7-9,1-9,0-1,3.546822903177649e-05,0.12685543665788884,0.9983358046126452,0.1266443244253419,0.9924476702392729,0.9972762496023675,0.9979096760640938,0.03768728163974071,I
development,c4,94,78,80,6,0,4,0-6,4-6,0-4,0-7,6.1241864098308604e-06,0.00832913995333473,0.9993444647595486,0.008323679908572667,0.9801162158546202,0.9898694374287245,0.9762149620118484,0.00012962080908228348,I
development,c4,94,150,152,9,11,10,9-11,9-10,10-11,8-11,0.002222291042850183,0.011472597774094108,0.989979694206267,0.011357638836149184,0.985060596151666,0.9891118396216739,0.9880947653979798,0.017291160135786954,Fz
development,c4,95,100,102,6,8,4,6-8,4-6,4-8,8-11,1.1710603215475679e-05,0.08649128247457911,0.9978834761701858,0.08630822161415047,0.995602426875429,0.9966152884257895,0.9987276712409983,0.0010810483473622646,Fz
opened_later_half,c2,1,414,416,8,5,9,5-8,8-9,5-9,5-10,0.0011636389836255923,0.11642664452242389,0.988909460299176,0.11513541019911423,0.9929444317101693,0.9888487106875061,0.9874366161932442,0.02971175971820758,Fz
