split,branch,seed,time,source_pair,endpoint,lag,weight,release,accumulation,rotation_error,no_rotation_error,angle_deg,spectrum_similarity
hidden,c4,22,326,"(0, 7)",7,2,0.00010613226458889603,0.006102907471358776,0.01739044301211834,0.03758983074449885,0.03758983074449885,0.0,0.9992932525663325
hidden,c4,22,326,"(1, 7)",1,2,0.0002637429037260098,0.009291195310652256,0.028386326506733894,0.028999337569363702,0.028999337569363702,0.0,0.9995794307710308
hidden,c4,22,328,"(1, 4)",4,2,0.00016941730532616175,0.0120155718177557,0.014099812135100365,0.008912083834339472,1.0,180.0,0.9999602865922873
hidden,c4,22,340,"(8, 10)",8,2,0.0022982250103811275,0.025773972272872925,0.08916844427585602,0.03287933899461119,1.0,180.0,0.9994593283707334
hidden,c4,22,352,"(0, 2)",0,2,0.0001520898879335368,0.012359635904431343,0.012305369600653648,0.005327455984803247,0.005327455984803247,0.0,0.9999858090056728
hidden,c4,22,356,"(0, 6)",0,2,8.055776331496872e-05,0.0026220418512821198,0.030723294243216515,0.06094000787512677,1.0,180.0,0.9981414305799453
hidden,c4,22,360,"(1, 8)",8,2,0.0038944611931661655,0.05435991287231445,0.07164215296506882,0.07763531801337711,0.07763531801337711,0.0,0.9969818240053135
hidden,c4,22,374,"(0, 9)",9,2,0.00021318486184696006,0.007131602615118027,0.02989298105239868,0.06683542325422849,1.0,180.0,0.9977640132809099
hidden,c4,22,386,"(1, 3)",1,2,0.0017045555628748127,0.05526553839445114,0.030843010172247887,0.07196389296584536,1.0,180.0,0.9974072378468087
hidden,c4,22,390,"(0, 7)",7,2,1.4071288839012652e-05,0.0011560022830963135,0.01217237114906311,0.06986480678751096,0.06986480678751096,0.0,0.9975564689643107
hidden,c4,22,394,"(1, 11)",1,2,0.0013500703491756694,0.02541663497686386,0.05311758816242218,0.07959104939196078,1.0,180.0,0.9968276003686326
hidden,c4,22,420,"(2, 5)",2,2,0.0001313161924095807,0.010021265596151352,0.013103753328323364,0.03648784562590667,1.0,180.0,0.9993340968472856
hidden,c4,22,424,"(2, 9)",2,2,1.8912362901007257e-06,0.0029748608358204365,0.0006357394158840179,0.02342768655457139,1.0,180.0,0.9997255340855813
hidden,c4,22,430,"(5, 7)",7,2,7.237196510918864e-05,0.013718854635953903,0.005275364965200424,0.030529260722198102,0.030529260722198102,0.0,0.9995338734829131
hidden,c4,22,454,"(3, 8)",3,2,0.0003926324089670863,0.021805182099342346,0.018006380647420883,0.03674329435151611,0.03674329435151611,0.0,0.9993247371701542
hidden,c4,22,462,"(5, 11)",11,2,1.6650519068985709e-06,0.00014815013855695724,0.011238949373364449,0.026961487390998694,1.0,180.0,0.999636473022901
