condition,state,wait_index,wait_us,a_x,a_y,a_z,b_x,b_y,b_z,u,v,radius,transverse_radius,k,q8_h_linear,purity,i_child_a,i_child_b,i_relation,i_relation_core,i_relation_off,i_unresolved_to_pure,i_unresolved_half_scale,information3_sum,rho_reconstruction_fro_error,purity_closure_abs_error
Ramsey,Psi-plus,8,32.02,-0.003455965208398623,0.06470123219527119,0.0976101652698968,0.039969768139595116,0.07492398009817242,-0.10532025635028425,-0.015532816875423145,-0.1287180018133086,0.12965181213888355,0.11664213427976228,0.899752907435819,0.9705952804252974,0.4869662759251975,0.013725937507124624,0.01830354155657392,0.9158356246370932,0.8431744792210023,0.07266114541609092,2.0521348962992083,1.0260674481496042,3.0,4.047672751052631e-16,1.887379141862766e-15
Ramsey,Psi-plus,9,36.02,0.018428485159348203,0.12767464002169918,-0.05935040794131902,-0.013045412884796038,0.13261434097328664,0.07200717774663057,0.000705845317649726,5.3767990665372356e-05,0.0007078902522766041,0.038884868937812164,0.9030380468713883,1.096254062876335,0.4678431895425159,0.02016289369273977,0.022941779876148784,0.8282680846011745,0.8154787163145103,0.012789368286664216,2.128627241829937,1.0643136209149684,3.0,1.1665975070960928e-16,5.551115123125783e-16
Ramsey,Psi-plus,10,40.02,-0.10847001274601072,-0.01184361563832546,-0.03809334759447558,0.16054199432913907,0.12623521083544886,0.03702743613111714,-0.02495477875080778,-0.028629692553069207,0.03797894519579281,0.05304593692298479,0.8373992562517729,1.1246217985524343,0.44308611670061304,0.013357118027461652,0.04308009142429151,0.7159072573506995,0.7041223149273925,0.011784942423306966,2.2276555331975474,1.1138277665987737,3.0,2.09578719802802e-16,4.440892098500626e-16
Ramsey,Psi-minus,0,0.02,-0.030278761396329894,0.15545277800850335,0.07902270653905219,0.04558372442543871,-0.1438475541546412,-0.07915164054006574,-0.9609464025654291,0.03784663707649695,0.9616914040072521,0.9425738560626473,0.9555178599681059,0.08279073602464193,0.9575674824713446,0.03132695773101406,0.029034976968950552,2.769907995185412,2.7627150938009084,0.0071929013845037915,0.16973007011462338,0.08486503505731169,3.0,3.485159409162322e-16,1.7763568394002505e-15
Ramsey,Psi-minus,1,4.02,0.01524584388856022,-0.0717218360039196,-0.12266912351111281,-0.05826256089668899,-0.016484196931728944,0.13329044597450224,-0.6881051760558841,0.5930804972011853,0.9084234747491416,0.9111692430175262,0.9649173568545671,0.12665916839629132,0.9185267038532972,0.020424171378632137,0.021432597738806115,2.6322500462957503,2.5815319245098127,0.0507181217859376,0.3258931845868118,0.1629465922934059,3.0000000000000004,1.3876417664385663e-16,0.0
Ramsey,Psi-minus,2,8.02,-0.11097950033429241,0.07543259277563803,0.041830753791365916,0.10785481136453351,0.12077047506168925,-0.0342915366299229,-0.07639709309117897,0.8426483362847295,0.8461044465526728,0.804065067542769,0.883571388704253,0.2703241647430741,0.826229680336187,0.01975633751005832,0.027394077465546555,2.257768306369144,2.212483867889172,0.04528443847997199,0.6950812786552514,0.3475406393276257,3.0,4.001161414229486e-17,4.440892098500626e-16
Ramsey,Psi-minus,3,12.02,0.06446658126646174,0.30021309492499826,0.03669364881739784,0.09709644569209472,0.11911211850249642,-0.028382132660080328,0.4289576442020044,0.3492068630342608,0.5531275564547136,0.5531905977587999,0.9201358143216221,0.5267366292236644,0.6451373104191325,0.09563026632816585,0.024420961994525047,1.4604980133538388,1.4585501042164393,0.001947909137399506,1.4194507583234706,0.7097253791617353,3.0,1.4854440264835066e-16,2.220446049250313e-16
Ramsey,Psi-minus,4,16.02,0.001998439039162969,0.045375526729355284,0.1152736839046773,0.03388390644935785,0.04952126179268097,-0.1071753233455277,0.5033651130797485,-0.1170110765632763,0.5167862508854941,0.5142694942148758,0.9375444976069642,0.5456692515075416,0.6253847494140652,0.015350954385515144,0.015087024420026495,1.4711010188507188,1.4131257432016646,0.05797527564905414,1.4984610023437397,0.7492305011718698,3.0,1.0393331904264562e-16,4.440892098500626e-16
Ramsey,Psi-minus,5,20.02,-0.009803178431199627,0.0906057412507152,0.003748900779910913,0.07665663674081402,0.12375579128441494,-2.1901227664766765e-08,0.17303937178601778,-0.3144315906814015,0.35890089078537557,0.36319750900424963,0.8524982184246499,0.7886008907899745,0.509359705589508,0.008319556912003109,0.021191735832845268,1.0079275296131827,0.9843729112302744,0.023554618382908288,1.9625611776419691,0.9812805888209846,3.0,2.60991582710955e-16,1.1102230246251565e-15
Ramsey,Psi-minus,6,24.02,-0.015596728803713504,0.021912216601199297,0.054777922747780206,0.06304872422949197,0.12616873612867335,-0.07042569425314144,-0.14644215854048198,-0.15125664547684953,0.2105323694800992,0.21978552251541078,0.8864542059231475,0.9030134245967533,0.48754473112236807,0.0037240240063162364,0.02485347001431029,0.9216014304688437,0.8744488163966481,0.04715261407219562,2.04982107551053,1.024910537755265,3.0,6.266221844949444e-16,2.1094237467877974e-15
