split,branch,branch_index,seed,events,weight,trials,q28_fit_error,residual_fraction,residual_component_entropy,residual_largest_axis_share,residual_effective_dimension,child_weight_entropy,strongest_child_weight_share,positive_child_count,origin_exact_error,origin_seed_error,origin_time_error,origin_exact_is_local,origin_seed_is_local,origin_time_is_local,origin_exact_is_strongest_child,origin_seed_is_strongest_child,origin_time_is_strongest_child,origin_exact_shares_endpoint,origin_seed_shares_endpoint,origin_time_shares_endpoint,origin_exact_is_active,origin_seed_is_active,origin_time_is_active,optimal_exact_error,optimal_seed_error,optimal_time_error,path_partner_persistence,seed_path_partner_persistence,time_path_partner_persistence,path_flip_persistence,seed_path_flip_persistence,time_path_flip_persistence,path_adjacency_share,seed_path_adjacency_share,time_path_adjacency_share,path_self_return,seed_path_self_return,time_path_self_return,modal_partner_concentration,partner_entropy,source_endpoint_groups,seed_modal_partner_concentration,seed_partner_entropy,time_modal_partner_concentration,time_partner_entropy
development,c2,0,10,154,0.17115764057907637,1,0.11277825070078548,0.11277825070078588,0.18963965935778745,0.9527973999711111,1.1039220338436617,0.0,1.0,1.0,0.8821955895839331,0.9050165648970899,0.9069887546661554,0.041495419677024734,0.00030760665772596824,0.015976144207820463,0.041495419677024734,0.00030760665772596824,0.015976144207820463,0.5148807102294026,0.2760627321371719,0.25787418581093174,0.09485038226324803,0.023878101160780908,0.04800827228585152,0.8341162206413792,0.8276342372591583,0.8884908865895301,0.5273388401019783,0.4936170704229736,0.5321604748449765,0.8348239922040712,0.8019989229490493,0.8555466189646963,0.9278620258523363,0.9058788667757044,0.9380503187471977,0.01605095639509758,0.019297555906051853,0.005038893468695055,0.7423211065826778,0.48769879454495435,55,0.7423032982023274,0.483750725136155,0.7422357162828009,0.4840341160055881
opened_later_half,c2,0,10,173,0.19572874521791583,1,0.1078817771756829,0.10788177717568322,0.2395923178650041,0.9312255643129843,1.1629665432209895,0.0,1.0,1.0,0.8577680303328389,0.856271199350992,0.8692415379442033,0.30511300979562817,0.02474982998428853,0.008168958519075556,0.30511300979562817,0.02474982998428853,0.008168958519075556,0.623638027970635,0.11730872122167577,0.08907066240351785,0.23833048154486647,0.06300244864629193,0.09360334988090063,0.7693690822603542,0.7979627018123268,0.8341055315117692,0.5535947797713958,0.5786518040825521,0.4950639278943714,0.900582625216286,0.8413027645652325,0.8242563307526868,0.8525825752164536,0.9209638632553695,0.9205659780756474,0.036979494305800026,0.06790404147491638,0.029845651202681706,0.8033607587250772,0.3706993799835376,58,0.8088166882543871,0.3605430945812156,0.8186393141687264,0.3543963523921263
development,c2,0,11,224,0.23242741649537255,1,0.08355085254573813,0.08355085254574296,0.15669029883915206,0.9624472307736758,1.0815396060600473,0.0,1.0,1.0,0.9124522014621803,0.9097738285387631,0.8732883499555516,0.0,0.04800165620023203,0.0026606278665447674,0.0,0.04800165620023203,0.0026606278665447674,0.5621373347323109,0.32318638496609914,0.10514814406907201,0.19881522854727168,0.1050622067333543,0.10670764140129108,0.8858898316503387,0.8509625208857242,0.8290355329849658,0.5924405636225968,0.6013368932780918,0.6011525025901493,0.8200922175404989,0.8617038715700325,0.8237305742757354,0.9436271596954228,0.9441749684624874,0.9176962355703968,0.005184054030470789,0.02043682103894841,0.03271903740950873,0.7935762440669833,0.3610469340624897,68,0.7929737423109661,0.3627423530612548,0.7912752912633532,0.370315026164618
opened_later_half,c2,0,11,195,0.18837973150621135,1,0.10203497411411738,0.10203497411411801,0.2212914973369922,0.9396140360673465,1.139955320972436,0.0,1.0,1.0,0.9031217282068762,0.8994795625287191,0.9046902614181683,0.1086260500647432,2.12790505582833e-05,0.0014123835403991407,0.1086260500647432,2.12790505582833e-05,0.0014123835403991407,0.5006184984575113,0.2494415550568499,0.1852356277664545,0.11596887861019202,0.0718234667989317,0.20075205884852426,0.8140377627946963,0.8674116460234402,0.8710981219607031,0.520674821328079,0.4992178895391272,0.49772518638030105,0.7500172956869975,0.7825496495450492,0.795688297262217,0.8138321203016644,0.8589597785489633,0.8490270873843936,0.0013899879841983416,0.06339228288290033,0.0096794308552251,0.8521939846300434,0.3336467792383544,69,0.8486263169101212,0.3393813595322416,0.848561029289055,0.338186730900672
development,c2,0,12,176,0.19641571921189513,1,0.09672351330163079,0.09672351330163231,0.2715985225397645,0.9175049465134355,1.2031868117877798,0.0,1.0,1.0,0.9087735803071197,0.9135760836992106,0.8967579345978864,0.13605758685702476,0.029177102426710493,0.0005839016442204833,0.13605758685702476,0.029177102426710493,0.0005839016442204833,0.3480849912726447,0.12437320279044814,0.09990491412517145,0.17984862144022123,0.06344388651643355,0.25947117536766706,0.8770317147286938,0.8964510281914544,0.8725083991679566,0.4394577680842662,0.4748678520841978,0.5355052342727983,0.7632593971380159,0.7449419413688955,0.8176027167488527,0.8339697188693822,0.9324005196399726,0.9582886532319972,0.11686048282231247,0.31279375395050085,0.045624951415417496,0.7880026873357432,0.42448470882427236,53,0.786102848764414,0.44241517517362555,0.786841959620031,0.43363445596011946
opened_later_half,c2,0,12,192,0.17560756328143345,1,0.11334268427641175,0.11334268427641182,0.18828237709187737,0.9523670365243572,1.1055052654062962,0.0,1.0,1.0,0.934092267790137,0.9211063215219569,0.9239458785684272,0.09836116893934004,0.0,9.494916154685462e-06,0.09836116893934004,0.0,9.494916154685462e-06,0.5557685568709361,0.2471559607101878,0.23496639695003002,0.11051790554012934,0.0,0.04104817460017662,0.8306447628813249,0.8841069515738856,0.8870196877079366,0.5155476344185351,0.560259710287624,0.48778788936520306,0.8422012373592932,0.8266643399011624,0.8640755517724615,0.8850285480068286,0.8847019511213592,0.9045105122459061,0.005940592041448942,0.016468815496241997,0.033867386202922845,0.7605728257036254,0.3960224728955361,59,0.7889565156782928,0.37887761239188306,0.7612886251238755,0.3960051436296515
development,c2,0,13,229,0.23176394056513402,1,0.11671148787542368,0.116711487875427,0.21107202143393095,0.9401303793119528,1.1452177361811127,0.0,1.0,1.0,0.8873647501001007,0.8910331572681296,0.881227603591986,0.10127269428501263,0.1100489665792751,0.0074452954203704635,0.10127269428501263,0.1100489665792751,0.0074452954203704635,0.5807343380595891,0.3682600125213381,0.10635617398213856,0.1041201345997745,0.11091015085621284,0.11986992246193855,0.8598924262901795,0.8356045208754135,0.8490170398221439,0.517966161881034,0.5053993555755143,0.5314905517988864,0.8450382483310048,0.891465749431915,0.824416796383018,0.9325803785814366,0.9056544981587343,0.9377087068993496,0.015077682015263846,0.017536141324324572,0.025511164901255306,0.7809412636392261,0.35847550949107276,69,0.7766276719597754,0.35092119278054545,0.7831292342470655,0.3325782057730602
opened_later_half,c2,0,13,205,0.24139217985453668,1,0.10355404183619639,0.10355404183619246,0.25032759105103564,0.9313498580556712,1.1573273850692984,0.0,1.0,1.0,0.9050979700688478,0.9011452246248098,0.9060747918220907,0.08720447877140775,0.003006853839404009,0.012203878878465208,0.08720447877140775,0.003006853839404009,0.012203878878465208,0.46822431061428627,0.0878707571453493,0.06907658338437084,0.07120703106795495,0.3526449886773829,0.18840943946922029,0.8493565478713108,0.8183700425202463,0.8417989643032209,0.4933839290364886,0.42704434471342806,0.5116844815600763,0.7854677492098678,0.780095036100119,0.8133887323532416,0.8842102375646603,0.7824007155113335,0.8234252194240526,0.03782363940220798,0.06803718819897209,0.016923675481569898,0.8435025996642622,0.29597436833527374,68,0.8432921672898374,0.2983860301135233,0.8432501821298202,0.29670391156301285
development,c2,0,14,156,0.15124653202232552,1,0.1230896612249366,0.1230896612252566,0.2412577061225475,0.9292041355980575,1.1711501611346389,0.0,1.0,1.0,0.9205893690782312,0.914128857686323,0.9120618359431754,0.025044127323786285,0.044718004065237224,0.0005164219983511795,0.025044127323786285,0.044718004065237224,0.0005164219983511795,0.26017900900210045,0.16125134505539565,0.08561820422600223,0.1271729439133198,0.11948179326796836,0.11632695639722691,0.895891138515539,0.8760303457091664,0.890554924112839,0.5099771800996108,0.47395593020540344,0.5791927756823669,0.8184771335204544,0.8274717250557788,0.8493269530159823,0.8450250143499316,0.918303810221116,0.9134862375556372,0.012129138361724034,0.050828960166812154,0.006445037841113991,0.7815467773717895,0.41075516194918354,57,0.7815550859007642,0.41098074549918606,0.7815655221370065,0.4130678297780013
opened_later_half,c2,0,14,146,0.15167885270034193,1,0.11115234868321433,0.11115234868321218,0.18555707523737566,0.948456101525451,1.1212678495559416,0.0,1.0,1.0,0.8286121975094172,0.8947181920449393,0.9053954608652115,0.035115626241755925,0.00016549304140881644,0.0,0.035115626241755925,0.00016549304140881644,0.0,0.4832355880675192,0.07128046654424257,0.030209529722292867,0.032262954820915034,0.09528761191968667,0.032397674622405226,0.7552026951119988,0.7201315734035304,0.7845782598933998,0.4844386719257501,0.5023183090132813,0.4990866701310487,0.701618072711843,0.7901960098467568,0.7459199152790112,0.8035132247542808,0.8940106543584129,0.8436483067243008,0.00030247013240154957,0.08019278881646004,0.12141259294658482,0.8428981364868613,0.3112759480441385,53,0.8511916893467458,0.2911881789139344,0.8394395024122809,0.3006388681732933
