branch,branch_label,exact_flow_mean,exact_positive_fraction,n_events,seed,seed_flow_mean,seed_positive_fraction,sibling_flow_mean,sibling_positive_fraction,time_flow_mean,time_positive_fraction,topology_flow_mean,topology_positive_fraction
0,c2,0.004174590555497194,0.5846153846153846,65,63,0.03283678504521079,0.6349206349206349,0.0025418813560203124,0.5538461538461539,0.014677932525766995,0.47619047619047616,0.0010737620245216749,0.4153846153846154
0,c2,0.0052592470476255995,0.5217391304347826,46,64,0.012774551134339018,0.5434782608695652,0.03168243970041725,0.5652173913043478,0.019444578914224974,0.5,0.016448981945489313,0.34782608695652173
0,c2,0.04514454571734194,0.6557377049180327,61,65,0.02348746299126888,0.5333333333333333,-0.09323523948132718,0.4262295081967213,0.035133660048302914,0.576271186440678,0.031675940492247985,0.5737704918032787
0,c2,0.07460828016063313,0.6875,64,66,-0.0008781552733140121,0.47619047619047616,-0.028964103165907973,0.5,-0.0017181596577844423,0.4918032786885246,0.028508489099929413,0.578125
0,c2,-0.005707826715437295,0.5333333333333333,45,67,0.010416831170746783,0.6,0.05436370721413807,0.6222222222222222,0.0013852376372835487,0.5,0.006798747456910676,0.4444444444444444
0,c2,0.016613848986958397,0.525,40,68,-0.002863391506229703,0.5277777777777778,-0.06799464875179898,0.525,0.038023269425171285,0.5945945945945946,0.011926047921711539,0.625
0,c2,0.024472013129129205,0.6428571428571429,56,69,0.014276681696047842,0.48148148148148145,0.09564374541620783,0.6785714285714286,0.018548416303221876,0.5849056603773585,0.016790282829992176,0.5178571428571429
0,c2,0.04739869150428141,0.6888888888888889,45,70,0.02663969381127493,0.6046511627906976,0.00918817656237285,0.5777777777777777,0.004632380778843654,0.5909090909090909,-0.0025720748611928867,0.4222222222222222
0,c2,0.06483749857956383,0.7090909090909091,55,71,0.018328871251140248,0.5384615384615384,0.041852190621315066,0.5818181818181818,0.019628970731317592,0.5,0.011130780726890013,0.5636363636363636
0,c2,0.06229631248860967,0.6666666666666666,51,72,0.01951461669798487,0.5510204081632653,-0.016897183763683116,0.5098039215686274,0.014350511382115861,0.5510204081632653,0.011870499197167853,0.5882352941176471
0,c2,0.035642404727390796,0.5517241379310345,58,73,0.02007939269130857,0.4909090909090909,0.06872390687663729,0.6896551724137931,0.03748479862814309,0.6538461538461539,0.026357665476360235,0.5862068965517241
0,c2,0.021778373437347093,0.5735294117647058,68,74,0.018647488616545645,0.5555555555555556,0.10897985912096053,0.6617647058823529,0.020395583920236778,0.578125,-0.006186796747923868,0.47058823529411764
0,c2,0.018160049187611375,0.5609756097560976,41,75,0.043732034334857485,0.6153846153846154,-0.0011763628993926684,0.6097560975609756,0.01835222320932354,0.5384615384615384,0.01698762267228147,0.5609756097560976
0,c2,0.06518329195434154,0.631578947368421,57,76,0.02984378377326084,0.5185185185185185,0.008235758301189947,0.543859649122807,0.03281959507888717,0.5892857142857143,-0.0014297801384384422,0.40350877192982454
0,c2,0.06273237426586985,0.6290322580645161,62,77,0.02598990421759745,0.6140350877192983,-0.037975343766985636,0.4838709677419355,0.055969161765804104,0.5862068965517241,-0.0019489414506893522,0.41935483870967744
0,c2,0.03814280221197339,0.6142857142857143,70,78,0.04070317864111308,0.5147058823529411,0.03707387167101107,0.6,0.03266590516452325,0.6086956521739131,-0.0035874677538995205,0.4714285714285714
0,c2,0.04017004599443729,0.6721311475409836,61,79,0.01643410844415291,0.5517241379310345,0.09316259553727821,0.7049180327868853,-0.0032694948585097862,0.4482758620689655,0.019453194391326714,0.5737704918032787
0,c2,0.04404435702636273,0.6885245901639344,61,80,0.05990772935402515,0.55,0.03867216112495041,0.5901639344262295,0.017934757934726306,0.5666666666666667,0.016015305511648953,0.5409836065573771
0,c2,0.06808391342960925,0.6666666666666666,63,81,0.01172697630668178,0.55,0.010274941444187165,0.5396825396825397,0.017776038587031764,0.5254237288135594,0.02056429538627655,0.5396825396825397
0,c2,0.06131148554778122,0.6323529411764706,68,82,0.006078840173023524,0.5846153846153846,-0.006424432099005284,0.5882352941176471,-0.025735498503511475,0.5161290322580645,0.004604316735033372,0.5735294117647058
0,c2,0.03551958806668635,0.5333333333333333,75,83,0.02024275020860169,0.6666666666666666,-0.021482262250126803,0.48,0.00020632157118148653,0.5070422535211268,0.003918279093711415,0.4533333333333333
