population,estimator,left,right,mid,events,movement,axial,perpendicular,balance,x,heading,mean_relative_movement
unrestricted,extrema,50,75,62.5,1662,105.74897470163606,65.09680231472117,-2.0430543956653646,0.6155785670583344,0.38442143294166564,0.48796329754356055,0.06362754193840918
unrestricted,extrema,75,100,87.5,1839,42.77280395551162,30.31694396553328,0.5735947892713561,0.7087901928773762,0.2912098071226238,0.49596755786041014,0.023258729720234704
unrestricted,extrema,100,125,112.5,1866,7.521854782657124,1.718353691862452,0.00041098256336066785,0.22844813433840808,0.771551865661592,0.49299478040990996,0.004031004706675844
unrestricted,extrema,125,150,137.5,1865,1.807761160747412,0.12702314339406753,-0.014414707539284685,0.07026544554234714,0.9297345544576529,0.47497259617776827,0.0009693089333766284
unrestricted,extrema,150,175,162.5,1873,0.8454905110967956,-0.838836464787341,-0.060826353447446566,-0.9921299574363965,1.9921299574363966,0.004477316398982367,0.0004514097763463938
unrestricted,extrema,175,200,187.5,1867,0.6729371783014234,-0.6652210579152694,-0.02250437844486279,-0.9885336690630908,1.9885336690630908,0.9983388621382158,0.0003604376959300607
unrestricted,extrema,200,225,212.5,1865,0.7254434716026494,-0.7163444231364853,-0.04340487760301368,-0.9874572605277396,1.9874572605277396,0.0025884856726087913,0.0003889777327628147
unrestricted,extrema,225,250,237.5,1870,0.6010499018853079,-0.5953054612358856,-0.022700507838146908,-0.9904426560400329,1.9904426560400328,0.9990227577477204,0.0003214170598317155
unrestricted,extrema,250,275,262.5,1865,0.55888096987664,-0.551835343378316,-0.04215875260680707,-0.9873933326091257,1.9873933326091255,0.005092156250817357,0.0002996680803628097
unrestricted,extrema,275,300,287.5,1865,0.6463617262918662,-0.6400351512039717,-0.03148977883647596,-0.9902120208691971,1.9902120208691971,0.0007808413633007635,0.00034657465216722045
unrestricted,extrema,300,325,312.5,1870,0.5591029121515847,-0.5540764037240975,-0.023333032000261857,-0.9910096901335324,1.9910096901335324,0.9996550231597958,0.000298985514519564
unrestricted,extrema,325,350,337.5,1863,0.5333911888151674,-0.5277103588235935,-0.03047529162877561,-0.9893495991109398,1.9893495991109398,0.0021377211147645112,0.0002863076697880663
unrestricted,extrema,350,375,362.5,1863,0.5945506327038619,-0.5882621324074442,-0.03217324978673755,-0.9894231038527043,1.9894231038527042,0.0016525582901413935,0.0003191361420847353
unrestricted,extrema,375,400,387.5,1869,0.5178640379777397,-0.512678990441134,-0.023137190155469122,-0.9899876277239613,1.9899876277239614,0.00013450321338500938,0.00027708081218712666
unrestricted,extrema,400,425,412.5,1861,0.49322317696629303,-0.4848689813937296,-0.01760883342085842,-0.983062037708876,1.983062037708876,0.998734155618468,0.0002650312611318071
unrestricted,extrema,425,450,437.5,1864,0.5246570881269421,-0.5170334046332097,-0.03724014876898114,-0.9854692070949628,1.9854692070949627,0.0044003395902624375,0.0002814683949178874
unrestricted,extrema,450,475,462.5,1682,3.2359433836693596,-0.35846704966503734,-0.6872415859869908,-0.11077667535040674,1.1107766753504067,0.16643819890472303,0.001923866458780832
unrestricted,extrema,475,500,487.5,31,0.8945201490774294,0.02108357077435767,-0.8806935434834933,0.023569699124276165,0.9764303008757238,0.24676611462859988,0.028855488679917076
