candidate,n,largest_gap,circular_star_discrepancy,union_coverage,overlap_loss,flat_mean,flat_p05,flat_min,beam7_mean,beam7_p05,beam7_min,beam7_cycle23_mean,beam7_cycle23_p05,beam7_cycle23_min,beam7_decay_mean,beam7_decay_p05,beam7_decay_min,largest_gap_rank,discrepancy_rank
phi_reverse,16,0.0901699437495,0.0625,0.0375,0,0.0375,0.0375,0.0375,0.0375,0.0360367969803,0.0360160047331,0.0370367901768,0.0349441544289,0.0348376970832,0.0394808419353,0.0379069654058,0.0378831931966,,
phi_reverse,17,0.0901699437495,0.0603712491172,0.03984375,0,0.03984375,0.03984375,0.03984375,0.03984375,0.037570106479,0.0375381733993,0.0395656300831,0.0368989256955,0.0367941840263,0.0402778614956,0.0381348336044,0.0381024340712,,
phi_reverse,18,0.0901699437495,0.0555555555556,0.0421875,0,0.0421875,0.0421875,0.0421875,0.0421875,0.0412901220617,0.0412775362664,0.0420902078668,0.0405852685201,0.040511841136,0.0421861591852,0.0409891625655,0.0409709989194,,
phi_reverse,19,0.0901699437495,0.0557280900008,0.04453125,0,0.04453125,0.04453125,0.04453125,0.04453125,0.0431896191099,0.0431705810089,0.0444289591302,0.0434219474546,0.0433959151811,0.0466738779217,0.0438255053745,0.0437861866974,,
phi_reverse,20,0.0901699437495,0.0516261237512,0.046875,0,0.046875,0.046875,0.046875,0.046875,0.044585234872,0.0445523640853,0.0464038145471,0.0440129724342,0.0439505624194,0.0477766747343,0.0450387448391,0.0450000365577,,
phi_reverse,21,0.0557280900008,0.047619047619,0.04921875,0,0.04921875,0.04921875,0.04921875,0.04921875,0.0481827523888,0.048167708802,0.0484954395888,0.045891358368,0.0457522460827,0.0504095980172,0.0490454675136,0.0490272348783,,
phi_reverse,22,0.0557280900008,0.0469328397738,0.0515625,0,0.0515625,0.0515625,0.0515625,0.0515625,0.0503492215576,0.0503315234316,0.050896790321,0.0488751157427,0.048809804977,0.0510832661559,0.0491671074698,0.0491408313497,,
phi_reverse,23,0.0557280900008,0.0466916828799,0.05390625,0,0.05390625,0.05390625,0.05390625,0.05390625,0.0516099125452,0.0515767955727,0.0534824728774,0.0514181318446,0.0513671318983,0.0526096382629,0.0511164367215,0.0510960489672,,
phi_reverse,24,0.0557280900008,0.0485032770828,0.05625,0,0.05625,0.05625,0.05625,0.05625,0.0550789127622,0.0550622173243,0.0559214603319,0.0534523870728,0.0533930540409,0.0562420831006,0.0543236717619,0.0542970996113,,
phi_reverse,25,0.0557280900008,0.0462379212493,0.05859375,0,0.05859375,0.05859375,0.05859375,0.05859375,0.0575126294136,0.0574973951914,0.0581886118958,0.0560601821432,0.0559529592606,0.0571750285423,0.0550999619629,0.0550712661827,,
