time_us,prompt_rate,delayed_rate,cumulative_ara
2.180499999999999883e+00,2.538017840516656312e-05,5.966590266916330793e-02,1.366749375733277372e+00
2.185500000000000220e+00,2.531521973707038443e-05,5.951283428272605841e-02,1.368616963675685749e+00
2.190500000000000114e+00,2.524901109158235262e-05,5.936010561562827387e-02,1.370479759704434253e+00
2.195500000000000007e+00,2.518507096305199711e-05,5.920786197540923307e-02,1.372337776551984634e+00
2.200499999999999901e+00,2.512069163843355408e-05,5.905601067480870797e-02,1.374191028605966425e+00
2.205499999999999794e+00,2.505784839545260564e-05,5.890460408869704900e-02,1.376039528517687183e+00
2.210500000000000131e+00,2.499445838733673294e-05,5.875360715587913535e-02,1.377883289892727792e+00
2.215500000000000025e+00,2.493327015223509223e-05,5.860307029030155379e-02,1.379722326174927627e+00
2.220499999999999918e+00,2.487233346893160467e-05,5.845294039480766757e-02,1.381556651068170050e+00
2.225499999999999812e+00,2.481333276414639179e-05,5.830323985872794962e-02,1.383386277304799794e+00
2.230500000000000149e+00,2.475373664459876950e-05,5.815397865525059190e-02,1.385211219543617478e+00
2.235500000000000043e+00,2.469671236972771617e-05,5.800514555363660979e-02,1.387031490352803376e+00
2.240499999999999936e+00,2.463929381244732544e-05,5.785669934777462609e-02,1.388847103511663406e+00
2.245499999999999829e+00,2.458312766308778504e-05,5.770872515403726449e-02,1.390658071702639553e+00
2.250500000000000167e+00,2.452681871542694756e-05,5.756111882137537883e-02,1.392464408166842027e+00
2.255500000000000060e+00,2.447241819314584883e-05,5.741399275856060025e-02,1.394266126664594596e+00
2.260499999999999954e+00,2.441841741685026303e-05,5.726727414922631182e-02,1.396063240795804017e+00
2.265499999999999847e+00,2.436555551847582914e-05,5.712101315521539435e-02,1.397855764428956871e+00
2.270500000000000185e+00,2.431298096531434353e-05,5.697516243872450398e-02,1.399643710905331462e+00
2.275500000000000078e+00,2.426221647606465278e-05,5.682975536977994541e-02,1.401427093810360347e+00
2.280499999999999972e+00,2.421229027725767634e-05,5.668471078931999058e-02,1.403205925825985023e+00
2.285499999999999865e+00,2.416290046929089847e-05,5.654016588854639258e-02,1.404980219814735642e+00
2.290500000000000203e+00,2.411590548623070593e-05,5.639593000971963171e-02,1.406749989248453181e+00
2.295500000000000096e+00,2.407039721895319650e-05,5.625220471864795374e-02,1.408515246322786574e+00
2.300499999999999989e+00,2.402551652612220886e-05,5.610882550686727144e-02,1.410276005608068539e+00
2.305499999999999883e+00,2.398200002394526069e-05,5.596593430149395670e-02,1.412032279804576573e+00
2.310500000000000220e+00,2.393935140991422140e-05,5.582340869905784431e-02,1.413784081741662257e+00
2.315500000000000114e+00,2.389785389615658418e-05,5.568132299683123398e-02,1.415531424299568020e+00
2.320500000000000007e+00,2.385739372513626691e-05,5.553964462838927724e-02,1.417274321198983111e+00
2.325499999999999901e+00,2.381779945600287206e-05,5.539839837579133008e-02,1.419012785246744679e+00
2.330499999999999794e+00,2.377895671559366792e-05,5.525752805007215496e-02,1.420746829314102344e+00
2.335500000000000131e+00,2.374076378532044104e-05,5.511704407750230711e-02,1.422476464421478015e+00
2.340500000000000025e+00,2.370442841328116416e-05,5.497698270962057820e-02,1.424201704780618805e+00
2.345499999999999918e+00,2.366943708401577701e-05,5.483732617994830499e-02,1.425922562527412785e+00
2.350499999999999812e+00,2.363584722510867902e-05,5.469811394324218534e-02,1.427639051676765414e+00
2.355500000000000149e+00,2.360345979177729480e-05,5.455928056779620755e-02,1.429351184023734067e+00
2.360500000000000043e+00,2.357178553156799014e-05,5.442087568354735810e-02,1.431058973494579112e+00
2.365499999999999936e+00,2.354113112110375511e-05,5.428291313271991353e-02,1.432762432630880989e+00
