pair,family,n_from,n_to,amplitude_floor,valid,q_real,q_imag,s,log_s,delta_rad,quadrant
control_e_vs_sqrt2,beam7_decay,981,982,2.80826745144e-10,True,1.08160660208,-0.263607287924,1.11326620532,0.10729822188,-0.239057762629,expanding_reverse
control_e_vs_sqrt2,beam7_decay,982,983,2.80826745144e-10,True,0.806144325562,-0.410860721827,0.904806723215,-0.100033923599,-0.471346897299,contracting_reverse
control_e_vs_sqrt2,beam7_decay,983,984,2.80826745144e-10,True,0.677737502928,-0.216053492708,0.711341854938,-0.340602156098,-0.30860167818,contracting_reverse
control_e_vs_sqrt2,beam7_decay,984,985,2.80826745144e-10,True,0.900118575267,-0.173649619053,0.916715680971,-0.0869579082688,-0.19057734574,contracting_reverse
control_e_vs_sqrt2,beam7_decay,985,986,2.80826745144e-10,True,-0.398286471931,-0.358688207157,0.535993790707,-0.62363270248,-2.40845806693,contracting_reverse
control_e_vs_sqrt2,beam7_decay,986,987,2.80826745144e-10,True,0.929294997771,-0.739760691491,1.18778578606,0.172090889914,-0.672324736193,expanding_reverse
control_e_vs_sqrt2,beam7_decay,987,988,2.80826745144e-10,True,1.48622227512,1.04046609881,1.81422885927,0.595660506511,0.610775864506,expanding_forward
control_e_vs_sqrt2,beam7_decay,988,989,2.80826745144e-10,True,0.508426363153,-0.6494555652,0.824796882825,-0.192618125596,-0.906600462608,contracting_reverse
control_e_vs_sqrt2,beam7_decay,989,990,2.80826745144e-10,True,0.750964529555,-0.120035895805,0.760497429931,-0.273782546735,-0.158501492394,contracting_reverse
control_e_vs_sqrt2,beam7_decay,990,991,2.80826745144e-10,True,0.917432015299,-0.679228708724,1.14150477066,0.132347366274,-0.637302021672,expanding_reverse
control_e_vs_sqrt2,beam7_decay,991,992,2.80826745144e-10,True,0.510258875491,-0.54112941764,0.743764187531,-0.296031246633,-0.814751424869,contracting_reverse
control_e_vs_sqrt2,beam7_decay,992,993,2.80826745144e-10,True,0.695530683414,-0.0174788223896,0.695750271866,-0.362764487823,-0.0251249078609,contracting_reverse
control_e_vs_sqrt2,beam7_decay,993,994,2.80826745144e-10,True,1.0057868849,-0.504311603429,1.12513885863,0.117906457931,-0.464774973858,expanding_reverse
control_e_vs_sqrt2,beam7_decay,994,995,2.80826745144e-10,True,0.223713364396,-0.304237205199,0.377634673245,-0.973828023595,-0.93675326067,contracting_reverse
control_e_vs_sqrt2,beam7_decay,995,996,2.80826745144e-10,True,-5.32716021749,3.06350440858,6.14521726583,1.81567409891,2.61970373966,expanding_forward
control_e_vs_sqrt2,beam7_decay,996,997,2.80826745144e-10,True,0.889039055412,0.0764475025327,0.892319820856,-0.113930667104,0.085777912239,contracting_forward
control_e_vs_sqrt2,beam7_decay,997,998,2.80826745144e-10,True,1.2688798375,0.00448641559875,1.26888776885,0.238140744201,0.00353571454982,expanding_forward
control_e_vs_sqrt2,beam7_decay,998,999,2.80826745144e-10,True,0.731831696588,-0.711746634257,1.02086282306,0.0206481746817,-0.771485675231,expanding_reverse
control_e_vs_sqrt2,beam7_decay,999,1000,2.80826745144e-10,True,0.950520064464,0.111034508218,0.956983309658,-0.0439693279549,0.116287454046,contracting_forward
control_e_vs_sqrt2,beam7_decay,1000,1001,2.80826745144e-10,True,1.01359144094,-0.577621993071,1.16662537947,0.154115290179,-0.517975346364,expanding_reverse
control_e_vs_sqrt2,beam7_decay,1001,1002,2.80826745144e-10,True,0.549978953429,-0.268349896986,0.611954668604,-0.491097070121,-0.453943109361,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1002,1003,2.80826745144e-10,True,0.667158382807,-0.628504356972,0.916579529819,-0.0871064398874,-0.755573608752,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1003,1004,2.80826745144e-10,True,0.950714402089,-0.501249943331,1.07476015,0.0720975204067,-0.485197501188,expanding_reverse
control_e_vs_sqrt2,beam7_decay,1004,1005,2.80826745144e-10,True,0.412997805443,-0.279098402303,0.498460736135,-0.696230456703,-0.594289888556,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1005,1006,2.80826745144e-10,True,0.475126589203,-0.590393174664,0.757832023906,-0.277293522243,-0.893157849594,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1006,1007,2.80826745144e-10,True,3.14036350645,-1.77106180724,3.6053492033,1.28241863242,-0.51350326121,expanding_reverse
control_e_vs_sqrt2,beam7_decay,1007,1008,2.80826745144e-10,True,0.468162237301,-0.770926158617,0.901944024025,-0.103202818467,-1.02504657004,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1008,1009,2.80826745144e-10,True,0.942029259856,-0.160052741983,0.955529176237,-0.0454899807214,-0.168294997682,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1009,1010,2.80826745144e-10,True,1.49685846795,-0.398472112239,1.54898847552,0.437602121462,-0.260171889458,expanding_reverse
control_e_vs_sqrt2,beam7_decay,1010,1011,2.80826745144e-10,True,0.612722014343,-0.239280136074,0.657786629828,-0.418874671022,-0.372307252092,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1011,1012,2.80826745144e-10,True,0.907067107195,0.0260174169389,0.907440159426,-0.0971276550437,0.0286751501381,contracting_forward
control_e_vs_sqrt2,beam7_decay,1012,1013,2.80826745144e-10,True,0.280204993398,-0.430946723507,0.514032991963,-0.665467828888,-0.994274921167,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1013,1014,2.80826745144e-10,True,-0.00374590729414,-0.0232132569811,0.0235135518611,-3.7501783491,-1.73078643505,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1014,1015,2.80826745144e-10,True,-60.5437362848,-8.53932238773,61.1429802199,4.11321505947,-3.00147306354,expanding_reverse
control_e_vs_sqrt2,beam7_decay,1015,1016,2.80826745144e-10,True,1.05649490435,0.688362250015,1.2609615657,0.231874577296,0.577466069988,expanding_forward
control_e_vs_sqrt2,beam7_decay,1016,1017,2.80826745144e-10,True,1.26876726118,-0.270826475167,1.2973501234,0.260323817555,-0.210300280584,expanding_reverse
control_e_vs_sqrt2,beam7_decay,1017,1018,2.80826745144e-10,True,0.575716962951,-0.316647267217,0.657050616974,-0.419994220887,-0.502847128384,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1018,1019,2.80826745144e-10,True,1.40320593721,0.029043600919,1.40350647771,0.338973732204,0.0206950766856,expanding_forward
control_e_vs_sqrt2,beam7_decay,1019,1020,2.80826745144e-10,True,0.72097707678,-0.906508466526,1.15825970539,0.146918624635,-0.898906940647,expanding_reverse
control_e_vs_sqrt2,beam7_decay,1020,1021,2.80826745144e-10,True,0.554527561279,-0.0239811575958,0.555045864896,-0.588704529198,-0.0432191760411,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1021,1022,2.80826745144e-10,True,1.25920482931,-0.163435989652,1.26976695691,0.238833385138,-0.129071452291,expanding_reverse
control_e_vs_sqrt2,beam7_decay,1022,1023,2.80826745144e-10,True,0.392490161212,-0.301509575207,0.494930854352,-0.703337214349,-0.655045530204,contracting_reverse
control_e_vs_sqrt2,beam7_decay,1023,1024,2.80826745144e-10,True,0.413742480515,0.876548950886,0.96928886483,-0.0311926053967,1.12978795215,contracting_forward
control_phi_time_vs_pi3,beam7,257,258,6.95763149054e-10,True,0.858849781885,-0.00992526162924,0.858907130406,-0.152094476457,-0.0115559438085,contracting_reverse
control_phi_time_vs_pi3,beam7,258,259,6.95763149054e-10,True,1.09936717416,-0.206997788919,1.11868506213,0.112153943899,-0.186109204068,expanding_reverse
control_phi_time_vs_pi3,beam7,259,260,6.95763149054e-10,True,1.10903904692,0.12564099111,1.11613317585,0.109870190039,0.11280720197,expanding_forward
control_phi_time_vs_pi3,beam7,260,261,6.95763149054e-10,True,0.86726837925,-0.00346023383143,0.867275282056,-0.142398841575,-0.00398978626886,contracting_reverse
control_phi_time_vs_pi3,beam7,261,262,6.95763149054e-10,True,1.0798475075,-0.196725330454,1.09762083394,0.0931449591708,-0.180202562615,expanding_reverse
control_phi_time_vs_pi3,beam7,262,263,6.95763149054e-10,True,1.10898654933,0.110883928175,1.11451622336,0.108420430363,0.0996555044798,expanding_forward
control_phi_time_vs_pi3,beam7,263,264,6.95763149054e-10,True,0.874064579498,0.00235091142404,0.874067741034,-0.134597399426,0.00268962478321,contracting_forward
control_phi_time_vs_pi3,beam7,264,265,6.95763149054e-10,True,1.06330853222,-0.188434731246,1.07987623487,0.0768464372268,-0.175394501216,expanding_reverse
control_phi_time_vs_pi3,beam7,265,266,6.95763149054e-10,True,1.10897291618,0.0982968901824,1.11332080168,0.10734726228,0.0884067295513,expanding_forward
control_phi_time_vs_pi3,beam7,266,267,6.95763149054e-10,True,0.879594485376,0.00770497671606,0.87962823134,-0.12825592516,0.00875946789112,contracting_forward
control_phi_time_vs_pi3,beam7,267,268,6.95763149054e-10,True,1.04892082421,-0.18168453184,1.06453941429,0.0625422307709,-0.171509214715,expanding_reverse
control_phi_time_vs_pi3,beam7,268,269,6.95763149054e-10,True,1.1090920295,0.087388397445,1.11252948811,0.106636240871,0.0786302862714,expanding_forward
