event,time_s,ridge_frequency_hz,median_excess_frequency_hz,centroid_excess_frequency_hz,h1_l1_lag_ms,h1_l1_activity_corr
GW170809,-0.08442378044128418,64.0,88.0,210.13356228039964,-8.0,0.2874623887599221
GW170809,-0.08051753044128418,64.0,88.0,196.704874091407,-8.0,0.2874623887599221
GW170809,-0.07661128044128418,64.0,88.0,188.00669280193455,-8.0,0.2874623887599221
GW170809,-0.07270503044128418,64.0,96.0,184.0017155475534,-8.0,0.2874623887599221
GW170809,-0.06879878044128418,72.0,104.0,183.5369006870342,-8.0,0.2874623887599221
GW170809,-0.06489253044128418,72.0,112.0,184.80115271795145,-8.0,0.2874623887599221
GW170809,-0.06098628044128418,72.0,128.0,186.7001647659785,-8.0,0.2874623887599221
GW170809,-0.05708003044128418,72.0,176.0,189.4157281730307,-8.0,0.2874623887599221
GW170809,-0.05317378044128418,104.0,184.0,193.39442099439927,-8.0,0.2874623887599221
GW170809,-0.04926753044128418,208.0,192.0,199.45157246495467,-8.0,0.2874623887599221
GW170809,-0.04536128044128418,208.0,200.0,208.06045733996555,-8.0,0.2874623887599221
GW170809,-0.04145503044128418,208.0,200.0,218.33623652342447,-8.0,0.2874623887599221
GW170809,-0.03754878044128418,208.0,208.0,228.9882309381539,-8.0,0.2874623887599221
GW170809,-0.03364253044128418,216.0,216.0,239.4332066578671,-8.0,0.2874623887599221
GW170809,-0.02973628044128418,216.0,224.0,250.3204443151463,-8.0,0.2874623887599221
GW170809,-0.02583003044128418,216.0,232.0,262.5321843030193,-8.0,0.2874623887599221
GW170809,-0.02192378044128418,224.0,256.0,275.59427092998794,-8.0,0.2874623887599221
GW170809,-0.01801753044128418,264.0,264.0,287.3205921998603,-8.0,0.2874623887599221
GW170809,-0.01411128044128418,264.0,272.0,295.00530636574484,-8.0,0.2874623887599221
GW170809,-0.01020503044128418,264.0,272.0,297.6171165018414,-8.0,0.2874623887599221
GW170809,-0.00629878044128418,264.0,272.0,297.8835091454675,-8.0,0.2874623887599221
GW170809,-0.0023925304412841797,256.0,280.0,298.9981936059055,-8.0,0.2874623887599221
GW170809,0.0015137195587158203,256.0,296.0,300.5176952975901,-8.0,0.2874623887599221
GW170809,0.00541996955871582,424.0,304.0,301.15586867639564,-8.0,0.2874623887599221
GW170809,0.00932621955871582,424.0,304.0,299.00200097150196,-8.0,0.2874623887599221
GW170809,0.01323246955871582,424.0,304.0,293.3830092823315,-8.0,0.2874623887599221
GW170809,0.01713871955871582,424.0,304.0,286.8766452857739,-8.0,0.2874623887599221
GW170809,0.02104496955871582,424.0,304.0,281.3079407231256,-8.0,0.2874623887599221
GW170809,0.02495121955871582,424.0,312.0,277.13430191313773,-8.0,0.2874623887599221
GW170809,0.02885746955871582,64.0,312.0,274.76802654833136,-8.0,0.2874623887599221
GW170809,0.03276371955871582,64.0,304.0,272.1324412029284,-8.0,0.2874623887599221
GW170809,0.03666996955871582,64.0,264.0,269.9185911794698,-8.0,0.2874623887599221
GW170809,0.04057621955871582,208.0,256.0,269.90018381679045,-8.0,0.2874623887599221
GW170809,0.04448246955871582,208.0,256.0,272.83980958059055,-8.0,0.2874623887599221
GW170809,0.04838871955871582,208.0,264.0,277.42753491578117,-8.0,0.2874623887599221
GW170814,-0.249267578125,312.0,312.0,312.0,0.0,0.6891250092203417
GW170814,-0.245361328125,312.0,312.0,312.0,0.0,0.6891250092203417
GW170814,-0.241455078125,312.0,312.0,312.0,0.0,0.6891250092203417
GW170814,-0.237548828125,312.0,312.0,312.0,0.0,0.6891250092203417
GW170814,-0.233642578125,312.0,312.0,312.0,0.0,0.6891250092203417
GW170814,-0.229736328125,496.0,328.0,308.0824082980075,0.0,0.6891250092203417
GW170814,-0.225830078125,432.0,320.0,303.28012251935394,0.0,0.6891250092203417
GW170814,-0.221923828125,432.0,320.0,298.1265557569591,0.0,0.6891250092203417
GW170814,-0.218017578125,440.0,440.0,438.4351972518037,0.0,0.6891250092203417
GW170814,-0.214111328125,440.0,440.0,439.81383103336697,0.0,0.6891250092203417
GW170814,-0.210205078125,440.0,440.0,440.467879687225,0.0,0.6891250092203417
GW170814,-0.206298828125,440.0,440.0,440.7711599000759,0.0,0.6891250092203417
GW170814,-0.202392578125,440.0,440.0,440.8573896213803,0.0,0.6891250092203417
GW170814,-0.198486328125,440.0,440.0,440.7801199236089,0.0,0.6891250092203417
GW170814,-0.194580078125,440.0,440.0,440.69214053936474,0.0,0.6891250092203417
GW170814,-0.190673828125,440.0,440.0,440.63155429627574,0.0,0.6891250092203417
GW170814,-0.186767578125,440.0,440.0,440.6159705074088,0.0,0.6891250092203417
GW170814,-0.182861328125,440.0,440.0,440.71188683824965,0.0,0.6891250092203417
GW170814,-0.178955078125,440.0,440.0,440.75157567521603,0.0,0.6891250092203417
GW170814,-0.175048828125,440.0,440.0,440.6787937400434,0.0,0.6891250092203417
GW170814,-0.171142578125,440.0,440.0,440.4742805221835,0.0,0.6891250092203417
GW170814,-0.167236328125,440.0,440.0,440.15838812665515,0.0,0.6891250092203417
GW170814,-0.163330078125,440.0,440.0,439.91982003220676,0.0,0.6891250092203417
GW170814,-0.159423828125,440.0,440.0,439.7408125752319,0.0,0.6891250092203417
GW170814,-0.155517578125,440.0,440.0,440.0,0.0,0.6891250092203417
GW170814,-0.151611328125,424.0,288.0,290.3131881192129,0.0,0.6891250092203417
GW170814,-0.147705078125,424.0,304.0,294.94926333583754,0.0,0.6891250092203417
GW170814,-0.143798828125,424.0,320.0,298.963124328487,0.0,0.6891250092203417
GW170814,-0.139892578125,424.0,320.0,301.9185904973181,0.0,0.6891250092203417
GW170814,-0.135986328125,424.0,328.0,303.42391865979266,0.0,0.6891250092203417
GW170814,-0.132080078125,408.0,328.0,303.8087835738544,0.0,0.6891250092203417
GW170814,-0.128173828125,432.0,328.0,303.95444615574246,0.0,0.6891250092203417
GW170814,-0.124267578125,432.0,328.0,304.9783566846554,0.0,0.6891250092203417
GW170814,-0.120361328125,432.0,328.0,307.0118912472263,0.0,0.6891250092203417
GW170814,-0.116455078125,232.0,328.0,310.16500576157154,0.0,0.6891250092203417
GW170814,-0.112548828125,480.0,480.0,480.0,0.0,0.6891250092203417
GW170814,-0.108642578125,480.0,480.0,480.0,0.0,0.6891250092203417
GW170814,-0.104736328125,320.0,328.0,369.48661521261704,0.0,0.6891250092203417
GW170814,-0.100830078125,320.0,328.0,350.3754423765118,0.0,0.6891250092203417
GW170814,-0.096923828125,320.0,328.0,350.3754423765118,0.0,0.6891250092203417
GW170814,-0.093017578125,320.0,328.0,350.3754423765118,0.0,0.6891250092203417
GW170814,-0.089111328125,320.0,328.0,350.3754423765118,0.0,0.6891250092203417
GW170814,-0.085205078125,320.0,328.0,350.3754423765118,0.0,0.6891250092203417
GW170814,-0.081298828125,320.0,328.0,350.3754423765118,0.0,0.6891250092203417
GW170814,-0.077392578125,320.0,320.0,322.2816996327144,0.0,0.6891250092203417
GW170814,-0.073486328125,496.0,488.0,445.2905156895796,0.0,0.6891250092203417
GW170814,-0.069580078125,488.0,488.0,472.6988715190706,0.0,0.6891250092203417
GW170814,-0.065673828125,488.0,488.0,491.5393841880486,0.0,0.6891250092203417
GW170814,-0.061767578125,488.0,488.0,367.5663179148565,0.0,0.6891250092203417
GW170814,-0.057861328125,168.0,176.0,312.100983950587,0.0,0.6891250092203417
GW170814,-0.053955078125,168.0,176.0,313.78502127744264,0.0,0.6891250092203417
GW170814,-0.050048828125,168.0,224.0,319.6744336454567,0.0,0.6891250092203417
GW170814,-0.046142578125,224.0,232.0,333.25073830409724,0.0,0.6891250092203417
GW170814,-0.042236328125,224.0,240.0,340.97802742489574,0.0,0.6891250092203417
GW170814,-0.038330078125,472.0,232.0,336.4122924211504,0.0,0.6891250092203417
GW170814,-0.034423828125,472.0,232.0,336.13244648937945,0.0,0.6891250092203417
GW170814,-0.030517578125,472.0,232.0,330.0439128123487,0.0,0.6891250092203417
GW170814,-0.026611328125,480.0,232.0,317.6725754573888,0.0,0.6891250092203417
GW170814,-0.022705078125,480.0,232.0,302.91684127554555,0.0,0.6891250092203417
GW170814,-0.018798828125,480.0,232.0,288.2813619103481,0.0,0.6891250092203417
GW170814,-0.014892578125,480.0,232.0,281.88034179659576,0.0,0.6891250092203417
GW170814,-0.010986328125,480.0,224.0,265.93252620652277,0.0,0.6891250092203417
GW170814,-0.007080078125,64.0,104.0,227.95549337474594,0.0,0.6891250092203417
GW170814,-0.003173828125,64.0,72.0,173.26056775054678,0.0,0.6891250092203417
GW170814,0.000732421875,64.0,72.0,141.19587145446806,0.0,0.6891250092203417
GW170814,0.004638671875,64.0,72.0,117.45923418494516,0.0,0.6891250092203417
GW170814,0.008544921875,64.0,72.0,96.90785195539371,0.0,0.6891250092203417
GW170814,0.012451171875,104.0,96.0,98.2405307986589,0.0,0.6891250092203417
GW170814,0.016357421875,104.0,104.0,167.79324496436982,0.0,0.6891250092203417
GW170814,0.020263671875,280.0,280.0,229.57534365681923,0.0,0.6891250092203417
GW170814,0.024169921875,280.0,280.0,259.0341501798782,0.0,0.6891250092203417
GW170814,0.028076171875,280.0,280.0,274.91909287684234,0.0,0.6891250092203417
