time_M,actual_separation_M,common_horizon_time_M,predicted_handover_time_M,series,relation_ara
1899.0,12.707550942060436,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6216928237678252
1934.5,12.649147858135931,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.4294836494731884
1934.5,12.649147858135931,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6134093762640531
1970.5,12.591501899987142,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.4128868907364995
1970.5,12.591501899987142,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.6049116524745697
2006.0,12.536121784722619,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.3969424873234635
2006.0,12.536121784722619,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.5964973865931609
2042.0,12.480478321054695,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.3809222636785277
2042.0,12.480478321054695,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.587759427940552
2077.5,12.424616287448384,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.3648391119003622
2077.5,12.424616287448384,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.5786908370250798
2113.0,12.366325014948734,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.3480565617060503
2113.0,12.366325014948734,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.569688940800101
2149.0,12.303792332765397,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.3300528738034898
2149.0,12.303792332765397,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.5606408846784539
2184.5,12.238598825543766,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.311283111875633
2184.5,12.238598825543766,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.5516309884788009
2220.5,12.169634577151925,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.2914277216839705
2220.5,12.169634577151925,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.542425935393922
2256.0,12.100207068825194,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.2714389550402785
2256.0,12.100207068825194,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.532952345062197
2292.0,12.029867694639536,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.2511876545061482
2292.0,12.029867694639536,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.523377155121702
2327.5,11.961501367728077,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.2315044109640008
2327.5,11.961501367728077,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.5137250936847684
2363.0,11.894195979916471,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.2121266207587398
2363.0,11.894195979916471,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.5038276467952243
2399.0,11.826180702779958,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.1925444474148583
2399.0,11.826180702779958,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.4935343332665176
2434.5,11.757815990763229,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.1728616688145572
2434.5,11.757815990763229,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.4835359854849364
2470.5,11.685520778431197,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.152047265941845
2470.5,11.685520778431197,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.473181998227176
2506.0,11.610280581678353,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.1303849771550958
2506.0,11.610280581678353,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.4626385476064505
2542.0,11.529867276329353,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.1072333066658606
2542.0,11.529867276329353,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.4515023643220712
