split,run,period,field_G,time_us,parent_ARA,state_x_L,state_x_C,spin_radius,rational_closure_R,irrational_parent_I,coupled_amount_A,coupled_balance_B,local_loss,null_loss,raw_loss_ratio_q,child_x,child_anti_x,wrong_frequency_child_x,cycle_bins
development,EMU00070049,RF on,446.0,4.267000198364258,1.7117009965536942,0.7781846833047013,0.3544573313007142,1.0783083266309739,0.17127628704814846,2.0,1.0856381435240743,1.8422344608373908,0.8420085184364147,0.7467131385586792,1.1276197979610705,1.0599824264106634,0.9400175735893366,1.0132691562879246,10
development,EMU00070049,RF on,446.0,4.331000328063965,1.7199559827106756,1.060176713737799,0.23723241128256167,1.5154673010681157,0.16786656120001528,2.0,1.0839332806000077,1.8451320166980056,0.778770438464562,0.731854553247414,1.0641054769816911,1.0310572680013579,0.9689427319986421,1.02202187232548,10
development,EMU00070049,RF on,446.0,4.394999980926514,1.7279745415107228,0.7694177986300109,0.7362449766754006,0.8494002107423573,0.1641732089749251,2.0,1.0820866044874626,1.8482808970238467,0.8083073605200662,0.728792482670336,1.1091049643629463,1.0517304573297523,0.9482695426702477,1.0104398055604715,10
development,EMU00070049,RF on,446.0,4.459000110626221,1.7357635604366717,1.0231826199028486,0.7875863055767478,2.56443433549626,0.18126367927377265,2.0,1.0906318396368864,1.8337993879451204,0.8476581235209916,0.7040049621327475,1.204051347810183,1.0925801243300963,0.9074198756699037,1.0239352062814056,10
development,EMU00070049,RF on,446.0,4.523000240325928,1.7433295531202766,1.0622977390640802,0.7604288801618417,1.716832255414833,0.2120403132099965,2.0,1.1060201566049983,1.8082853084149275,0.8206165030378364,0.7093170124918821,1.1569107868355661,1.0727479262439834,0.9272520737560166,1.0194369026169512,10
development,EMU00070049,RF on,446.0,4.587000370025635,1.750678905565378,0.9635787609561837,0.4604709491070783,2.049483585282801,0.1850998318763014,2.0,1.0925499159381507,1.8305799770093112,0.902055444106946,0.7175882954641236,1.2570654368373055,1.1138936570653957,0.8861063429346043,1.0618507126908356,10
development,EMU00070049,RF on,446.0,4.651000022888184,1.7578177685025949,1.0640740673622726,0.9089112184568047,2.0149723283220244,0.17030930161771668,2.0,1.0851546508088583,1.843055271899547,0.8803345609337468,0.7302981727663751,1.2054453834918315,1.0931536935938784,0.9068463064061216,0.9953319873039177,10
development,EMU00070049,RF on,446.0,4.715000152587891,1.7647522738063923,0.8200236083896896,0.9937098477291457,1.4242869068299717,0.1803062735689681,2.0,1.0901531367844841,1.8346046371969198,0.9624958666391573,0.7642201357075034,1.2594484516533881,1.1148282234381282,0.8851717765618718,1.0445284993101027,10
development,EMU00070049,RF on,446.0,4.779000282287598,1.7714882205144122,0.39151268930004485,1.1075720438490764,0.5535446587711812,0.16557893393253342,2.0,1.0827894669662668,1.8470811372067812,0.8675268862363205,0.7320759506625933,1.1850230641385393,1.084677854058024,0.915322145941976,1.017499621658485,10
development,EMU00070049,RF on,446.0,4.843000411987305,1.7780312940381195,1.0787465518317736,1.0725959871817745,1.9512829308351576,0.13785217303549713,2.0,1.0689260865177486,1.8710367585049634,0.927937384455743,0.7591154215027036,1.2223930092460098,1.1000691634291366,0.8999308365708634,0.9972224048976746,10
