parent_bin,relation_bin,parent_center,relation_center,n,observed_child_mean,predicted_child_mean
13,8,0.84375,1.4166666666666665,3625,0.9523012694571236,0.9546566038533042
13,9,0.84375,1.5833333333333333,3797,0.9679972356442925,0.9760098084646278
13,10,0.84375,1.75,4174,0.9816638615580563,0.9753531710249475
13,11,0.84375,1.9166666666666665,4299,1.0010936135956363,0.9884520208963431
14,0,0.90625,0.08333333333333333,1149,0.6634690678497314,0.6694054423459245
14,1,0.90625,0.25,1507,0.7558804588659692,0.7800235478806907
14,2,0.90625,0.41666666666666663,1800,0.8526254802489909,0.833430829228243
14,3,0.90625,0.5833333333333333,2166,0.8684828820171331,0.8665532349681351
14,4,0.90625,0.75,2416,0.9062556902316661,0.9126851198871652
14,5,0.90625,0.9166666666666666,2853,0.9256129878942768,0.9258696994648002
14,6,0.90625,1.0833333333333333,3239,0.9527463719878019,0.9548438961646398
14,7,0.90625,1.25,3626,0.962633487166665,0.9584657190635452
14,8,0.90625,1.4166666666666665,3945,0.9755728190355744,0.9717557251908396
14,9,0.90625,1.5833333333333333,4229,0.9775369376503275,0.9695937015367264
14,10,0.90625,1.75,4554,0.9922964492384594,0.9859623146082164
14,11,0.90625,1.9166666666666665,4895,1.0003071264378427,0.9878139044090853
15,0,0.96875,0.08333333333333333,573,0.7421606629116009,0.7463708697764819
15,1,0.96875,0.25,1038,0.8774872006488661,0.8563068808604523
15,2,0.96875,0.41666666666666663,1520,0.920424927183805,0.9172302318668252
15,3,0.96875,0.5833333333333333,1955,0.951463167578705,0.9464345952023989
15,4,0.96875,0.75,2426,0.9663164718942769,0.9687143536121673
15,5,0.96875,0.9166666666666666,2745,0.9709746402997937,0.9621756890791398
15,6,0.96875,1.0833333333333333,3358,0.9843391869167136,0.9810066341418932
15,7,0.96875,1.25,3799,0.9767197475582607,0.9857260061311115
15,8,0.96875,1.4166666666666665,4233,0.985105059271812,0.9942346026945285
15,9,0.96875,1.5833333333333333,4825,0.9914023113933117,0.9917041818295897
15,10,0.96875,1.75,5319,1.0019518072851732,0.994384850504114
15,11,0.96875,1.9166666666666665,5564,1.0037065161298235,1.0005032796501707
