repetition,auc_grandchild_flip_minus_child_flip
331,0.02763116804866128
332,0.002876804714744552
333,0.02195573018643371
334,0.006109201718325741
335,0.012401411094506987
336,0.01115871708962024
337,0.01874430759242529
338,0.010397704626301851
339,0.010019387278285552
340,0.01706439014331307
341,0.005002618074187448
342,0.007100422524581429
343,0.007083091099265859
344,0.011287790457694236
345,0.015171572497893249
346,0.00685425049893762
347,0.01138939909025971
348,0.014323210020174115
349,0.009576505769842147
350,0.015526739063018713
351,0.0023411478024669696
352,0.020538109823234563
353,0.013886982063999742
354,0.02051786795494137
355,0.012259672856999027
356,0.00038555404923956704
357,0.007606720454444993
358,0.009679678157980653
359,0.009359946588669343
360,0.008681769167015463
361,-0.0056818851647620905
362,0.019036547620287836
363,0.019597112165173014
364,0.01250600871638552
365,0.011854212388742957
366,0.011310485913376134
367,0.01534520936997752
368,0.007332549534433186
369,0.014517895918290002
370,0.009930696792096239
371,0.015472739859077822
372,0.015711274132388486
373,0.011276629856904696
374,0.007293459544615577
375,0.018392469796864153
376,0.011650031048488274
377,0.015578387821825412
378,0.02473947145751565
379,0.014932430755434711
380,0.022383566693932266
381,0.02369366665657524
382,-0.0006568593357462182
383,0.019776616251787837
384,0.01094882891422666
385,0.010336703559265081
386,0.01701636248747984
387,0.012476867043036799
388,0.02087259921414375
389,0.01475105254410336
390,0.01743811767902781
391,0.0073775599346550536
392,0.009399636185926763
393,-0.002074562387040735
394,0.015365457095266932
395,0.007268878724116967
396,0.008666743031291446
397,0.0044986906541735205
398,0.001761938915437189
399,0.011456766058363987
400,0.018483652941029938
401,0.014152769142735111
402,0.003845411230004925
403,0.014960481813879545
404,0.005110361591942669
405,0.011710362939125751
406,0.006525871388080029
407,0.007497816162064241
408,-0.0004326769968312494
409,0.006425594758064479
410,0.01500925236121331
411,0.013957599433028878
412,0.021900045287110537
413,-0.00032749382495200763
414,0.024329107617287793
415,0.0215169417854173
416,0.0067586375897603634
417,-0.0010930232900806525
418,0.011313931484985162
419,0.013164146999792847
420,0.019932256361116396
421,0.002603126681252066
422,0.011158229117983254
423,0.006404329170004219
424,0.020967449295903662
425,0.01785981581581153
426,0.02043670626373717
427,0.007691857975440697
428,0.006520364796983591
429,0.023119015749190952
430,-0.0005830080590969455
431,0.014527691652746144
432,0.007461148584073207
433,0.0021486762941250737
434,0.009576852109037581
435,0.014709186406913877
436,0.024246670226921396
437,0.008843731231704677
438,0.010118221016283568
439,0.018560819153249586
440,0.009027653407181813
441,0.02356244564680421
442,0.008236580418106376
443,0.005030348536837592
444,0.007882289283104083
445,0.007538123323204804
446,0.014810392810743589
447,0.00617369159802561
448,0.01944917295975368
449,0.006871638330375629
450,0.005242577741121357
451,0.010039231977862495
452,0.007034697682126945
453,0.011809680388677912
454,0.006857031961465698
455,0.014354545542130781
456,0.0026082249224964604
457,0.017658899846291654
458,0.007498523480919395
459,0.009479787168837572
460,0.031334831523134876
461,0.008965312978650442
462,0.006116810226347913
463,0.023740137630553604
464,0.011447156427494387
465,0.013490616996710614
466,0.019262144740997633
467,-0.0011391979209208758
468,0.012661960006426498
469,0.008441951224681832
470,0.013212730288667096
471,0.012554791658813236
472,0.014114038088593572
473,0.012055719106490725
474,0.014409648314789636
475,0.00942598970866626
476,0.017778210265906647
477,0.009733477178119454
478,-8.817659367343911e-05
479,0.024026750254021012
480,0.022113164688664977
481,0.009530228509784688
482,0.02219344539769763
483,0.022098867002703138
484,0.018885256360556713
485,0.020874027562891917
486,0.017956190809643613
487,0.019332917943650108
488,0.010278346473201028
489,0.017102481455653074
490,0.012171255919839918
491,0.012072612383434711
492,0.0075134544474653175
493,-0.001221629383448719
494,0.00825418373218656
495,0.013375664136971777
496,0.011719227418523825
497,0.01914620327604377
498,0.013798035087310478
499,0.018224076609886897
500,0.014668248871660516
501,0.013742779606029876
502,0.019501674339562514
503,0.010102916649972538
504,0.00878075231298181
505,0.006996664624248972
506,0.00233478286197053
507,-0.005829681458724312
508,0.011303673579438067
509,0.011299032706000744
510,0.019876850253420453
511,0.010346194349376003
512,0.010422416626141628
513,0.013613568909822682
514,0.0042706541731812875
515,0.02433621041475409
516,0.012079936499703847
517,0.013693114578332444
518,0.016489329060507152
519,0.010321596588917292
520,0.017574922486485844
521,0.020342794587266844
522,0.0061226854490396
523,0.009453249263057795
524,0.019723637560481788
525,-0.003380872496170695
526,0.017603421808800146
527,0.009460963903971997
528,0.014772305428749632
529,0.018860739824665185
530,0.023745649480384157
531,0.01768916718842861
532,0.01764054709801277
533,-0.003987708213604391
534,0.01064817919989891
535,0.009804519146472512
536,0.002867158991587071
537,0.022124944203674834
538,0.019565312958010228
539,0.0017669585046614644
540,0.00798077613521675
541,0.014175649224925868
