time_M,series,coordinate
3233.151933140779,x_P openness,0.9101493570766489
3233.151933140779,x_R residual,0.7070249833493055
3233.151933140779,rho coherence,0.9999999907566707
3244.7515779873297,x_P openness,1.5101493570766484
3244.7515779873297,x_R residual,0.7071313617276557
3244.7515779873297,rho coherence,0.9999999899483027
3254.9825423308757,x_P openness,0.9101493570766489
3254.9825423308757,x_R residual,0.6365487372353348
3254.9825423308757,rho coherence,0.9999885491642762
3263.937630274766,x_P openness,1.2
3263.937630274766,x_R residual,0.9736268754556411
3263.937630274766,rho coherence,0.9999381913708196
3275.1372865924386,x_P openness,0.9101493570766489
3275.1372865924386,x_R residual,0.7073601846628598
3275.1372865924386,rho coherence,0.9999999881893457
3286.7369303275677,x_P openness,1.7509775004326937
3286.7369303275677,x_R residual,0.707440630606606
3286.7369303275677,rho coherence,0.9999999875626365
3297.9365860510416,x_P openness,1.1509775004326936
3297.9365860510416,x_R residual,0.7075313458007327
3297.9365860510416,rho coherence,0.9999999867969196
3308.713347569722,x_P openness,1.7509775004326937
3308.713347569722,x_R residual,0.6832082217707373
3308.713347569722,rho coherence,0.9999963759672639
3317.1327880787558,x_P openness,0.9101493570766489
3317.1327880787558,x_R residual,0.755050475810884
3317.1327880787558,rho coherence,0.9999526002853247
3328.7324306766395,x_P openness,1.5101493570766484
3328.7324306766395,x_R residual,0.7078718195196843
3328.7324306766395,rho coherence,0.999999983427029
3339.9320853002732,x_P openness,1.1509775004326936
3339.9320853002732,x_R residual,0.7080255546875425
3339.9320853002732,rho coherence,0.9999999816970615
3350.9011548979765,x_P openness,1.7509775004326937
3350.9011548979765,x_R residual,0.6979434869733209
3350.9011548979765,rho coherence,0.9999986659683581
3359.118159999378,x_P openness,0.6000000000000001
3359.118159999378,x_R residual,0.6361570013221155
3359.118159999378,rho coherence,0.9999619203784943
3370.7178015263135,x_P openness,1.7509775004326937
3370.7178015263135,x_R residual,0.708407185101664
3370.7178015263135,rho coherence,0.9999999771211749
3381.914257507209,x_P openness,1.284412953234562
3381.914257507209,x_R residual,0.7084636117609729
3381.914257507209,rho coherence,0.999999977689833
3389.966617270651,x_P openness,1.5101493570766484
3389.966617270651,x_R residual,0.5433262565147031
3389.966617270651,rho coherence,0.9999560993360489
3401.1421569573026,x_P openness,1.1509775004326936
3401.1421569573026,x_R residual,0.7269836696515737
3401.1421569573026,rho coherence,0.9999780468792148
3412.3463586291127,x_P openness,1.6679700005769251
3412.3463586291127,x_R residual,0.6864308165872246
3412.3463586291127,rho coherence,0.9999961580006294
3420.7545982560596,x_P openness,0.9101493570766489
3420.7545982560596,x_R residual,0.7448150201580327
